,24-Jul-2019
The Nifty witnessed an intraday movement of about 129.95 points.The closing index was 0.53 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33582.44
, Traded Quantity (in Lakhs), 14461.75
, Number of Trades, 12303994
, Total Market Capitalisation (Rs. Crores), 14184777.84

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BEARDSELL,EQ,        14.60,                      248.30,17
,BEDMUTHA,EQ,        15.05,                    39929.00,2654
,BEL,EQ,        97.60,                808312590.35,8287123
,BEML,EQ,       897.90,               1091368287.00,1201432
,BEPL,EQ,        62.80,                 13967999.40,222334
,BERGEPAINT,EQ,       322.50,                522630167.60,1642379
,BETA,SM,        86.00,                   138320.00,1600
,BFINVEST,EQ,       269.90,                 47986119.35,175273
,BFUTILITIE,EQ,       223.20,                493426416.15,2140814
,BGLOBAL,BE,         1.25,                    13400.25,10720
,BGRENERGY,EQ,        44.80,                  1776822.85,39620
,BHAGERIA,EQ,       113.25,                  2308476.95,19932
,BHAGYANGR,EQ,        20.80,                   134847.90,6380
,BHAGYAPROP,EQ,        22.90,                     2024.70,90
,BHANDARI,EQ,         1.55,                   242609.80,154293
,BHARATFORG,EQ,       431.55,                829691121.05,1937300
,BHARATGEAR,EQ,        80.50,                   387825.50,4774
,BHARATRAS,EQ,      4038.95,                  2723379.20,668
,BHARATWIRE,EQ,        34.25,                    95222.35,2801
,BIGBLOC,EQ,        28.30,                     7100.30,262
,BIL,BE,       285.10,                   150182.75,536
,BILENERGY,EQ,         2.35,                   164715.30,70077
,BINANIIND,BZ,        13.10,                    13388.00,1019
,BINDALAGRO,EQ,        11.50,                   140214.65,12388
,BIOFILCHEM,BE,         6.20,                       18.80,3
,BIRLACABLE,EQ,        75.45,                  5842862.75,76397
,BIRLACORPN,EQ,       587.35,                 18245581.25,30528
,BIRLAMONEY,EQ,        40.60,                  2502972.95,61130
,BKMINDST,EQ,         2.50,                    12870.00,5140
,BLBLIMITED,BE,         3.65,                    23358.10,6398
,BLISSGVS,EQ,       157.40,                248987591.40,1580318
,BLKASHYAP,EQ,         8.55,                   648922.50,75010
,BLS,EQ,        80.10,                 21096932.00,261589
,BLUEBLENDS,BE,         1.85,                      564.25,305
,BLUECOAST,BE,         4.90,                        9.80,2
,BLUEDART,EQ,      2398.60,                 28800620.65,12005
,BLUESTARCO,EQ,       742.70,                 12744263.90,17044
,BODALCHEM,EQ,        84.00,                  7216508.70,85511
,BOHRA,SM,         5.80,                    68000.00,12000
,BOMDYEING,EQ,        85.65,                 65590819.10,759463
,BOROSIL,EQ,       141.00,                  5498101.15,38697
,BPL,EQ,        19.40,                   726815.10,37736
,BRFL,EQ,         5.35,                   213634.70,39521
,BRIGADE,EQ,       280.60,                 13989333.85,50380
,BRIGHT,SM,        11.85,                  1506150.00,126000
,BRNL,EQ,        70.95,                  1347719.55,18263
,BROOKS,EQ,        39.25,                   441970.30,11061
,BSE,EQ,       550.45,                 53226582.00,96462
,BSELINFRA,EQ,         1.25,                    54967.20,45343
,BSHSL,SM,       121.00,                   121000.00,1000
,BSL,EQ,        27.85,                    77662.00,2863
,BSLGOLDETF,EQ,      3239.00,                    42107.00,13
,BSLNIFTY,EQ,       123.17,                     4805.05,39
,BSOFT,EQ,        75.10,                 99375584.70,1328816
,BURNPUR,BE,         1.30,                     9965.80,7666
,BUTTERFLY,EQ,       159.40,                  3377164.45,20778
,BVCL,BE,        15.20,                     3154.00,220
,BYKE,EQ,        22.25,                   409733.40,18258
,CADSYS,SM,        52.50,                   105000.00,2000
,CALSOFT,EQ,        17.10,                   215907.30,12677
,CAMLINFINE,EQ,        54.25,                  8220471.70,149641
,CANBK,EQ,       248.10,               2829913869.35,11353058
,CANDC,BZ,         7.30,                    43800.00,6000
,CANFINHOME,EQ,       389.00,                330499179.00,839335
,CANTABIL,EQ,       230.50,                  1038992.60,4474
,CAPACITE,EQ,       247.75,                  2937019.75,11867
,CAPLIPOINT,EQ,       385.85,                 10399194.80,26647
,CAPTRUST,EQ,        70.55,                    62043.10,868
,CARBORUNIV,EQ,       339.75,                 73008349.45,215315
,CAREERP,EQ,        59.90,                   784917.65,13141
,CARERATING,EQ,       809.65,                 10333386.25,12757
,CASTEXTECH,BE,          .55,                    41858.05,74804
,CASTROLIND,EQ,       122.75,                120869352.90,981534
,CCHHL,BE,         4.35,                   112505.55,27269
,CCL,EQ,       246.05,                 12936716.80,52615
,CDSL,EQ,       196.75,                 29568986.20,150188
,CEATLTD,EQ,       864.15,                126353795.35,147011
,CEBBCO,EQ,        16.30,                   511470.75,31692
,CELEBRITY,EQ,         7.30,                  1273265.05,182192
,CELESTIAL,EQ,         4.75,                    99689.90,20832
,CENTENKA,EQ,       204.40,                  2515086.10,12334
,CENTEXT,EQ,         3.20,                    85666.40,26276
,CENTRALBK,EQ,        17.60,                 12903227.05,726687
,CENTRUM,EQ,        25.00,                  3454865.10,138215
,CENTUM,EQ,       498.05,                   665347.30,1332
