,09-Jul-19,,,,,,
The Nifty witnessed an intraday movement of about 121.55 points.The closing index was 0.02 % down as compared to the previous closing index.,,,,,,,
,,,,,,,
, Traded Value (Rs. In Crores),34591.7,,,,,
, Traded Quantity (in Lakhs),13314.8,,,,,
, Number of Trades,11724313,,,,,
, Total Market Capitalisation (Rs. Crores),14648561.64,,,,,
,,,,,,,
,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ADANIENT,EQ,141.15,1023192144,7317997,,
,ADANIGAS,EQ,164.4,141999159.3,863251,,
,ADANIGREEN,EQ,49.6,286803123.8,5877043,,
,ADANIPOWER,EQ,67.15,3393819490,51654011,,
,ADANITRANS,EQ,221.8,21699482.45,97016,,
,ADFFOODS,EQ,283.05,7513987.65,26571,,
,ADHUNIK,EQ,1.35,23431.85,17933,,
,ADHUNIKIND,EQ,83.25,217005.85,2567,,
,ADLABS,EQ,5.05,239355.75,46978,,
,ADORWELD,EQ,337.25,831254.75,2487,,
,ADROITINFO,EQ,10.1,505,50,,
,ADSL,EQ,13.65,102878.9,7667,,
,ADVANIHOTR,EQ,57.35,244721.4,4298,,
,ADVENZYMES,EQ,163.55,7390009.25,45079,,
,AEGISCHEM,EQ,214.05,22354232.55,104901,,
,AGARIND,EQ,123.25,684231.35,5584,,
,AGCNET,EQ,104,657587.55,6313,,
,AGLSL,EQ,54,19317.3,367,,
,AGRITECH,EQ,54.15,825614.55,15225,,
,AGROPHOS,BE,88,468393.9,5338,,
,AHLEAST,EQ,188.3,16897.35,90,,
,AHLUCONT,EQ,330.75,869880.3,2640,,
,AHLWEST,EQ,332.1,1330.6,4,,
,AIAENG,EQ,1775.3,20312120.35,11388,,
,AIFL,BZ,3.35,140052.5,39907,,
,AIONJSW,EQ,19.1,356077.8,18823,,
,AIRAN,EQ,22.3,941958.7,42571,,
,AISL,SM,39,92400,2400,,
,AJANTPHARM,EQ,916.2,187142194.8,204262,,
,AJMERA,EQ,160,3497181.8,21936,,
,AJOONI,SM,13.1,104800,8000,,
,AKSHARCHEM,EQ,272.85,607285,2178,,
,AKSHOPTFBR,EQ,11.6,3561049.85,307680,,
,AKZOINDIA,EQ,1748,2604320.75,1485,,
,ALANKIT,EQ,28.85,13188821.7,470826,,
,ALBERTDAVD,EQ,383.95,755800.3,1973,,
,ALBK,EQ,48.35,168003962.4,3533905,,
,ALCHEM,BE,1.2,3783.4,3180,,
