,25-Jul-2019
The Nifty witnessed an intraday movement of about 122.05 points.The closing index was 0.17 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 39367.79
, Traded Quantity (in Lakhs), 18040.42
, Number of Trades, 12953918
, Total Market Capitalisation (Rs. Crores), 14181368.07

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BANARISUG,EQ,      1400.00,                   221375.20,158
,BANCOINDIA,EQ,        99.15,                  6984962.20,69258
,BANG,EQ,        36.50,                    59630.75,1640
,BANKA,SM,        91.00,                   326520.00,3600
,BANKBEES,EQ,      2960.84,                 10069534.01,3397
,BANKINDIA,EQ,        75.40,                565524472.90,7457025
,BANSAL,SM,         4.95,                     4950.00,1000
,BANSWRAS,EQ,        66.75,                   183916.75,2822
,BARTRONICS,EQ,         3.15,                    49952.40,15835
,BASF,EQ,      1076.70,                  7927942.35,7320
,BASML,EQ,       132.30,                   603376.95,4580
,BATAINDIA,EQ,      1301.30,                742775521.05,571690
,BAYERCROP,EQ,      3181.65,                 15339385.20,4844
,BBL,EQ,       937.75,                  2093328.45,2228
,BBTC,EQ,       886.85,                 48884024.90,54701
,BCG,EQ,         3.30,                   819005.75,242324
,BCONCEPTS,SM,        37.55,                   450600.00,12000
,BDL,EQ,       294.45,                  4232622.05,14226
,BEARDSELL,EQ,        14.95,                   111536.50,7584
,BEDMUTHA,EQ,        14.80,                    30949.25,2080
,BEL,EQ,        99.15,               1341321114.10,13532297
,BEML,EQ,       888.95,                333432630.20,372060
,BEPL,EQ,        64.30,                 18319288.25,283830
,BERGEPAINT,EQ,       327.05,                732205516.80,2237357
,BETA,SM,        81.00,                   721200.00,8800
,BFINVEST,EQ,       262.50,                 22422678.80,85410
,BFUTILITIE,EQ,       205.45,                186246802.70,877333
,BGLOBAL,BE,         1.25,                    16936.25,14101
,BGRENERGY,EQ,        45.00,                  1416837.00,31672
,BHAGERIA,EQ,       111.90,                  2290799.35,20427
,BHAGYANGR,EQ,        21.00,                    50301.70,2376
,BHAGYAPROP,EQ,        22.80,                    24310.25,1096
,BHANDARI,EQ,         1.55,                    90259.50,58976
,BHARATFORG,EQ,       428.25,                410317936.15,954127
,BHARATGEAR,EQ,        78.50,                   245359.80,3072
,BHARATRAS,EQ,      4151.45,                  6046966.45,1477
,BHARATWIRE,EQ,        33.80,                   257368.70,7567
,BIGBLOC,EQ,        27.30,                    32966.00,1203
,BIL,BE,       276.00,                  1472251.20,5427
,BILENERGY,EQ,         2.25,                   327966.75,145563
,BINANIIND,BZ,        12.50,                    18579.30,1480
,BINDALAGRO,EQ,        11.80,                   292883.70,25109
,BIOFILCHEM,BE,         6.20,                      923.80,149
,BIRLACABLE,EQ,        73.80,                  2636816.95,35166
,BIRLACORPN,EQ,       576.75,                 24157427.95,41285
,BIRLAMONEY,EQ,        39.80,                  1528467.05,38016
,BKMINDST,EQ,         2.45,                     8442.35,3464
,BLBLIMITED,BE,         3.80,                    26451.50,7365
