,19-Jul-2019
The Nifty witnessed an intraday movement of about 241.05 points.The closing index was 1.53 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 34070.45
, Traded Quantity (in Lakhs), 14659.37
, Number of Trades, 12619226
, Total Market Capitalisation (Rs. Crores), 14367707.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BANKBEES,EQ,      3031.59,                 28160727.50,9173
,BANKINDIA,EQ,        80.15,                572998540.25,7077546
,BANSAL,SM,         5.05,                     5050.00,1000
,BANSWRAS,EQ,        67.00,                   131305.05,1960
,BARTRONICS,EQ,         3.20,                    58806.55,18688
,BASF,EQ,      1122.20,                 13168451.95,11605
,BASML,EQ,       138.15,                   683125.25,4835
,BATAINDIA,EQ,      1294.70,               1434494273.25,1095539
,BAYERCROP,EQ,      3286.55,                  7206905.10,2185
,BBL,EQ,       976.85,                  3284236.45,3357
,BBTC,EQ,       896.85,                 31954446.25,35251
,BCG,EQ,         3.50,                  1029737.25,294700
,BDL,EQ,       304.70,                 18016655.75,58641
,BEARDSELL,EQ,        14.25,                     8601.60,604
,BEDMUTHA,EQ,        16.05,                   117821.45,7277
,BEL,EQ,        98.55,               2068414906.10,21251089
,BEML,EQ,       912.05,               1996762784.35,2145912
,BEPL,EQ,        64.45,                 25056521.05,382077
,BERGEPAINT,EQ,       309.15,                172611447.80,554581
,BETA,SM,        85.00,                   265320.00,3200
,BFINVEST,EQ,       270.70,                 84047926.45,305080
,BFUTILITIE,EQ,       225.20,                919347637.85,3982999
,BGLOBAL,BE,         1.40,                    10037.25,7035
,BGRENERGY,EQ,        46.20,                  2434062.65,52528
,BHAGERIA,EQ,       121.80,                  2790672.50,22555
,BHAGYANGR,EQ,        21.00,                   527332.50,25112
,BHAGYAPROP,EQ,        22.15,                     4941.15,223
,BHANDARI,EQ,         1.65,                   136058.85,82635
,BHARATFORG,EQ,       437.20,                665840402.60,1516928
,BHARATGEAR,EQ,        85.50,                  1101194.40,12721
,BHARATRAS,EQ,      4065.00,                  8473446.05,2049
,BHARATWIRE,EQ,        33.25,                   219763.10,6651
,BIGBLOC,EQ,        27.95,                     3980.20,143
,BIL,BE,       295.45,                    14563.35,51
,BILENERGY,EQ,         2.50,                   172975.00,69190
,BINANIIND,BZ,        14.70,                    15715.15,1067
,BINDALAGRO,EQ,        11.95,                   166391.50,14004
,BIOFILCHEM,BE,         6.55,                      322.50,50
,BIRLACABLE,EQ,        85.10,                  4002855.40,45928
,BIRLACORPN,EQ,       597.00,                 34714518.45,57208
,BIRLAMONEY,EQ,        42.55,                  2215477.65,51411
,BKMINDST,EQ,         2.65,                      592.40,226
,BLBLIMITED,BE,         3.95,                    24623.15,6311
,BLISSGVS,EQ,       157.15,                 91844585.65,583517
,BLKASHYAP,EQ,         9.30,                   814692.05,86741
,BLS,EQ,        84.00,                 11336022.05,138719
,BLUECOAST,BE,         5.05,                    38375.95,7242
,BLUEDART,EQ,      2403.90,                 15919273.70,6624
,BLUESTARCO,EQ,       727.85,                 34110735.35,47245
,BODALCHEM,EQ,        82.85,                 14032046.10,167444
,BOMDYEING,EQ,        94.10,                106729224.40,1145181
,BOROSIL,EQ,       145.30,                  8089456.60,55500
,BPL,EQ,        19.45,                   999182.15,51063
,BRFL,EQ,         5.75,                   279561.05,48074
,BRIGADE,EQ,       273.60,                 11935601.20,43401
,BRIGHT,SM,        13.60,                  1376100.00,102000
,BRNL,EQ,        76.95,                   263646.20,3362
,BROOKS,EQ,        39.30,                   660897.75,16234
,BSE,EQ,       570.65,                 42828573.15,74769
,BSELINFRA,EQ,         1.15,                   160693.35,133740
,BSHSL,SM,       125.50,                   125500.00,1000
,BSL,EQ,        27.30,                   305527.50,11194
,BSLGOLDETF,EQ,      3240.50,                    52074.10,16
,BSLNIFTY,EQ,       124.85,                     4871.70,39
,BSOFT,EQ,        73.75,                109752765.05,1494238
,BURNPUR,BE,         1.45,                    43160.05,29069
,BUTTERFLY,EQ,       151.40,                  4272031.20,28002
,BVCL,BE,        14.50,                    10213.45,713
,BYKE,EQ,        22.40,                   360354.10,16142
,CADSYS,SM,        47.90,                   183500.00,4000
,CALSOFT,EQ,        18.00,                   954493.25,52964
,CAMLINFINE,EQ,        58.90,                 20072885.75,336052
,CANBK,EQ,       265.35,               1312152240.10,4916132
,CANFINHOME,EQ,       388.15,                276160175.35,705818
,CANTABIL,EQ,       234.55,                  1191265.75,5065
,CAPACITE,EQ,       269.00,                 13187184.20,49021
,CAPLIPOINT,EQ,       418.75,                 18957825.45,45929
,CAPTRUST,EQ,        75.00,                   455488.20,6034
,CARBORUNIV,EQ,       322.80,                  9603347.40,29736
,CAREERP,EQ,        58.85,                   595086.90,10170
,CARERATING,EQ,       867.85,                 22951557.50,26603
,CASTEXTECH,BE,          .55,                    40653.65,69719
,CASTROLIND,EQ,       125.35,                113173188.35,893042
,CCHHL,BE,         4.30,                    97299.00,22250
,CCL,EQ,       245.95,                  7438324.35,30460
,CDSL,EQ,       199.25,                 40070312.80,200607
,CEATLTD,EQ,       872.70,                117336733.45,134097
,CEBBCO,EQ,        15.90,                  1110136.70,69288
,CELEBRITY,EQ,         6.45,                   456361.55,72251
,CELESTIAL,EQ,         4.80,                   258719.80,51992
,CENTENKA,EQ,       197.20,                  4434476.35,22437
,CENTEXT,EQ,         3.50,                   195426.05,56573
,CENTRALBK,EQ,        18.95,                  8260488.15,432374
,CENTRUM,EQ,        25.75,                  6698549.80,265354
,CENTUM,EQ,       491.25,                  2983299.60,5943
,CENTURYPLY,EQ,       130.95,                 36847882.30,277370
,CENTURYTEX,EQ,       917.65,                636582177.20,687087
,CERA,EQ,      2688.50,                 26051556.10,9673
,CEREBRAINT,EQ,        23.60,                  2694479.00,113333
,CES1RPG,MF,         9.71,                   103876.00,10700
,CESC,EQ,       762.35,                141344628.90,183491
,CESCVENT,EQ,       410.15,                 13949427.85,34212
,CGCL,EQ,       161.85,                 56436358.10,345668
,CGPOWER,EQ,        22.05,                143784833.50,6436567
,CHALET,EQ,       323.25,                 15101477.30,48219
,CHAMBLFERT,EQ,       162.05,                 12483250.85,76939
,CHEMFAB,EQ,       167.50,                   904659.40,5348
,CHENNPETRO,EQ,       194.15,                 19981486.50,102890
,CHOLAFIN,EQ,       265.00,                322612272.55,1219212
,CHOLAHLDNG,EQ,       489.70,                441956008.80,920089
,CHROMATIC,EQ,          .50,                     5098.05,10696
,CIGNITITEC,EQ,       294.25,                  2706251.85,9144
,CIMMCO,EQ,        20.90,                   200676.05,9690
,CINELINE,EQ,        33.55,                   228699.60,6763
,CINEVISTA,EQ,         5.20,                    15904.60,3142
,CKFSL,EQ,         2.80,                    29926.40,10688
,CLEDUCATE,EQ,        96.70,                   148929.25,1542
,CLNINDIA,EQ,       280.40,                  6406699.05,22407
,CMICABLES,EQ,        74.85,                  4373001.10,57422
,CNOVAPETRO,EQ,        10.00,                   394590.25,37234
,COCHINSHIP,EQ,       360.05,                 12537096.70,34799
,COFFEEDAY,EQ,       203.75,                 60842047.10,294059
,COMPINFO,EQ,        12.30,                   484319.15,39190
,COMPUSOFT,EQ,         8.15,                   198572.10,23869
,CONFIPET,EQ,        31.15,                  3166762.50,102365
,CONSOFINVT,EQ,        33.25,                   170131.20,4976
,CONTROLPR,EQ,       196.80,                   680962.65,3413
,CORALFINAC,EQ,        13.45,                   254519.05,18290
,CORDSCABLE,EQ,        47.85,                   353744.70,7356
,COROMANDEL,EQ,       375.90,                 39027138.60,103466
,CORPBANK,EQ,        25.15,                  3441496.40,134999
,COSMOFILMS,EQ,       200.20,                  2254345.20,11176
,COUNCODOS,BE,         2.15,                    13918.25,6548
,COX&KINGS,EQ,        17.20,                   937073.20,54481
,CPSEETF,EQ,        25.34,                251899392.82,9931412
,CREATIVE,SM,        73.00,                   467360.00,6400
,CREATIVEYE,EQ,         1.75,                     2187.50,1250
,CREDITACC,EQ,       506.65,                 21748566.05,41910
,CREST,EQ,        94.65,                   269463.45,2787
,CRISIL,EQ,      1350.30,                227226877.70,168194
,CRMFGETF,EQ,      3250.00,                     6500.00,2
,CROMPTON,EQ,       230.25,                439080013.65,1907812
,CTE,EQ,        33.20,                   153921.95,4641
,CUB,EQ,       200.50,                140002605.25,699593
,CUBEXTUB,EQ,        11.75,                     4299.00,368
,CUMMINSIND,EQ,       728.50,                246474103.15,335455
,CUPID,EQ,       104.80,                  1829595.15,17313
,CYBERTECH,EQ,        46.25,                  1065952.45,22656
,CYIENT,EQ,       483.20,               1134124893.70,2346336
,DAAWAT,EQ,        19.90,                  7060757.40,350454
,DALBHARAT,EQ,      1004.10,                 29090293.40,28786
,DALMIASUG,EQ,        98.25,                  8679805.05,87962
,DAMODARIND,EQ,        30.50,                   212836.05,6877
,DANGEE,SM,       148.00,                   118400.00,800
,DATAMATICS,EQ,        79.75,                  7647926.35,95748
,DBCORP,EQ,       165.95,                110526179.75,683305
,DBL,EQ,       407.10,                 70251768.15,171866
,DBREALTY,EQ,        10.00,                  2235035.95,221295
,DBSTOCKBRO,BE,        11.50,                      402.50,35
,DCAL,EQ,       207.25,                 10458040.40,49735
,DCBBANK,EQ,       193.75,                501145126.30,2545307
,DCM,EQ,        25.95,                   612904.85,23828
,DCMNVL,BE,        44.80,                   113881.60,2542
,DCMSHRIRAM,EQ,       504.00,                 54773848.50,108424
