,11-Jul-2019
The Nifty witnessed an intraday movement of about 79.5 points.The closing index was 0.73 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27402.81
, Traded Quantity (in Lakhs), 11997.04
, Number of Trades, 10107996
, Total Market Capitalisation (Rs. Crores), 14640787.98

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BINDALAGRO,EQ,        12.55,                   190908.20,15045
,BIOFILCHEM,BE,         5.85,                     1416.35,254
,BIRLACABLE,EQ,        92.00,                  9672958.70,105061
,BIRLACORPN,EQ,       636.35,                 81435015.30,129330
,BIRLAMONEY,EQ,        43.95,                   756689.65,17116
,BKMINDST,EQ,         2.70,                    11197.30,4263
,BLBLIMITED,BE,         3.95,                    13482.35,3439
,BLISSGVS,EQ,       157.15,                166550077.30,1053420
,BLKASHYAP,EQ,        11.75,                  2373196.65,201985
,BLS,EQ,        76.20,                 23836175.10,312057
,BLUEBLENDS,BE,         2.15,                       53.75,25
,BLUECOAST,BE,         4.10,                     2393.70,584
,BLUEDART,EQ,      2587.45,                  2141905.10,824
,BLUEDART,N3,        10.33,                    14885.48,1400
,BLUESTARCO,EQ,       754.55,                 30016250.05,39839
,BODALCHEM,EQ,        93.45,                  3566464.35,38019
,BOMDYEING,EQ,       101.75,                 52811076.65,518542
,BOROSIL,EQ,       162.10,                  2806679.20,17284
,BPL,EQ,        21.00,                   733368.20,35103
,BRFL,EQ,         6.30,                    93553.90,14769
,BRIGADE,EQ,       266.85,                 28450361.10,105641
,BRIGHT,SM,        10.75,                  1493250.00,129000
,BRNL,EQ,        82.75,                  1283848.90,15509
,BROOKS,EQ,        42.15,                   299474.10,7173
,BSE,EQ,       575.35,                 39296187.65,67408
,BSELINFRA,EQ,         1.40,                   131472.20,96313
,BSHSL,SM,       125.00,                   125000.00,1000
,BSL,EQ,        28.10,                    49973.65,1783
,BSLGOLDETF,EQ,      3182.80,                    70226.15,22
,BSLNIFTY,EQ,       126.59,                    27801.67,220
,BSOFT,EQ,        74.70,                191692389.80,2582751
,BURNPUR,BE,         1.75,                     5939.50,3394
,BUTTERFLY,EQ,       167.55,                  1105506.95,6632
,BVCL,BE,        15.05,                   152411.45,10127
,BYKE,EQ,        23.45,                   427731.95,18090
,CALSOFT,EQ,        17.45,                  1208527.15,70555
,CAMLINFINE,EQ,        59.00,                  4940417.35,83923
,CANBK,EQ,       280.40,               1046896123.40,3757055
,CANDC,BZ,         7.20,                   207626.40,29075
,CANFINHOME,EQ,       374.00,                228267508.65,611809
,CANTABIL,EQ,       243.40,                  4173939.55,17130
,CAPACITE,EQ,       271.75,                  3046540.85,11224
,CAPLIPOINT,EQ,       419.55,                  9157654.05,21779
,CAPTRUST,EQ,       118.05,                   412680.30,3660
,CARBORUNIV,EQ,       350.20,                  9234610.70,26378
,CAREERP,EQ,        61.90,                   284735.50,4577
,CARERATING,EQ,       873.65,                 10674749.25,12201
,CASTEXTECH,BE,          .70,                    29607.70,40817
,CASTROLIND,EQ,       125.85,                 78651319.40,624684
,CCHHL,BE,         5.15,                    88816.40,17106
,CCL,EQ,       238.00,                 27673088.80,115389
,CDSL,EQ,       207.00,                 12905280.55,62340
,CEATLTD,EQ,       894.65,                184161075.40,205552
,CEBBCO,EQ,        16.80,                   184409.85,11069
,CELEBRITY,EQ,         6.15,                    28714.50,4630
,CELESTIAL,EQ,         5.65,                   201450.75,35655
,CENTENKA,EQ,       209.80,                  3217556.70,15367
,CENTEXT,EQ,         3.60,                    84098.30,23515
,CENTRALBK,EQ,        19.85,                 10154764.00,514003
,CENTRUM,EQ,        26.10,                  2539332.15,98358
,CENTUM,EQ,       520.55,                  1514906.95,2887
,CENTURYPLY,EQ,       148.85,                110364626.65,742959
,CENTURYTEX,EQ,       910.35,                526745345.05,582438
,CERA,EQ,      2852.65,                 45461144.95,15931
,CEREBRAINT,EQ,        24.10,                  2508898.75,103466
