symbol,announcement_date,announcement_timestamp,description,attachment_url,attachment_text,company_name,isin,industry,sequence_id,source
BOSCHLTD,2013-11-19,2013-11-19 09:44:00,Updates,https://nsearchives.nseindia.com/corporate/BOSCH_update_19112013_11192013094401_1.zip,"Bosch Limited has informed the Exchange vide letter dated November 19, 2013, regarding ""Withdrawal of 'Tool Down' strike given by Union and Workmen of Bangalore Plant"".",Bosch Limited,INE323A01026,Auto Ancillaries,692913,nse
BOSCHLTD,2013-12-04,2013-12-04 12:36:00,Appointment,-,"Bosch Limited has informed the Exchange that at the meeting of the Board of Directors held on December 04, 2013, Mr. Franz Hauber was appointed as an Alternate Director to Mr. Peter Tyroller, Non- Executive Director w.e.f. January 01, 2014.",Bosch Limited,INE323A01026,Auto Ancillaries,708342,nse
BOSCHLTD,2013-12-24,2013-12-24 11:12:00,Updates,https://nsearchives.nseindia.com/corporate/BOSCH_update_24122013_12242013111201_1.zip,"Bosch Limited has informed the Exchange vide letter dated December 23, 2013 regarding intimation of closure of Trading window.",Bosch Limited,INE323A01026,Auto Ancillaries,727340,nse
BOSCHLTD,2013-12-30,2013-12-30 10:08:00,Updates,-,"Bosch Limited has informed the Exchange that with a view to adjust production to meet the demand for products and to avoid unneccessary buildup of inventory, the manufacturing operations at Jaipur Plant have been suspended on December 30, 2013 and December 31, 2013.",Bosch Limited,INE323A01026,Auto Ancillaries,730439,nse
BOSCHLTD,2014-01-22,2014-01-22 20:12:00,Updates,-,"Bosch Limited has informed the Exchange that with a view to adjust production to meet the demand for products and to avoid unnecessary buildup of inventory, it is proposed to suspend the manufacturing operations at Nashik plant for a period of two days on January 27, 2014 and January 28, 2014.",Bosch Limited,INE323A01026,Auto Ancillaries,756938,nse
BOSCHLTD,2014-02-27,2014-02-27 16:36:00,Dividend,-,"Bosch Limited has informed the Exchange that the Board of Directors of the Company at its meeting held on February 27, 2014, inter alia, have recommended a Dividend of Rs. 55/- per Equity share for the year ended December 31, 2013 .",Bosch Limited,INE323A01026,Auto Ancillaries,801388,nse
BOSCHLTD,2014-02-27,2014-02-27 16:40:00,AGM/Book Closure,-,"Bosch Limited has informed the Exchange that the Annual General Meeting of the Company will be held on June 05, 2014. Further the share transfer books of the company will remain closed from May 14, 2014 to May 27, 2014 (both days inclusive) for the purpose of dividend to be declared at the Annual General Meeting.",Bosch Limited,INE323A01026,Auto Ancillaries,801390,nse
BOSCHLTD,2014-02-28,2014-02-28 08:23:02,Financial Result Updates,https://nsearchives.nseindia.com/corporate/Results2013_02282014082301_.zip,Bosch Limited has submitted to the exchange the standalone financial results for the period ended 31-Dec-2013.,Bosch Limited,INE323A01026,Auto Ancillaries,21130,nse
BOSCHLTD,2014-03-21,2014-03-21 17:16:00,Updates,-,"Bosch Limited has informed the Exchange that in terms of the Company's Code of Conduct framed pursuant to SEBI (Prohibition of Insider Trading) Regulations, 1992, the Trading Window of the Company will remain closed from March 24, 2014 up to a period of 24 hours after the date on which unaudited financial results for the quarter ending March 31, 2014 is submitted to the Stock Exchanges.",Bosch Limited,INE323A01026,Auto Ancillaries,829969,nse
BOSCHLTD,2014-04-10,2014-04-10 14:24:00,Updates,-,"Bosch Limited had informed the Exchange regarding closing of trading window from March 24, 2014 up to a period of 24 hours after the date on which the unaudited financial results for the quarter ending March 31, 2014 is submitted to the stock exchange. The Company has now informed the Exchange that the trading window will re-open on April 27, 2014.",Bosch Limited,INE323A01026,Auto Ancillaries,856449,nse
BOSCHLTD,2014-04-25,2014-04-25 13:07:02,Financial Result Updates,https://nsearchives.nseindia.com/corporate/BOSCHLTD_31mar2014_S_04252014130701_.zip,Bosch Limited has submitted to the exchange the standalone financial results for the period ended 31-Mar-2014.,Bosch Limited,INE323A01026,Auto Ancillaries,21232,nse
BOSCHLTD,2014-04-25,2014-04-25 13:27:00,"Results Update, Quarter  ended 31-MAR-2014 (Standalone)",-,Bosch Limited has informed the Exchange regarding the standalone Results for the quarter ended on 31-MAR-2014 as follows: Net Sales of Rs. 243141 lacs for the quarter ending on 31-MAR-2014 against Rs. 206189 lacs and Rs. 219030 lacs for the quarters ending on 31-DEC-2013 and 31-MAR-2013 respectively. Net Profit / (Loss) of Rs. 32629 lacs for the quarter ending on 31-MAR-2014 against Rs. 13898 lacs and Rs. 25977 lacs for the quarters ending on 31-DEC-2013 and 31-MAR-2013 respectively.,Bosch Limited,INE323A01026,Auto Ancillaries,,nse
BOSCHLTD,2014-06-05,2014-06-05 14:24:00,Change in Financial Year,https://nsearchives.nseindia.com/corporate/BOSCH_05062014_06052014142401_1.zip,"Bosch Limited has informed the Exchange that the Board of Directors of the Company at their meeting held on June 5, 2014, approved change in financial year of the Company to commence from April 1st of every year and to end on 31st March of the following year. Consequently, as a transitionary arrangement the present financial year 2014 of the Company is being extended by three months to close at March 31, 2015. Accordingly, the financial statements for the year 2014 will be for a period of 15 months commencing from January 1, 2014 and ending on March 31, 2015.",Bosch Limited,INE323A01026,Auto Ancillaries,941523,nse
BOSCHLTD,2014-06-05,2014-06-05 14:24:00,Annual General Meeting Updates,https://nsearchives.nseindia.com/corporate/BOSCH_AGM_06052014142401_2.zip,"Bosch Limited has informed the Exchange regarding a annual general meeting of the Company held on June 05, 2014.",Bosch Limited,INE323A01026,Auto Ancillaries,941524,nse
BOSCHLTD,2014-06-09,2014-06-09 09:08:00,Disclosure of Voting Pattern - Clause 35A,https://nsearchives.nseindia.com/corporate/clause35ALETTER_06092014090803_3.zip,Bosch Limited has informed the Exchange details of Voting Results pursuant to Clause 35A of listing agreement.,Bosch Limited,INE323A01026,Auto Ancillaries,943939,nse
BOSCHLTD,2014-06-19,2014-06-19 15:12:00,Updates,-,"Bosch Limited has informed the Exchange that in terms of the Company's Code of Conduct framed pursuant to SEBI (Prohibition of Insider Trading) Regulations, 1992, the Trading Window of the Company will remain closed from June 23, 2014 up to a period of 24 hours after the date on which unaudited financial results for the quarter ending June 30, 2014 is submitted to the Stock Exchanges.",Bosch Limited,INE323A01026,Auto Ancillaries,964601,nse
BOSCHLTD,2014-06-26,2014-06-26 08:44:00,Updates,https://nsearchives.nseindia.com/corporate/BOSCH_26062014_06262014084404_1.zip,"Bosch Limited has submitted to the Exchange vide letter dated June 19, 2014 a copy of the Chairman's Speech at the Annual General Meeting of the Company held on June 05, 2014.",Bosch Limited,INE323A01026,Auto Ancillaries,972838,nse
BOSCHLTD,2014-06-30,2014-06-30 08:00:00,Annual General Meeting Updates,https://nsearchives.nseindia.com/corporate/BOSCH_PAGM_06302014080001_1.zip,"Bosch Limited has submitted to the Exchange a copy of the proceedings of the Annual General Meeting held on June 05, 2014.",Bosch Limited,INE323A01026,Auto Ancillaries,977678,nse
BOSCHLTD,2014-07-03,2014-07-03 17:40:00,Postal Ballot Updates,https://nsearchives.nseindia.com/corporate/bosch_07032014174001_1.zip,"Bosch Limited has submitted to the Exchange a copy of Notice of Postal Ballot pursuant to Section 110 of the Companies Act, 2013 read with the Companies (Management and Administration) Rules, 2014.",Bosch Limited,INE323A01026,Auto Ancillaries,985866,nse
BOSCHLTD,2026-05-11,2026-05-11 14:39:16,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/BOSCHLTD2025_11052026143833_L2SEQ4FY2025_26EarningsCall.pdf,Bosch Limited has informed the Exchange about Schedule of meet,Bosch Limited,INE323A01026,Auto Ancillaries,106616754,nse
BOSCHLTD,2026-05-18,2026-05-18 20:03:34,Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/BOSCHLTD1_18052026200313_lettertosedated18may26sig.pdf,Bosch Limited has informed the Exchange about Copy of Newspaper Publication,Bosch Limited,INE323A01026,Auto Ancillaries,106628273,nse
BOSCHLTD,2026-05-18,2026-05-18 20:33:07,Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/BOSCHLTD1_18052026203250_LettertoSE2nd100daysAD16may26sig.pdf,Bosch Limited has informed the Exchange about Copy of Newspaper Publication,Bosch Limited,INE323A01026,Auto Ancillaries,106628333,nse
BOSCHLTD,2026-05-20,2026-05-20 17:42:03,Outcome of Board Meeting,https://nsearchives.nseindia.com/corporate/BOSCHLTD2025_20052026173909_L2SE20May2026.pdf,"Bosch Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026.",Bosch Limited,INE323A01026,Auto Ancillaries,106631839,nse
BOSCHLTD,2026-05-20,2026-05-20 17:48:01,Cessation,https://nsearchives.nseindia.com/corporate/BOSCHLTD2025_20052026174448_L2SE20May2026.pdf,"Bosch Limited has informed the Exchange regarding Cessation of Mr Pawan Kumar Goenka as Non- Executive Independent Director of the company w.e.f. May 20, 2026.",Bosch Limited,INE323A01026,Auto Ancillaries,106631865,nse
