,25-Jun-2019
The Nifty witnessed an intraday movement of about 163.4 points.The closing index was 0.83 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29817.94
, Traded Quantity (in Lakhs), 15160.31
, Number of Trades, 10624011
, Total Market Capitalisation (Rs. Crores), 14919928.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AXISCADES,EQ,        61.40,                 12009472.60,191839
,AXISGOLD,EQ,      3010.70,                  2479247.20,824
,AXISNIFTY,EQ,      1206.83,                   208771.36,173
,AYMSYNTEX,EQ,        39.50,                   271738.55,6822
,BAFNAPHARM,BE,         5.70,                    29112.00,5004
,BAGFILMS,EQ,         3.65,                   317868.15,86828
,BAJAJCON,EQ,       332.85,                 15490472.35,46540
,BAJAJELEC,EQ,       512.55,                 85454430.35,166224
,BAJAJHIND,EQ,         7.60,                  6621087.00,867302
,BALAJITELE,EQ,        58.20,                  3221518.85,54426
,BALAMINES,EQ,       374.10,                  3501186.60,9334
,BALAXI,BE,        90.70,                     2267.50,25
,BALKRISHNA,EQ,        30.40,                   163319.85,5323
,BALKRISIND,EQ,       762.65,                898611399.15,1181375
,BALLARPUR,EQ,         1.95,                  1179798.80,615869
,BALMLAWRIE,EQ,       180.85,                  4945287.25,27314
,BALPHARMA,EQ,        54.55,                   393050.65,7286
,BALRAMCHIN,EQ,       133.45,                 91033128.75,675587
,BANARBEADS,EQ,        43.20,                    53291.00,1240
,BANARISUG,EQ,      1405.00,                   553880.55,394
,BANCOINDIA,EQ,       119.15,                  1777294.80,14905
,BANG,EQ,        40.00,                  1360261.95,33813
,BANKBEES,EQ,      3146.63,                  8254303.78,2638
,BANKINDIA,EQ,        86.55,                319591597.75,3697250
,BANSWRAS,EQ,        65.55,                   181971.90,2790
,BARTRONICS,EQ,         3.40,                    60417.75,17589
,BASF,EQ,      1317.65,                  6388072.70,4831
,BASML,EQ,       150.55,                    46015.55,305
,BATAINDIA,EQ,      1413.50,                810522959.55,572227
,BAYERCROP,EQ,      3370.10,                 19337611.50,5756
,BBL,EQ,      1049.80,                  7621350.50,7284
,BBTC,EQ,       955.10,                 38084548.90,39595
,BCG,EQ,         5.05,                   987907.60,200141
,BDL,EQ,       307.85,                 18305719.00,59295
,BEARDSELL,EQ,        14.30,                    12891.05,970
,BEDMUTHA,EQ,        14.55,                    73662.95,4957
,BEL,EQ,       113.90,               1253471327.65,11001089
,BEML,EQ,       856.35,               2577781160.00,3055646
,BEPL,EQ,        63.75,                 13187500.20,205205
,BERGEPAINT,EQ,       317.85,                100141311.65,316027
,BFINVEST,EQ,       251.20,                  4608291.75,18414
,BFUTILITIE,EQ,       178.65,                 33964904.25,190553
,BGLOBAL,BE,         2.10,                    23071.50,11192
,BGRENERGY,EQ,        51.40,                  2960934.65,57837
,BHAGERIA,EQ,       248.15,                   594493.65,2378
,BHAGYANGR,EQ,        25.60,                   166639.90,6632
,BHAGYAPROP,EQ,        25.00,                    30576.30,1232
,BHANDARI,EQ,         1.65,                    80341.55,48545
,BHARATFIN,EQ,       920.40,                518919075.20,564121
,BHARATFORG,EQ,       435.85,                590027780.35,1358199
,BHARATGEAR,EQ,        96.15,                   175656.25,1821
,BHARATRAS,EQ,      4063.85,                  3021016.15,741
,BHARATWIRE,EQ,        33.65,                   219818.15,6500
,BIGBLOC,EQ,        29.15,                     4486.75,154
,BIL,BE,       295.15,                   324677.95,1070
,BILENERGY,EQ,         2.55,                    54233.40,21268
,BINANIIND,BZ,        13.80,                     4236.60,307
,BINDALAGRO,EQ,        12.85,                   169752.20,13172
,BIOFILCHEM,BE,         6.60,                      726.00,110
,BIRLACABLE,EQ,        89.60,                  4435181.60,49341
,BIRLACORPN,EQ,       575.30,                 25738708.60,44689
,BIRLAMONEY,EQ,        44.70,                  2623698.10,58728
,BKMINDST,EQ,         3.20,                   115624.90,35955
,BLBLIMITED,BE,         4.10,                     8207.95,2002
,BLISSGVS,EQ,       156.70,                 83040626.90,525284
,BLKASHYAP,EQ,         8.00,                  1163688.00,145461
,BLS,EQ,       102.95,                  4385771.85,42466
,BLUECOAST,EQ,         3.80,                     4677.80,1231
,BLUEDART,EQ,      2683.75,                  3013049.90,1123
,BLUESTARCO,EQ,       747.35,                 30457491.00,40654
,BODALCHEM,EQ,        99.90,                  6167278.15,61618
,BOHRA,SM,         9.70,                   252200.00,26000
,BOMDYEING,EQ,       100.90,                 72182646.40,712694
,BOROSIL,EQ,       175.10,                  5949751.85,34109
,BPL,EQ,        21.75,                   807797.75,36934
,BRFL,BE,         6.80,                   126758.00,18703
,BRIGADE,EQ,       246.25,                 12058619.75,48702
,BRIGHT,SM,        14.00,                   638250.00,45000
,BRNL,EQ,        73.80,                  1911951.50,25487
,BROOKS,EQ,        41.00,                   418375.00,10180
,BSE,EQ,       619.90,                 82831800.40,133953
,BSELINFRA,EQ,         1.60,                   102473.80,64510
,BSHSL,SM,       130.00,                   130000.00,1000
,BSL,EQ,        28.50,                   955403.70,37213
,BSLGOLDETF,EQ,      3165.00,                   473183.05,150
,BSLNIFTY,EQ,       127.46,                    28999.83,228
,BSOFT,EQ,        89.35,                101849066.75,1140047
,BURNPUR,EQ,         2.10,                   186769.60,87337
,BUTTERFLY,EQ,       162.70,                  1591133.00,9733
,BVCL,BE,        14.80,                     8210.25,561
,BYKE,EQ,        24.00,                   576411.55,24117
