,07-Jun-2019
The Nifty witnessed an intraday movement of about 128 points.The closing index was 0.23 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30407.27
, Traded Quantity (in Lakhs), 15033.67
, Number of Trades, 11277081
, Total Market Capitalisation (Rs. Crores), 15122608.67

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BANARBEADS,EQ,        45.30,                   159697.45,3436
,BANARISUG,EQ,      1480.60,                   211367.25,142
,BANCOINDIA,EQ,       136.80,                  2400919.60,17445
,BANG,EQ,        45.90,                   299975.85,6550
,BANKBEES,EQ,      3164.68,                226863855.20,72268
,BANKINDIA,EQ,        89.75,                735822499.05,8164977
,BANSAL,SM,         4.80,                    19200.00,4000
,BANSWRAS,EQ,        72.00,                   651431.25,9010
,BARTRONICS,EQ,         5.15,                    71627.80,13786
,BASF,EQ,      1329.60,                  3978378.15,3012
,BASML,EQ,       170.85,                    19185.25,113
,BATAINDIA,EQ,      1379.10,                846394171.90,613759
,BAYERCROP,EQ,      3619.80,                 21171915.55,5846
,BBL,EQ,      1116.10,                  4341250.90,3870
,BBTC,EQ,      1132.05,                 40370520.25,35645
,BCG,BE,         4.30,                  1001929.75,235919
,BCONCEPTS,SM,        49.50,                   148500.00,3000
,BDL,EQ,       290.65,                  4014081.30,13813
,BEARDSELL,EQ,        14.85,                      213.80,15
,BEDMUTHA,EQ,        15.35,                   129785.45,8572
,BEL,EQ,       108.30,               1408191991.30,13027610
,BEML,EQ,       962.15,               1245436195.55,1296398
,BEPL,EQ,        70.50,                 17197522.85,243036
,BERGEPAINT,EQ,       326.25,                443578059.50,1352555
,BETA,SM,        91.00,                   512560.00,5600
,BFINVEST,EQ,       228.50,                  9851768.40,42654
,BFUTILITIE,EQ,       196.15,                 50253906.35,255792
,BGLOBAL,BE,         2.20,                     2494.80,1134
,BGRENERGY,EQ,        54.35,                  3425977.65,62039
,BHAGERIA,EQ,       263.75,                  4125250.50,15678
,BHAGYANGR,EQ,        27.30,                   143124.05,5283
,BHAGYAPROP,EQ,        25.70,                    10724.55,414
,BHANDARI,EQ,         1.75,                   413454.25,236807
,BHARATFIN,EQ,       978.10,               1318412169.10,1367964
,BHARATFORG,EQ,       457.40,                269043668.30,586486
,BHARATGEAR,EQ,       117.15,                   865784.90,7391
,BHARATRAS,EQ,      4108.30,                  4000415.80,966
,BHARATWIRE,EQ,        40.55,                   798017.45,19927
,BIGBLOC,EQ,        29.20,                    20296.00,694
,BIL,EQ,       316.40,                  9272566.65,30873
,BILENERGY,BE,         3.60,                    52952.40,14709
,BINANIIND,BZ,        25.10,                   122257.55,4771
,BINDALAGRO,EQ,        16.15,                  1016476.25,61865
,BIRLACABLE,EQ,       101.15,                  5754717.80,56156
,BIRLACORPN,EQ,       652.25,                 41713827.30,64104
