,23-May-2019
The Nifty witnessed an intraday movement of about 426.65 points.The closing index was 0.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 52322.53
, Traded Quantity (in Lakhs), 23747.68
, Number of Trades, 17083886
, Total Market Capitalisation (Rs. Crores), 14837423.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AVONMPL,SM,        29.10,                    58200.00,2000
,AVTNPL,EQ,        21.55,                  4060854.30,188530
,AXISCADES,EQ,        55.10,                  8933710.85,160444
,AXISGOLD,EQ,      2770.10,                   411883.05,149
,AXISNIFTY,EQ,      1192.13,                  2708711.94,2117
,AYMSYNTEX,EQ,        35.30,                   240630.65,6833
,BAFNAPHARM,EQ,         8.10,                    62138.20,7727
,BAGFILMS,EQ,         4.35,                   355367.65,81690
,BAJAJCON,EQ,       340.40,                 12578100.60,36966
,BAJAJELEC,EQ,       549.80,                 92420015.05,167463
,BAJAJHIND,EQ,         8.70,                 37117396.90,4171213
,BALAJITELE,EQ,        68.10,                  3647442.45,52047
,BALAMINES,EQ,       402.95,                 12047016.90,29317
,BALAXI,BE,       100.55,                   127899.60,1272
,BALKRISHNA,EQ,        32.60,                  1733670.55,50761
,BALKRISIND,EQ,       776.50,                282835837.55,361000
,BALLARPUR,EQ,         2.40,                   291292.80,121372
,BALMLAWRIE,EQ,       169.40,                  8275177.30,48473
,BALPHARMA,EQ,        61.15,                   760254.10,12196
,BALRAMCHIN,EQ,       149.55,                279169803.40,1854383
,BANARBEADS,EQ,        51.15,                   303498.50,5830
,BANARISUG,EQ,      1303.85,                   311675.60,238
,BANCOINDIA,EQ,       138.00,                  4990896.65,35767
,BANG,EQ,        46.30,                   657219.60,14146
,BANKBEES,EQ,      3105.53,                323836660.06,101499
,BANKINDIA,EQ,        89.20,               1615729867.10,17428202
,BANSAL,SM,         6.60,                    13200.00,2000
,BANSWRAS,EQ,        72.10,                   250070.05,3317
,BARTRONICS,EQ,         6.10,                   195353.55,31980
,BASF,EQ,      1315.25,                 13147276.45,9978
,BASML,EQ,       174.45,                    69754.65,398
,BATAINDIA,EQ,      1365.50,                794948364.70,576662
,BAYERCROP,EQ,      4078.00,                 15041336.50,3690
,BBL,EQ,       988.50,                  6011668.60,6041
,BBTC,EQ,      1119.45,                150428743.15,129899
,BCG,BE,         5.55,                  3077296.85,596287
,BCONCEPTS,SM,        49.40,                   448350.00,9000
,BDL,EQ,       301.90,                 35142059.95,116680
,BEARDSELL,EQ,        15.55,                    32029.70,2074
,BEDMUTHA,EQ,        14.85,                   218708.35,14604
,BEL,EQ,       102.65,               2701436403.55,25985663
,BEML,EQ,       936.95,               2471706389.45,2581806
,BEPL,EQ,        76.95,                 28926350.00,372322
,BERGEPAINT,EQ,       307.45,                102026178.85,327611
,BFINVEST,EQ,       255.60,                103421970.80,409155
,BFUTILITIE,EQ,       207.35,                540298316.20,2669919
,BGLOBAL,BE,         2.40,                    25009.65,11222
,BGRENERGY,EQ,        55.40,                  4140220.50,73439
,BHAGERIA,EQ,       270.40,                  9655933.80,35048
,BHAGYANGR,EQ,        27.05,                   166581.55,5985
,BHAGYAPROP,EQ,        25.25,                    61931.30,2406
,BHANDARI,EQ,         1.90,                   216576.15,116835
,BHARATFIN,EQ,      1002.45,               2430605662.35,2414734
,BHARATFORG,EQ,       460.30,                580427604.80,1242641
,BHARATGEAR,EQ,       121.00,                  1698338.10,13683
,BHARATRAS,EQ,      4139.40,                  4422650.45,1052
,BHARATWIRE,EQ,        43.20,                   441794.90,10020
,BIGBLOC,EQ,        28.05,                    47412.35,1661
,BIL,EQ,       231.95,                   395770.30,1714
,BILENERGY,BE,         4.30,                  3406793.35,794484
,BINANIIND,BE,        28.25,                   346592.00,11898
,BINDALAGRO,EQ,        14.00,                   283396.25,20154
,BIOFILCHEM,BE,         6.80,                     2914.85,463
,BIRLACABLE,EQ,        90.85,                 19402105.60,203624
,BIRLACORPN,EQ,       608.05,                 98354523.65,162043
,BIRLAMONEY,EQ,        46.85,                  5394592.85,112760
,BKMINDST,BE,         4.15,                   415380.80,99580
,BLBLIMITED,EQ,         6.80,                  2556599.60,375812
,BLISSGVS,EQ,       164.30,                291017633.00,1754510
,BLKASHYAP,EQ,        15.65,                  2828398.75,172530
,BLS,EQ,       124.05,                  6800013.45,54201
,BLUEBLENDS,EQ,         2.40,                    18928.00,8545
,BLUECOAST,EQ,        10.45,                    53097.25,5053
,BLUEDART,EQ,      2702.35,                 58180482.90,21511
,BLUEDART,N3,        10.25,                    29468.75,2875
,BLUESTARCO,EQ,       755.60,                 79834054.00,107993
,BODALCHEM,EQ,       112.15,                 20451731.15,179433
,BOHRA,SM,        11.05,                    22100.00,2000
,BOMDYEING,EQ,       115.80,                189519540.00,1598106
,BOROSIL,EQ,       200.00,                 10148580.80,50756
,BPL,EQ,        22.35,                  2989247.75,129057
,BRFL,EQ,         9.95,                  2505937.35,251853
,BRIGADE,EQ,       242.35,                 25028301.15,103717
,BRNL,EQ,        96.60,                  3803033.15,39508
,BROOKS,EQ,        50.75,                   475616.40,9266
,BSE,EQ,       600.10,                 45222311.85,75011
,BSELINFRA,EQ,         1.80,                   106625.25,58911
,BSHSL,SM,       127.60,                   882150.00,7000
,BSL,EQ,        35.95,                   580382.20,15320
,BSLGOLDETF,EQ,      2919.00,                   151500.10,52
,BSLNIFTY,EQ,       126.15,                    86490.10,674
,BSOFT,EQ,        86.40,                 49858695.90,574300
,BURNPUR,BE,         2.30,                   149437.30,64162
,BUTTERFLY,EQ,       177.00,                  6567521.30,36481
,BVCL,BE,        16.85,                    26326.85,1561
,BYKE,EQ,        28.10,                  1816202.05,64118
,CALSOFT,EQ,        20.50,                   132052.50,6416
,CAMLINFINE,EQ,        41.45,                  7330182.55,173012
,CANBK,EQ,       259.10,               2796110631.70,10398142
,CANDC,BZ,         7.05,                   135849.80,18507
,CANFINHOME,EQ,       340.45,                407300642.20,1159909
,CANTABIL,EQ,       219.95,                  1377924.05,6347
,CAPACITE,EQ,       245.00,                 43842020.35,179535
,CAPLIPOINT,EQ,       382.60,                 23987575.40,61181
,CAPTRUST,EQ,       187.50,                     5562.50,30
,CARBORUNIV,EQ,       353.40,                 34519504.35,98180
,CAREERP,EQ,        71.60,                  1387504.55,19291
,CARERATING,EQ,       973.80,                 14618095.75,15018
,CASTEXTECH,EQ,          .80,                   106501.55,131322
,CASTROLIND,EQ,       144.75,                162985190.70,1119656
,CCHHL,BE,         6.30,                   150774.30,23948
,CCL,EQ,       268.45,                  5438858.80,20351
,CDSL,EQ,       217.50,                 46276083.05,209381
,CEATLTD,EQ,       982.75,                606698446.95,608139
,CEBBCO,EQ,        16.85,                   897495.10,52514
,CELEBRITY,EQ,         8.35,                   113585.85,13684
,CELESTIAL,EQ,         5.40,                    72956.25,13419
,CENTENKA,EQ,       220.20,                  7683168.65,34357
,CENTEXT,EQ,         4.95,                  1280136.55,255710
,CENTRALBK,EQ,        25.05,                 68280765.90,2621879
,CENTRUM,EQ,        29.55,                  3447226.60,116659
,CENTUM,EQ,       470.20,                   969750.65,2066
,CENTURYPLY,EQ,       161.05,                 54851585.90,328925
,CENTURYTEX,EQ,       991.50,                649375381.75,648852
,CERA,EQ,      2818.80,                110690538.85,38912
,CEREBRAINT,EQ,        26.65,                   688874.75,25724
,CES1RPG,MF,         9.62,                   137064.00,13900
