,28-May-2019
The Nifty witnessed an intraday movement of about 93.65 points.The closing index was 0.03 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 52932.19
, Traded Quantity (in Lakhs), 23331.35
, Number of Trades, 16809036
, Total Market Capitalisation (Rs. Crores), 15262828.66

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ANSALHSG,EQ,         9.95,                  1953381.85,196518
,ANTGRAPHIC,BE,          .75,                    15762.65,20448
,ANUP,EQ,       507.60,                  5093125.80,10131
,APARINDS,EQ,       676.15,                  2276400.10,3365
,APCL,EQ,       178.30,                 10953442.70,59238
,APCOTEXIND,EQ,       526.80,                  6686595.75,12703
,APEX,EQ,       303.65,                135015143.10,432247
,APLAPOLLO,EQ,      1632.05,                 10772337.65,6563
,APLLTD,EQ,       532.50,                 30446687.10,57545
,APOLLO,EQ,       136.45,                  3233801.30,23417
,APOLLOHOSP,EQ,      1190.80,                610578047.90,512288
,APOLLOTYRE,EQ,       197.90,                544908928.00,2772492
,APOLSINHOT,EQ,       997.50,                  4844930.60,4859
,APTECHT,EQ,       169.45,                279576633.90,1633832
,ARCHIDPLY,EQ,        39.00,                   479737.95,12206
,ARCHIES,EQ,        23.05,                  1376259.95,59647
,ARCOTECH,BE,         4.30,                   141280.35,33228
,ARIES,EQ,        74.50,                  7351205.50,98749
,ARIHANT,EQ,        29.35,                   505494.40,17290
,ARIHANTSUP,BE,        60.45,                   908133.90,15499
,ARMANFIN,EQ,       403.50,                  3472167.90,8544
,AROGRANITE,EQ,        53.00,                  3576147.35,67688
,ARROWGREEN,EQ,        62.95,                   721200.10,11470
,ARROWTEX,EQ,        16.35,                   561549.30,34347
,ARSHIYA,EQ,        32.60,                   569381.55,17636
,ARSSINFRA,BE,        44.45,                   310033.40,7154
,ARVIND,EQ,        77.75,                179218614.35,2297876
,ARVINDFASN,EQ,       846.55,                 32428122.80,38616
,ARVSMART,EQ,       120.20,                  4532787.25,37780
,ASAHIINDIA,EQ,       243.15,                114121659.95,469758
,ASAHISONG,EQ,       165.10,                  1178615.55,7251
,ASAL,EQ,        52.60,                   126015.00,2368
,ASHAPURMIN,BE,        23.15,                   315640.35,13960
,ASHIANA,EQ,       117.55,                  3131922.60,26889
,ASHIMASYN,EQ,        11.70,                  1048285.25,88558
,ASHOKA,EQ,       144.15,                129114806.00,888283
,ASIANHOTNR,EQ,       132.45,                   111053.65,847
,ASIANTILES,EQ,       249.20,                 43421422.80,173810
,ASPINWALL,EQ,       161.95,                   966978.80,6035
,ASSAMCO,BE,         1.80,                   216887.40,120493
,ASTEC,EQ,       457.10,                  2889122.10,6352
,ASTERDM,EQ,       146.95,                 24786777.70,169746
,ASTRAL,EQ,      1296.90,                268323725.90,208451
,ASTRAMICRO,EQ,        92.70,                 12698126.30,136967
,ASTRAZEN,EQ,      1999.15,                163232504.75,81400
,ASTRON,EQ,       109.30,                 23884807.25,218006
,ATFL,EQ,       529.85,                  4051984.70,7579
,ATLANTA,EQ,        14.70,                   507520.15,34418
,ATLASCYCLE,BE,        52.10,                   146843.05,2802
,ATUL,EQ,      3932.75,                198818439.90,50903
,ATULAUTO,EQ,       313.60,                  5285887.70,16770
,AUBANK,EQ,       694.70,                222671128.35,321206
,AURDIS,SM,        26.05,                   258300.00,10000
,AURIONPRO,EQ,       128.40,                   973865.30,7707
,AUSOMENT,EQ,        37.80,                   118891.30,3112
,AUTOAXLES,EQ,      1160.70,                  9840543.10,8418
,AUTOIND,EQ,        49.60,                   310253.05,6234
,AUTOLITIND,BZ,        33.35,                     9215.70,273
,AVADHSUGAR,EQ,       654.55,                138018078.20,206742
,AVANTIFEED,EQ,       393.95,                935831728.55,2289162
,AVG,SM,        92.50,                   111000.00,1200
,AVTNPL,EQ,        25.10,                  2615045.40,105398
,AXISCADES,EQ,        58.00,                 13938610.60,239328
,AXISGOLD,EQ,      2790.00,                   122762.85,44
,AXISNIFTY,EQ,      1212.63,                   406286.17,335
,AYMSYNTEX,EQ,        37.05,                   526810.75,14604
,BABAFOOD,SM,        65.10,                   130200.00,2000
,BAFNAPHARM,EQ,         8.40,                   166453.35,20347
,BAGFILMS,EQ,         4.50,                   384356.85,86854
,BAJAJCON,EQ,       344.50,                 47138953.35,138227
,BAJAJELEC,EQ,       544.35,                 58044529.80,107068
,BAJAJHIND,EQ,         9.40,                 14643574.45,1540797
,BALAJITELE,EQ,        75.45,                  1656844.85,21840
,BALAMINES,EQ,       409.10,                 38823595.55,93107
,BALAXI,BE,        92.50,                   658202.45,7023
,BALKRISHNA,EQ,        37.05,                  2503319.10,67253
,BALKRISIND,EQ,       834.95,               1037150544.95,1220356
,BALLARPUR,EQ,         2.60,                  3244794.65,1249199
,BALMLAWRIE,EQ,       187.45,                 22775965.50,120822
,BALPHARMA,EQ,        69.00,                   923286.80,13389
,BALRAMCHIN,EQ,       155.65,                450092127.20,2887491
,BANARBEADS,EQ,        51.10,                    70934.10,1382
,BANARISUG,EQ,      1395.60,                   305009.55,218
,BANCOINDIA,EQ,       152.10,                  6377175.05,41506
,BANG,EQ,        44.00,                   164432.20,3684
,BANKA,SM,        92.40,                   332640.00,3600
,BANKBEES,EQ,      3219.07,                 85305225.20,26553
,BANKINDIA,EQ,        99.10,               1149596538.35,11634268
,BANSAL,SM,         6.70,                    66050.00,10000
,BANSWRAS,EQ,        75.00,                   120873.40,1613
,BARTRONICS,EQ,         6.00,                    60510.50,9880
,BASF,EQ,      1403.30,                 51947102.00,37286
