,10-May-2018
The Nifty witnessed an intraday movement of about 80.55 points.The closing index was 0.23 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28773.01
, Traded Quantity (in Lakhs), 14036.69
, Number of Trades, 10046626
, Total Market Capitalisation (Rs. Crores), 14785597.85

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CHROMATIC,BE,         1.70,                    61205.85,35611
,CIGNITITEC,BE,       236.60,                   178566.80,755
,CIMMCO,EQ,        76.00,                  2620966.10,33896
,CINELINE,EQ,        71.95,                  2019398.20,27910
,CINEVISTA,EQ,         8.35,                   368489.85,43805
,CKPLEISURE,SM,        25.10,                   100400.00,4000
,CLEDUCATE,EQ,       220.25,                  1027454.35,4643
,CLNINDIA,EQ,       540.80,                  3688505.80,6802
,CMICABLES,EQ,       314.60,                  7274188.05,22739
,CMMIPL,SM,        62.00,                   186000.00,3000
,CNOVAPETRO,EQ,        34.95,                   303633.10,8733
,COCHINSHIP,EQ,       514.30,                 20895269.00,40465
,COFFEEDAY,EQ,       332.95,                 48156216.70,143117
,COMPINFO,EQ,        37.45,                  4663405.55,123985
,COMPUSOFT,EQ,        12.60,                   624071.75,50455
,CONSOFINVT,EQ,        60.30,                   451811.70,7010
,CONTROLPR,EQ,       440.75,                  1877552.90,4265
,CORALFINAC,EQ,        34.60,                 19190284.45,538110
,CORDSCABLE,EQ,        81.80,                  1511324.55,18192
,COROMANDEL,EQ,       450.35,                 47813266.45,106521
,CORPBANK,EQ,        28.65,                  3981152.35,137581
,COSMOFILMS,EQ,       260.55,                  3362305.10,12824
,COUNCODOS,EQ,         2.60,                    12092.40,4520
,COX&KINGS,EQ,       211.95,                160299937.90,736211
,CPSEETF,EQ,        28.12,                 20992756.55,747338
,CREST,EQ,       205.25,                   647193.90,3156
,CRISIL,EQ,      1776.75,                  7021983.65,3947
,CRMFGETF,EQ,      2915.00,                   597575.00,205
,CROMPTON,EQ,       237.00,                 96452268.75,401438
,CTE,EQ,        59.10,                   943463.00,15894
,CUB,EQ,       189.10,                 97778280.95,521101
,CUBEXTUB,BE,        20.20,                    17967.25,889
,CUPID,EQ,       282.75,                 11632791.05,40582
,CYBERMEDIA,EQ,        10.90,                      348.80,32
,CYBERTECH,EQ,        61.05,                  3389957.95,54392
,CYIENT,EQ,       858.00,                789140452.55,924955
,DAAWAT,EQ,        88.15,                 62731279.25,704473
,DALMIABHA,EQ,      2769.40,                312715599.30,114283
,DALMIASUG,EQ,        61.25,                  2682027.90,43337
,DAMODARIND,EQ,       117.60,                   666243.80,5646
,DATAMATICS,EQ,       117.20,                  5145296.30,43823
,DBCORP,EQ,       279.05,                 13212868.80,46908
,DBL,EQ,      1144.95,                 72055923.85,62946
,DBREALTY,EQ,        61.20,                 35806322.95,573956
,DCAL,EQ,       362.70,                 54325895.40,147160
,DCBBANK,EQ,       192.75,                185088908.35,951794
,DCM,EQ,        91.50,                   437967.65,4755
,DCMFINSERV,BE,         2.50,                       55.00,22
,DCMSHRIRAM,EQ,       263.10,                 91506868.25,340087
,DCW,EQ,        31.60,                 13899831.60,427928
,DECCANCE,EQ,       502.75,                   399031.20,793
,DEEPAKFERT,EQ,       338.50,                 36307981.20,105894
,DEEPAKNTR,EQ,       255.25,                 49083467.85,189828
,DEEPIND,EQ,       152.70,                 14758251.00,96743
,DELTACORP,EQ,       233.40,                545049135.65,2285772
,DELTAMAGNT,EQ,        56.75,                    19349.80,334
,DEN,EQ,        95.95,                 25030140.80,253080
,DENABANK,EQ,        18.60,                 12623982.05,675283
,DENORA,EQ,       492.75,                   386808.75,785
,DFMFOODS,EQ,      1475.85,                  1899074.05,1275
,DHAMPURSUG,EQ,        87.55,                 47061722.60,533269
,DHANBANK,EQ,        21.20,                  3635728.70,169427
,DHANUKA,EQ,       595.00,                  4203990.10,7113
,DHARSUGAR,BE,        16.50,                   178732.70,10848
,DHFL,EQ,       623.85,               2550245685.40,4069389
,DHFL,NH,      1200.00,                    12000.00,10
,DHFL,NN,      1031.05,                   173216.40,168
,DHFL,NP,      1068.05,                   662038.00,620
,DHFL,NC,      1089.00,                   945525.24,871
