,14-May-2018
The Nifty witnessed an intraday movement of about 60.1 points.The closing index was 0 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27402.41
, Traded Quantity (in Lakhs), 12983.17
, Number of Trades, 9331765
, Total Market Capitalisation (Rs. Crores), 14790982.64

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ARCHIDPLY,EQ,        85.85,                  1145209.80,13226
,ARCHIES,BE,        32.50,                  1806742.55,55396
,ARCOTECH,EQ,        25.15,                 12443045.30,481286
,ARENTERP,EQ,        14.25,                     1425.00,100
,ARIES,EQ,       192.30,                  1899212.30,9871
,ARIHANT,BE,        39.20,                       78.40,2
,ARIHANTSUP,EQ,       135.20,                  5495000.00,40146
,ARMANFIN,BE,       405.75,                   379968.55,942
,AROGRANITE,EQ,        63.35,                  3127245.40,49125
,ARROWGREEN,EQ,       279.70,                  2208845.95,7753
,ARROWTEX,EQ,        31.15,                   826491.65,25857
,ARSHIYA,EQ,        60.25,                  9874183.50,162038
,ARSSINFRA,BE,        35.40,                   811597.45,22584
,ARVIND,EQ,       426.75,                454984919.20,1060328
,ARVSMART,EQ,       183.60,                  2018871.40,10982
,ASAHIINDIA,EQ,       357.70,                  9678727.85,26950
,ASAHISONG,EQ,       334.15,                   640692.65,1908
,ASAL,EQ,        73.55,                   579527.05,7924
,ASHAPURMIN,EQ,        57.80,                 10851383.40,182863
,ASHIANA,EQ,       160.45,                  3713507.50,23047
,ASHIMASYN,EQ,        27.80,                   985525.55,35174
,ASHOKA,EQ,       268.05,                 80056656.20,296748
,ASIANHOTNR,EQ,       299.70,                   114161.75,376
,ASIANTILES,EQ,       447.60,                  9091498.10,20149
,ASPINWALL,EQ,       357.30,                  2004964.75,5468
,ASSAMCO,EQ,         4.00,                  1664263.45,415719
,ASTEC,EQ,       669.40,                 19211988.85,28443
,ASTERDM,EQ,       181.65,                 20016544.85,109996
,ASTRAL,EQ,       962.95,                 16880795.90,17532
,ASTRAMICRO,EQ,        94.60,                 13760941.30,142268
,ASTRAZEN,EQ,      1108.95,                  4055005.40,3674
,ASTRON,EQ,       119.45,                 13895866.25,114299
,ATFL,EQ,       693.80,                  7137632.05,10354
,ATLANTA,EQ,        67.65,                  6224355.60,91964
,ATLASCYCLE,BE,       147.10,                   575164.65,3901
,ATUL,EQ,      2841.55,                  7818324.40,2733
,ATULAUTO,EQ,       426.65,                  3108214.80,7274
,AUBANK,EQ,       696.55,                 50125159.05,71067
,AURIONPRO,EQ,       211.05,                  4032852.45,19127
,AUSOMENT,EQ,        65.60,                   916072.35,13754
,AUSTRAL,BZ,          .15,                     3953.70,21136
,AUTOAXLES,EQ,      1515.10,                  8179585.95,5353
,AUTOIND,EQ,        76.35,                   889654.75,11601
,AUTOLITIND,EQ,        67.30,                   549250.60,8128
,AVADHSUGAR,EQ,       347.80,                  4294560.30,12150
,AVANTIFEED,EQ,      2164.75,                378797438.55,173197
,AVG,SM,       128.00,                  1755060.00,13200
,AVTNPL,EQ,        35.40,                  1265793.10,35731
,AXISCADES,EQ,       151.45,                  3883205.85,25179
,AXISGOLD,EQ,      2743.90,                    71453.90,26
,AXISNIFTY,EQ,      1084.68,                   191198.06,176
,AYMSYNTEX,EQ,        62.75,                   557364.00,8820
,BAFNAPHARM,EQ,        25.60,                   129785.40,4950
,BAGFILMS,EQ,         4.80,                   515651.45,106030
,BAJAJCORP,EQ,       458.00,                  6919583.40,15020
,BAJAJELEC,EQ,       617.70,                253981978.55,403368
,BAJAJHIND,EQ,         7.30,                 27719200.80,3703791
,BAJAJHLDNG,EQ,      2614.40,                 17708585.45,6753
,BALAJITELE,EQ,       127.15,                  3836367.95,30126
,BALAMINES,EQ,       653.90,                 23112244.30,35030
,BALKRISHNA,EQ,        77.55,                   525498.00,6719
,BALKRISIND,EQ,      1175.75,                187531425.15,157577
,BALLARPUR,EQ,        11.95,                  7700910.75,639083
,BALMLAWRIE,EQ,       214.50,                 12498064.85,57895
,BALPHARMA,EQ,        80.95,                   862730.40,10602
,BALRAMCHIN,EQ,        64.75,                322639621.65,4974094
,BANARBEADS,EQ,        55.65,                   106999.60,1890
,BANARISUG,EQ,      1605.25,                   604146.25,373
,BANCOINDIA,EQ,       222.00,                  4441141.10,19856
,BANDHANBNK,EQ,       479.95,                181762657.95,377154
,BANG,EQ,        35.60,                   378350.95,10775
,BANKBEES,EQ,      2683.93,                  5002164.53,1864
,BANKINDIA,EQ,        99.25,                619715703.80,6181106
,BANSAL,SM,       120.10,                  2719100.00,23000
,BANSWRAS,EQ,        97.55,                   232540.10,2381
,BARTRONICS,BE,        12.75,                   889615.05,70418
,BASF,EQ,      1948.65,                 19761844.15,9963
,BASML,EQ,       230.00,                   110095.55,475
,BATAINDIA,EQ,       779.20,                360378486.10,459584
,BAYERCROP,EQ,      4522.50,                 25078773.10,5627
,BBL,EQ,      1529.85,                 11855610.20,7684
,BBTC,EQ,      1522.30,                125036317.30,81199
,BDL,EQ,       388.05,                 10803159.30,27849
,BEARDSELL,EQ,        46.10,                    65816.00,1415
,BEDMUTHA,BE,        18.70,                    74998.45,3888
,BEML,EQ,      1054.15,                547171170.45,514697
,BEPL,EQ,       164.75,                 87792158.15,532495
,BERGEPAINT,EQ,       277.15,                506545172.55,1833825
,BFINVEST,EQ,       331.30,                 57779019.85,172730
,BFUTILITIE,EQ,       392.45,                115726514.95,292206
,BGLOBAL,BE,         5.10,                    18176.60,3608
,BGRENERGY,EQ,       100.20,                  5121944.60,50700
,BHAGERIA,EQ,       292.80,                  8345786.40,28181
,BHAGYANGR,EQ,        41.90,                  1339562.45,31620
,BHAGYAPROP,BE,        21.65,                   116045.95,5309
,BHANDARI,EQ,         2.55,                   531921.30,207275
,BHARATFIN,EQ,      1163.20,                224159339.00,192565
,BHARATFORG,EQ,       734.90,                498260510.35,678648
,BHARATGEAR,EQ,       168.30,                  2131649.30,12567
,BHARATIDIL,BZ,         4.65,                   176027.55,37478
,BHARATRAS,EQ,      5918.60,                 25082648.20,4197
,BHARATWIRE,EQ,       119.95,                  3908529.70,32527
,BHUSANSTL,EQ,        22.85,                 35834460.05,1570868
,BIGBLOC,EQ,       167.30,                  7254672.25,44080
,BIL,EQ,       399.55,                  1425380.70,3530
,BILENERGY,BE,          .55,                    50820.45,88461
,BINANIIND,EQ,        89.00,                  1719379.85,19276
,BINDALAGRO,EQ,        26.15,                   510897.95,19391
,BIOCON,EQ,       636.70,               1167671750.65,1826798
,BIOFILCHEM,BE,        14.25,                    10084.90,718
,BIRLACABLE,BE,        71.55,                  1776180.85,24579
,BIRLACORPN,EQ,       698.60,                 28070787.55,39557
,BIRLAMONEY,BE,        61.75,                  1762937.25,28442
,BKMINDST,EQ,        28.10,                   102945.65,3650
,BLBLIMITED,BE,         8.15,                    58701.90,7393
,BLISSGVS,EQ,       201.95,                 54807671.05,272440
,BLKASHYAP,EQ,        42.70,                  9558514.70,221932
,BLS,EQ,       156.00,                 10905716.70,70315
,BLUEBLENDS,EQ,        14.10,                    86727.20,6015
,BLUEDART,EQ,      3358.90,                 30082277.55,9003
,BLUEDART,N2,         9.60,                     4032.00,420
,BLUEDART,N3,        10.00,                     3000.00,300
,BLUESTARCO,EQ,       769.35,                124592403.20,161918
,BODALCHEM,EQ,       126.90,                193223641.50,1508350
,BOHRA,SM,        44.50,                   348900.00,8000
,BOMDYEING,EQ,       289.00,                820475388.35,2804172
,BPL,EQ,        72.30,                 12680752.25,175561
,BRFL,BE,        20.15,                  1495356.75,74085
,BRIGADE,EQ,       263.15,                  9697703.75,36750
,BRNL,EQ,       177.70,                  2437627.15,13753
,BROOKS,EQ,       103.40,                 20543348.85,194543
,BSE,EQ,       816.85,                127290359.70,155881
,BSELINFRA,EQ,         3.70,                   408085.15,106524
,BSHSL,SM,        81.75,                  5010000.00,62000
,BSL,EQ,        62.05,                   446162.05,7367
,BSLGOLDETF,EQ,      2929.00,                    34984.00,12
,BSLNIFTY,EQ,       110.89,                    12053.03,109
,BURNPUR,BE,         6.40,                  1520942.95,234076
,BUTTERFLY,EQ,       493.50,                  5173568.85,10335
,BVCL,BE,        23.55,                   105814.50,4462
,BYKE,EQ,       184.50,                  8758923.55,47170
,CADSYS,SM,        82.00,                  2266100.00,28000
,CALSOFT,BE,        36.60,                   127075.20,3472
,CAMLINFINE,EQ,       106.60,                 26731725.35,247555
,CANBK,EQ,       249.35,               5647376068.50,22632896
,CANDC,EQ,        43.45,                   867373.15,19772
,CANFINHOME,EQ,       387.15,                243168983.00,621045
,CANTABIL,BE,       121.20,                  7791379.40,63134
,CAPACITE,EQ,       354.75,                 27222274.15,76059
,CAPF,EQ,       573.95,                222614823.75,383304
,CAPLIPOINT,EQ,       582.80,                  6702419.85,11492
,CAPTRUST,EQ,       390.20,                  1338939.85,3384
,CARBORUNIV,EQ,       361.60,                  5122047.05,14070
,CAREERP,EQ,       119.65,                  3941649.35,32366
,CARERATING,EQ,      1267.20,                  9842748.90,7737
,CASTEXTECH,EQ,         2.50,                  2266722.95,903322
,CASTROLIND,EQ,       179.80,                 68965210.35,384815
,CCCL,EQ,         3.50,                   304442.20,86662
,CCHHL,EQ,        10.90,                  1583011.55,143815
,CCL,EQ,       297.65,                  5953859.75,19844
,CDSL,EQ,       280.15,                 62185276.15,222003
,CEATLTD,EQ,      1430.10,                480561736.80,334792
,CEBBCO,EQ,        15.25,                   445252.35,28390
