,21-May-2018
The Nifty witnessed an intraday movement of about 115.9 points.The closing index was 0.75 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29839.51
, Traded Quantity (in Lakhs), 16363.51
, Number of Trades, 11098361
, Total Market Capitalisation (Rs. Crores), 14377744.94

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BHAGERIA,EQ,       280.95,                  3547103.15,12640
,BHAGYANGR,EQ,        41.05,                  1594606.10,38634
,BHAGYAPROP,BE,        20.00,                    19856.45,993
,BHANDARI,EQ,         2.25,                   517419.90,234580
,BHARATFIN,EQ,      1162.60,                423588039.95,363058
,BHARATFORG,EQ,       694.25,                675379053.40,964352
,BHARATGEAR,EQ,       163.60,                  2723199.05,16556
,BHARATIDIL,BZ,         4.25,                    69296.45,16088
,BHARATRAS,EQ,      5570.75,                  6521003.00,1172
,BHARATWIRE,EQ,       114.00,                  3052208.15,26667
,BHUSANSTL,EQ,        29.00,                 12732160.00,439040
,BIGBLOC,EQ,       145.75,                  6843500.85,49280
,BIL,EQ,       395.70,                  1376458.65,3550
,BILENERGY,BE,          .45,                   101818.20,220592
,BINANIIND,EQ,        93.05,                  7911567.75,84282
,BINDALAGRO,EQ,        24.45,                   565237.95,23037
,BIOCON,EQ,       626.85,               1081527268.60,1710169
,BIOFILCHEM,BE,        13.50,                     9406.00,702
,BIRLACABLE,BE,        70.10,                  1512437.25,21530
,BIRLACORPN,EQ,       730.35,                 39032081.45,53248
,BIRLAMONEY,BE,        62.30,                  2868042.30,45709
,BKMINDST,EQ,        27.85,                  5688866.65,204970
,BLBLIMITED,BE,         7.90,                    23663.85,3027
,BLISSGVS,EQ,       183.55,                 62576525.35,340285
,BLKASHYAP,EQ,        42.10,                 14829704.20,336805
,BLS,EQ,       160.20,                 49320269.20,299257
,BLUEBLENDS,EQ,        11.45,                   165501.65,14241
,BLUEDART,EQ,      3280.20,                127629988.20,38819
,BLUEDART,N2,        10.40,                       83.20,8
,BLUESTARCO,EQ,       702.95,                 57738355.80,80071
,BODALCHEM,EQ,       126.45,                 73269829.65,567271
,BOHRA,SM,        42.50,                    85000.00,2000
,BOMDYEING,EQ,       257.65,                669311546.55,2566942
,BPL,EQ,        68.95,                 19407900.30,277502
,BRFL,BE,        19.10,                   282202.50,14775
,BRIGADE,EQ,       240.85,                 10290967.00,41534
,BRNL,EQ,       170.00,                   242239.50,1419
,BROOKS,EQ,        96.20,                 11126381.65,112945
,BSE,EQ,       806.40,                 66121708.50,81513
,BSELINFRA,EQ,         3.60,                    75934.75,20978
,BSHSL,SM,        93.80,                  4744000.00,50000
,BSL,EQ,        54.35,                   221127.75,4008
,BSLGOLDETF,EQ,      2876.00,                   336702.00,117
,BSLNIFTY,EQ,       108.18,                     2394.57,22
,BURNPUR,BE,         5.05,                   409933.75,81175
,BUTTERFLY,EQ,       437.00,                  7356940.45,16851
,BVCL,BE,        21.60,                   266461.35,12456
,BYKE,EQ,       170.05,                  3137405.90,18011
,CADSYS,SM,        75.50,                   151000.00,2000
,CALSOFT,BE,        34.65,                  1527399.50,44702
,CAMLINFINE,EQ,        98.40,                 20335818.00,205197
,CANBK,EQ,       245.65,               2216352160.95,9145305
,CANDC,EQ,        40.55,                  1569658.70,38263
,CANFINHOME,EQ,       352.05,                391759518.35,1105112
,CANTABIL,BE,       125.25,                  4896471.05,39429
,CAPACITE,EQ,       297.85,                194955060.80,652870
,CAPF,EQ,       551.80,                240886312.40,435216
,CAPLIPOINT,EQ,       575.15,                  6417208.10,11109
,CAPTRUST,EQ,       371.40,                   265228.20,706
,CARBORUNIV,EQ,       327.25,                 20373842.20,61012
,CAREERP,EQ,       103.80,                  5516542.95,52734
,CARERATING,EQ,      1267.95,                 21913851.85,17077
,CASTEXTECH,EQ,         2.25,                  3672289.15,1662016
,CASTROLIND,EQ,       166.60,                160695244.00,953891
,CCCL,EQ,         3.30,                   204346.50,61634
,CCHHL,EQ,        10.30,                   498044.45,48324
,CCL,EQ,       298.75,                 71848446.15,234526
