,31-May-2018
The Nifty witnessed an intraday movement of about 143.4 points.The closing index was 1.15 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 59237.57
, Traded Quantity (in Lakhs), 25895.16
, Number of Trades, 15150626
, Total Market Capitalisation (Rs. Crores), 14693260.03

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ARCOTECH,EQ,        22.50,                  5510962.90,243370
,ARIES,EQ,       162.90,                  1313479.25,7951
,ARIHANTSUP,EQ,       118.45,                  9921681.30,84150
,ARMANFIN,BE,       390.40,                  1096623.00,2810
,AROGRANITE,EQ,        62.10,                   908760.70,14558
,ARROWGREEN,EQ,       222.10,                  1329268.50,5985
,ARROWTEX,EQ,        30.30,                   862363.45,28176
,ARSHIYA,EQ,        63.05,                  5218884.50,82452
,ARSSINFRA,BE,        35.70,                  1207576.50,34698
,ARVIND,EQ,       388.15,                459326794.90,1184705
,ARVSMART,EQ,       169.25,                  8846207.70,51193
,ASAHIINDIA,EQ,       346.65,                 17189771.65,49395
,ASAHISONG,EQ,       286.50,                  3652775.60,12573
,ASAL,EQ,        68.00,                   522924.10,7598
,ASHAPURMIN,EQ,        59.30,                  3789108.70,63353
,ASHIANA,EQ,       150.35,                  5123627.00,33498
,ASHIMASYN,EQ,        24.30,                  1261143.10,50996
,ASHOKA,EQ,       245.00,                117273051.45,467448
,ASIANHOTNR,EQ,       279.00,                    81845.25,302
,ASIANTILES,EQ,       424.75,                 13561184.15,32091
,ASPINWALL,EQ,       309.00,                  1484512.15,4794
,ASSAMCO,EQ,         3.90,                  1153541.10,293280
,ASTEC,EQ,       725.50,                 29620782.60,41219
,ASTERDM,EQ,       174.60,                 22166911.05,125800
,ASTRAL,EQ,      1035.10,                 66727563.65,65741
,ASTRAMICRO,EQ,       103.15,                 37149798.00,354743
,ASTRAZEN,EQ,      1190.70,                  6770365.80,5620
,ASTRON,EQ,       112.55,                 10549416.45,93746
,ATFL,EQ,       668.95,                  7575857.90,11261
,ATLANTA,EQ,        51.25,                 65380156.25,1246139
,ATLASCYCLE,BE,       141.95,                   161901.35,1137
,ATUL,EQ,      2824.35,                107080049.20,38373
,ATULAUTO,EQ,       428.40,                  2824335.10,6605
,AUBANK,EQ,       697.30,                 97042664.85,138884
,AURDIS,SM,        32.50,                    65000.00,2000
,AURIONPRO,EQ,       206.05,                  4214653.35,20097
,AUSOMENT,EQ,        77.00,                   540231.00,7016
,AUTOAXLES,EQ,      1249.35,                 30248976.75,23920
,AUTOIND,EQ,        74.30,                  1918105.25,25334
,AUTOLITIND,EQ,        63.70,                   410442.25,6403
,AVADHSUGAR,EQ,       365.20,                 13394131.90,35809
,AVANTIFEED,EQ,      1632.85,               1057799052.35,654297
,AVTNPL,EQ,        35.05,                   948593.35,26811
,AXISCADES,EQ,       144.80,                  5690789.95,38974
,AXISGOLD,EQ,      2745.00,                    32922.00,12
,AXISNIFTY,EQ,      1077.96,                    35426.00,33
,AYMSYNTEX,EQ,        58.00,                  1254398.80,21675
,BAFNAPHARM,EQ,        24.85,                   384159.70,15250
,BAGFILMS,EQ,         5.20,                  2548635.65,508988
,BAJAJCORP,EQ,       476.55,                 16413863.20,34728
,BAJAJELEC,EQ,       533.60,                227701777.50,426598
,BAJAJHIND,EQ,         7.35,                  9417236.60,1268631
,BAJAJHLDNG,EQ,      2769.95,                 26641009.85,9574
,BALAJITELE,EQ,       130.85,                  6003788.80,45565
,BALAMINES,EQ,       595.35,                 10903271.20,18164
,BALKRISHNA,EQ,        73.00,                   604857.80,8275
,BALKRISIND,EQ,      1134.60,                364471816.80,320097
,BALLARPUR,EQ,        11.20,                  6072927.15,535869
,BALMLAWRIE,EQ,       228.60,                 35715745.45,155165
,BALPHARMA,EQ,        78.25,                   927477.80,11753
,BALRAMCHIN,EQ,        71.45,                551302083.55,7574117
,BANARBEADS,EQ,        55.45,                   108541.45,1961
,BANARISUG,EQ,      1567.80,                   429736.70,274
,BANCOINDIA,EQ,       230.20,                 73058906.35,312441
,BANDHANBNK,EQ,       470.50,                175821163.50,375833
,BANG,EQ,        40.45,                   952454.05,23244
,BANKBEES,EQ,      2729.26,                 23270217.02,8540
,BANKINDIA,EQ,        98.60,                720801004.60,7244763
,BANSAL,SM,       114.45,                  2958800.00,26000
,BANSWRAS,EQ,        89.15,                   182395.70,2020
,BARTRONICS,BE,        11.50,                   619601.65,54624
,BASF,EQ,      2027.20,                 22847958.20,11351
,BASML,EQ,       226.70,                   302864.85,1331
,BATAINDIA,EQ,       779.50,               1041310785.40,1322550
,BAYERCROP,EQ,      4622.70,                 43835638.35,9477
,BBL,EQ,      1354.25,                 15852001.80,11595
,BBTC,EQ,      1612.75,               1174014635.50,724583
,BDL,EQ,       405.40,                 74007407.50,179428
,BEARDSELL,EQ,        41.25,                   101845.80,2455
,BEDMUTHA,BE,        18.00,                    53452.85,2959
,BEML,EQ,       925.15,                704710519.20,757635
,BEPL,EQ,       145.40,                464303000.40,3300419
,BERGEPAINT,EQ,       298.20,                823002259.95,2780225
,BFINVEST,EQ,       293.20,                 60297259.20,202166
,BFUTILITIE,EQ,       380.55,                180070919.35,469721
,BGLOBAL,BE,         4.10,                    41856.60,10304
,BGRENERGY,EQ,       106.45,                233090763.10,2138318
,BHAGERIA,EQ,       317.40,                 31951768.00,101137
,BHAGYANGR,EQ,        43.20,                  1088025.65,25018
,BHAGYAPROP,BE,        20.75,                   167759.20,8076
,BHANDARI,EQ,         2.45,                   701040.35,286264
,BHARATFIN,EQ,      1168.90,                675484856.00,580776
,BHARATFORG,EQ,       650.70,                899370274.80,1374402
,BHARATGEAR,EQ,       176.85,                  6568240.05,36271
,BHARATIDIL,BZ,         3.90,                    53654.80,13390
,BHARATRAS,EQ,      5804.85,                 26756983.65,4503
,BHARATWIRE,EQ,       107.15,                  9278232.45,87324
,BHUSANSTL,EQ,        42.60,                 11667288.00,273880
,BIGBLOC,EQ,       116.55,                  4385371.50,36726
,BIL,EQ,       389.45,                  3820212.90,9685
,BILENERGY,BE,          .55,                   101670.25,183672
,BINANIIND,EQ,        88.70,                  4304852.75,47895
,BINDALAGRO,EQ,        24.65,                   438808.05,17792
,BIOCON,EQ,       665.40,               3410491658.80,5114062
,BIOFILCHEM,BE,        13.30,                     1354.00,100
,BIRLACABLE,BE,        88.95,                  7574467.20,81897
,BIRLACORPN,EQ,       742.25,                 28258449.90,38066
,BIRLAMONEY,BE,        60.15,                  2460483.25,40962
,BKMINDST,EQ,        23.95,                    53535.85,2222
,BLBLIMITED,BE,         7.95,                     4881.70,636
,BLISSGVS,EQ,       177.50,                 33530976.05,187871
,BLKASHYAP,EQ,        43.45,                  3614505.95,82295
,BLS,EQ,       186.65,                 25451062.00,134779
,BLUEBLENDS,EQ,        11.00,                    29012.75,2600
,BLUECOAST,EQ,        78.90,                       78.90,1
,BLUEDART,EQ,      3449.90,                 10200334.25,2962
,BLUEDART,N2,        10.44,                    30840.00,3040
,BLUESTARCO,EQ,       700.75,                 32285184.20,46097
,BODALCHEM,EQ,       147.60,                266941118.75,1766819
,BOHRA,SM,        40.80,                   979000.00,24000
,BOMDYEING,EQ,       241.05,               1820460412.75,7365976
,BOROSIL,EQ,       872.70,                  5640997.75,6476
,BPL,EQ,        62.80,                  8972499.55,141862
,BRFL,BE,        21.15,                   836677.30,39500
,BRIGADE,EQ,       245.20,                  7646026.70,31111
,BRNL,EQ,       171.80,                  3715452.80,21722
,BROOKS,EQ,        92.95,                  4166857.20,44179
,BSE,EQ,       829.20,                102263200.90,122749
,BSELINFRA,EQ,         3.40,                   123550.00,36149
,BSHSL,SM,       116.95,                  2368300.00,20000
,BSL,EQ,        54.85,                    78930.00,1442
,BSLGOLDETF,EQ,      2918.00,                    17439.00,6
,BSLNIFTY,EQ,       111.00,                     4624.51,42
,BURNPUR,BE,         5.30,                   571269.05,106823
,BUTTERFLY,EQ,       415.40,                 18559317.35,44170
,BVCL,BE,        24.50,                     8375.55,339
,BYKE,EQ,       170.30,                  3582820.05,21015
,CADSYS,SM,        78.80,                   315200.00,4000
,CALSOFT,BE,        33.50,                   309248.85,9164
,CAMLINFINE,EQ,        90.00,                135030665.20,1452552
,CANBK,EQ,       257.15,               1641087017.75,6413844
,CANDC,EQ,        40.95,                  6403339.85,153773
,CANFINHOME,EQ,       378.85,                419470722.55,1088010
,CANTABIL,BE,       126.35,                   452558.00,3584
,CAPACITE,EQ,       310.65,                469107447.10,1500960
,CAPF,EQ,       570.75,                840463162.70,1483913
,CAPLIPOINT,EQ,       501.40,                 24476804.10,48507
,CAPTRUST,EQ,       389.25,                   796188.90,2050
,CARBORUNIV,EQ,       348.60,                 47605677.40,135872
,CAREERP,EQ,       108.95,                  3358482.35,31054
,CARERATING,EQ,      1296.35,                 71530809.70,55209
,CASTEXTECH,EQ,         3.05,                   323339.65,106013
,CASTROLIND,EQ,       170.90,                247442009.85,1439862
,CCCL,EQ,         3.65,                   526658.90,136832
,CCHHL,EQ,        10.50,                  1021085.10,94956
,CCL,EQ,       301.20,                157731645.65,523651
,CDSL,EQ,       291.20,                125693370.20,431687
,CEATLTD,EQ,      1361.85,                660244998.80,482384
,CEBBCO,EQ,        13.75,                   139238.70,10111
,CELEBRITY,EQ,        15.25,                   770242.40,49313
,CELESTIAL,EQ,        12.75,                   258807.45,20074
,CENTENKA,EQ,       309.85,                  2746328.45,8828
,CENTEXT,EQ,         7.05,                  5595650.75,784639
,CENTRALBK,EQ,        73.55,                 55923245.55,756991
,CENTRUM,EQ,        54.55,                 19181868.65,354670
,CENTUM,EQ,       506.90,                   972438.45,1940
