,03-May-2018
The Nifty witnessed an intraday movement of about 73.15 points.The closing index was 0.36 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32233.68
, Traded Quantity (in Lakhs), 14766.08
, Number of Trades, 11813200
, Total Market Capitalisation (Rs. Crores), 14853613.28

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,APLLTD,EQ,       520.00,                  5486697.50,10436
,APOLLO,EQ,       208.35,                 16720169.75,78851
,APOLLOHOSP,EQ,      1069.30,                281089709.45,262980
,APOLLOTYRE,EQ,       286.35,                698616877.90,2402684
,APOLSINHOT,EQ,      1763.95,                  4873769.65,2740
,APTECHT,EQ,       273.75,                 78929675.85,287271
,ARCHIDPLY,EQ,        91.75,                  5416742.45,58751
,ARCHIES,BE,        36.30,                  8001075.25,214039
,ARCOTECH,EQ,        23.50,                 21114867.10,880190
,ARIES,EQ,       198.65,                  3007880.30,15076
,ARIHANT,BE,        40.40,                     2020.00,50
,ARIHANTSUP,EQ,       120.70,                  6066873.60,50249
,ARMANFIN,BE,       414.35,                   209341.50,510
,AROGRANITE,EQ,        56.05,                  1103368.95,19476
,ARROWGREEN,EQ,       320.05,                  2391339.45,7418
,ARROWTEX,EQ,        35.00,                   238991.30,6827
,ARSHIYA,EQ,        62.15,                 11643756.65,188365
,ARSSINFRA,BE,        41.80,                   248011.85,5930
,ARVIND,EQ,       412.45,                404426092.55,984540
,ARVSMART,EQ,       202.80,                  4880170.15,24079
,ASAHIINDIA,EQ,       363.65,                  5505000.70,15161
,ASAHISONG,EQ,       337.10,                  1082996.90,3198
,ASAL,EQ,        79.70,                  2437069.10,30441
,ASHAPURMIN,EQ,        66.65,                  6971677.20,103642
,ASHIANA,EQ,       159.50,                  5487601.65,34729
,ASHIMASYN,EQ,        29.15,                  6094637.95,205862
,ASHOKA,EQ,       282.05,                 27516365.35,98318
,ASIANHOTNR,EQ,       324.80,                  2451728.35,7729
,ASIANTILES,EQ,       465.55,                 27180776.90,58501
,ASPINWALL,EQ,       383.00,                   274798.90,717
,ASSAMCO,EQ,         4.50,                  4489759.65,1015290
,ASTEC,EQ,       736.25,                400728433.80,542641
,ASTERDM,EQ,       166.25,                  8424198.35,50621
,ASTRAL,EQ,       944.05,                 86028462.90,91740
,ASTRAMICRO,EQ,       106.85,                 57459837.75,534225
,ASTRAZEN,EQ,      1070.60,                  7744856.10,7281
,ASTRON,EQ,       143.65,                 48848831.65,347569
,ATFL,EQ,       701.10,                 10127300.80,14470
,ATLANTA,EQ,        73.60,                  5823229.20,78812
,ATLASCYCLE,BE,       155.20,                   743110.55,4780
,ATUL,EQ,      2816.45,                 94498304.85,33489
,ATULAUTO,EQ,       441.45,                  4754577.20,10764
,AUBANK,EQ,       697.85,                 48636669.20,69322
,AURDIS,SM,        27.45,                   109800.00,4000
,AURIONPRO,EQ,       226.55,                  4214407.50,18515
,AUSOMENT,EQ,        76.40,                  2751499.45,37021
,AUTOAXLES,EQ,      1525.90,                  8001923.90,5247
,AUTOIND,EQ,        88.00,                  3112480.70,35124
,AUTOLITIND,EQ,        73.10,                   716543.30,9663
,AVADHSUGAR,EQ,       358.40,                  9119413.35,25288
,AVANTIFEED,EQ,      2359.50,                167055375.15,70459
,AVG,SM,       132.20,                   641400.00,4800
,AVTNPL,EQ,        35.60,                  3828096.40,106572
,AXISCADES,EQ,       168.15,                 12222806.10,71974
,AXISGOLD,EQ,      2706.90,                   297541.50,110
,AXISNIFTY,EQ,      1073.64,                    18206.49,17
,AYMSYNTEX,EQ,        63.95,                  1330310.80,20744
,BAFNAPHARM,EQ,        27.50,                   535270.20,20130
,BAGFILMS,EQ,         5.10,                   507333.80,99345
,BAJAJCORP,EQ,       463.00,                  4599235.45,9913
,BAJAJELEC,EQ,       639.85,                121525845.40,189437
,BAJAJHIND,EQ,         8.60,                 16961955.80,1972996
,BAJAJHLDNG,EQ,      2679.75,                 71480500.90,26679
,BALAJITELE,EQ,       130.35,                  4796415.10,36731
,BALAMINES,EQ,       669.75,                 18629657.95,27787
,BALKRISHNA,EQ,        80.40,                   299523.25,3733
,BALKRISIND,EQ,      1245.75,               1135521437.75,904375
,BALLARPUR,EQ,        13.25,                  6956523.85,531825
,BALMLAWRIE,EQ,       219.00,                  7623334.20,34815
,BALPHARMA,EQ,        83.75,                  1033708.70,12319
,BALRAMCHIN,EQ,        64.05,                353697484.70,5510722
,BANARBEADS,EQ,        59.05,                     1782.10,30
,BANARISUG,EQ,      1686.50,                   144284.15,86
,BANCOINDIA,EQ,       230.55,                  5114953.50,22134
,BANDHANBNK,EQ,       502.05,                433571560.60,861937
,BANG,EQ,        37.25,                   167440.75,4528
,BANKBEES,EQ,      2601.89,                 21567649.86,8318
,BANKINDIA,EQ,       101.15,                451741078.90,4458903
,BANSAL,SM,       119.10,                  3178000.00,27000
,BANSWRAS,EQ,       103.60,                   861467.70,8136
,BARTRONICS,EQ,        14.95,                  3835228.15,256537
,BASF,EQ,      2131.75,                 19455976.15,8990
,BASML,EQ,       232.05,                   164712.50,699
,BATAINDIA,EQ,       770.75,                351066699.95,455832
,BAYERCROP,EQ,      4570.30,                 33192580.45,7260
,BBL,EQ,      1673.85,                 18114637.75,10787
,BBTC,EQ,      1494.70,                292776737.85,194341
,BCONCEPTS,SM,        51.00,                   306000.00,6000
,BDL,EQ,       392.30,                 12569068.05,32273
,BEARDSELL,EQ,        49.50,                    15204.40,308
,BEDMUTHA,BE,        22.70,                   396002.30,17187
,BEML,EQ,      1006.55,                329989167.00,324825
,BEPL,EQ,       183.80,                121797306.15,665821
,BERGEPAINT,EQ,       278.20,                149985893.60,536950
,BETA,SM,       126.00,                   603200.00,4800
,BFINVEST,EQ,       337.70,                 89552908.45,262485
,BFUTILITIE,EQ,       397.15,                321864574.30,792223
,BGLOBAL,BE,         4.65,                    59813.70,12848
,BGRENERGY,EQ,       105.85,                  4851856.00,45721
,BHAGERIA,EQ,       334.25,                 13556320.45,41120
,BHAGYANGR,EQ,        44.00,                  3955505.65,89416
,BHAGYAPROP,BE,        24.50,                   190855.00,7790
,BHANDARI,EQ,         2.80,                   234470.60,84223
,BHARATFIN,EQ,      1152.00,                661116187.30,576314
,BHARATFORG,EQ,       750.20,                919108405.95,1221539
,BHARATGEAR,EQ,       182.25,                  4677492.30,25522
,BHARATIDIL,BZ,         4.85,                   147378.75,30478
,BHARATRAS,EQ,      6544.75,                100328314.95,14997
,BHARATWIRE,EQ,       124.90,                  6484382.50,51200
,BHUSANSTL,EQ,        23.75,                 59662730.80,2521499
,BIGBLOC,EQ,       168.25,                  6797249.40,40399
,BIL,EQ,       408.00,                  1171580.40,2852
,BILENERGY,BE,          .65,                    19860.60,29518
,BILPOWER,EQ,         1.40,                      420.00,300
,BINANIIND,EQ,        94.45,                 15788441.40,168022
,BINDALAGRO,EQ,        27.30,                   599033.75,21932
,BIOCON,EQ,       627.00,               1943382671.80,3079024
,BIOFILCHEM,BE,        14.85,                    18733.50,1347
,BIRLACABLE,BE,        77.70,                  9142470.75,119305
,BIRLACORPN,EQ,       743.90,                 19611877.00,26431
,BIRLAMONEY,BE,        70.25,                  2494397.70,35757
