,02-May-2018
The Nifty witnessed an intraday movement of about 94.85 points.The closing index was 0.2 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35016.49
, Traded Quantity (in Lakhs), 15455.52
, Number of Trades, 11796715
, Total Market Capitalisation (Rs. Crores), 14966387.2

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BALPHARMA,EQ,        84.70,                   464500.40,5424
,BALRAMCHIN,EQ,        66.40,                897156491.85,12855232
,BANARBEADS,EQ,        57.90,                    55761.50,955
,BANARISUG,EQ,      1686.60,                   567711.40,334
,BANCOINDIA,EQ,       232.95,                 14030882.40,59956
,BANDHANBNK,EQ,       515.85,                682228230.90,1319363
,BANG,EQ,        36.40,                   388051.85,10820
,BANKBEES,EQ,      2598.37,                 98732831.23,37841
,BANKINDIA,EQ,       101.50,                465976561.25,4545389
,BANSAL,SM,       122.50,                  1225300.00,10000
,BANSWRAS,EQ,       108.70,                   367703.30,3382
,BARTRONICS,EQ,        15.70,                 12595753.95,782047
,BASF,EQ,      2170.55,                 40036984.25,18355
,BASML,EQ,       236.00,                   446263.80,1879
,BATAINDIA,EQ,       777.90,                481790649.40,609612
,BAYERCROP,EQ,      4646.85,                 42533149.65,9134
,BBL,EQ,      1688.25,                 62281489.80,35747
,BBTC,EQ,      1538.65,                763315044.05,476876
,BDL,EQ,       390.10,                 19497193.35,49460
,BEARDSELL,EQ,        50.75,                   216130.60,4267
,BEDMUTHA,BE,        22.80,                   345275.70,15090
,BEML,EQ,      1041.65,                340903364.35,322104
,BEPL,EQ,       182.30,                131951409.85,709816
,BERGEPAINT,EQ,       280.00,                186374762.40,661873
,BETA,SM,       125.00,                  1013040.00,8000
,BFINVEST,EQ,       347.55,                111861747.75,317518
,BFUTILITIE,EQ,       417.10,                214546587.55,506558
,BGLOBAL,BE,         4.75,                    26653.90,5577
,BGRENERGY,EQ,       107.35,                 14907795.20,135416
,BHAGERIA,EQ,       324.75,                  9314862.15,29029
,BHAGYANGR,EQ,        45.95,                  2186734.85,46864
,BHAGYAPROP,BE,        25.75,                   624746.25,24245
,BHANDARI,EQ,         2.80,                   658813.95,234418
,BHARATFIN,EQ,      1151.90,                262298848.00,227689
,BHARATFORG,EQ,       768.75,                367954239.55,474472
,BHARATGEAR,EQ,       185.90,                 58295935.45,305553
,BHARATIDIL,BZ,         4.85,                   149595.65,30146
,BHARATRAS,EQ,      7046.55,                253568728.70,37022
,BHARATWIRE,EQ,       128.65,                 16943076.25,128200
,BHUSANSTL,EQ,        22.65,                 90871762.20,4068647
,BIGBLOC,EQ,       168.65,                  6823581.70,39558
,BIL,EQ,       413.10,                  1443731.05,3515
,BILENERGY,BE,          .70,                   194266.65,309984
,BILPOWER,EQ,         1.45,                       24.65,17
,BINANIIND,EQ,        92.95,                 19400285.35,213525
,BINDALAGRO,EQ,        27.85,                   598646.05,21328
,BIOCON,EQ,       663.95,                875821823.80,1318395
