,28-May-2018
The Nifty witnessed an intraday movement of about 69.25 points.The closing index was 0.79 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30128.42
, Traded Quantity (in Lakhs), 14205.37
, Number of Trades, 11263802
, Total Market Capitalisation (Rs. Crores), 14705586.77

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ASIANTILES,EQ,       428.45,                  9438539.75,22002
,ASPINWALL,EQ,       362.00,                   320342.35,898
,ASSAMCO,EQ,         3.95,                   501483.05,125241
,ASTEC,EQ,       688.15,                  7278564.50,10529
,ASTERDM,EQ,       179.75,                 11496699.35,63997
,ASTRAL,EQ,       965.30,                 37554547.35,39112
,ASTRAMICRO,EQ,        98.00,                 83333407.45,852967
,ASTRAZEN,EQ,      1185.35,                  7150667.30,5988
,ASTRON,EQ,       112.80,                  7050216.00,62292
,ATFL,EQ,       695.15,                  4927678.85,7050
,ATLANTA,EQ,        65.85,                 25128133.65,381663
,ATLASCYCLE,BE,       140.50,                   471651.55,3379
,ATUL,EQ,      2723.10,                 17240668.60,6287
,ATULAUTO,EQ,       433.40,                  3285396.15,7613
,AUBANK,EQ,       686.10,                 48276969.40,69898
,AURDIS,SM,        31.25,                   250600.00,8000
,AURIONPRO,EQ,       207.90,                  2274951.25,10981
,AUSOMENT,EQ,        70.20,                   707535.80,10201
,AUSTRAL,BZ,          .15,                    27458.60,116798
,AUTOAXLES,EQ,      1319.95,                 53121604.95,39793
,AUTOIND,EQ,        75.00,                  1195559.05,15818
,AUTOLITIND,EQ,        64.60,                  2255283.75,34608
,AVADHSUGAR,EQ,       367.45,                 14743124.55,39829
,AVANTIFEED,EQ,      1816.70,                498764303.40,269950
,AVG,SM,       110.00,                   132000.00,1200
,AVTNPL,EQ,        35.85,                  1821747.15,51195
,AXISCADES,EQ,       154.45,                 13021617.70,85655
,AXISGOLD,EQ,      2728.05,                   549154.55,201
,AXISNIFTY,EQ,      1074.13,                   639164.29,595
,AYMSYNTEX,EQ,        58.20,                   997879.85,17106
,BAFNAPHARM,EQ,        26.75,                  4452722.40,161332
,BAGFILMS,EQ,         5.20,                   795188.00,152793
,BAJAJCORP,EQ,       463.05,                  9872939.85,21327
,BAJAJELEC,EQ,       554.60,                276078703.85,488350
,BAJAJHIND,EQ,         7.40,                 26491477.15,3599382
,BAJAJHLDNG,EQ,      2790.20,                 19747674.15,7047
,BALAJITELE,EQ,       130.10,                  4179559.75,32468
,BALAMINES,EQ,       627.75,                  9083960.75,14555
,BALKRISHNA,EQ,        73.00,                   653392.00,8950
,BALKRISIND,EQ,      1146.85,                904633325.35,790530
,BALLARPUR,EQ,        11.45,                  5913815.55,519505
,BALMLAWRIE,EQ,       217.50,                 16655203.90,77215
,BALPHARMA,EQ,        79.65,                 11979171.85,148405
,BALRAMCHIN,EQ,        74.75,                692046659.50,9403850
,BANARBEADS,EQ,        54.95,                    14327.35,262
,BANARISUG,EQ,      1570.85,                   411553.00,262
,BANCOINDIA,EQ,       217.25,                  3238411.65,14936
,BANDHANBNK,EQ,       484.55,                110949963.45,228736
,BANG,EQ,        42.30,                   833673.05,19721
,BANKBEES,EQ,      2698.35,                  7571002.17,2816
,BANKINDIA,EQ,       107.75,               1535574193.10,14368980
,BANSAL,SM,       106.50,                  1156500.00,10000
,BANSWRAS,EQ,        93.45,                    82112.45,873
,BARTRONICS,BE,        12.25,                  1004300.00,82578
,BASF,EQ,      1995.90,                 46591232.10,23300
,BASML,EQ,       239.10,                   188947.50,800
,BATAINDIA,EQ,       776.80,                674457206.80,869123
,BAYERCROP,EQ,      4555.60,                 26672266.70,5846
,BBL,EQ,      1394.25,                 10112794.60,7174
,BBTC,EQ,      1532.20,                306223486.65,199778
,BDL,EQ,       396.25,                 16906218.30,43083
,BEARDSELL,EQ,        43.60,                    94473.45,2183
,BEDMUTHA,BE,        18.20,                   339946.15,18918
,BEML,EQ,       944.40,               1175243817.35,1237845
,BEPL,EQ,       161.25,                100437613.35,615800
,BERGEPAINT,EQ,       301.25,                467148661.45,1563152
,BETA,SM,       123.00,                   196800.00,1600
,BFINVEST,EQ,       300.15,                 41863829.85,138974
,BFUTILITIE,EQ,       375.50,                130268723.60,346171
,BGLOBAL,BE,         4.15,                    63877.10,15215
,BGRENERGY,EQ,        96.50,                  8712808.75,91000
,BHAGERIA,EQ,       295.85,                  7494657.65,25758
,BHAGYANGR,EQ,        46.30,                  6574682.70,141337
,BHAGYAPROP,BE,        21.60,                   254027.40,12351
,BHANDARI,EQ,         2.25,                  1250704.35,556159
,BHARATFIN,EQ,      1155.20,               1257825274.20,1091416
,BHARATFORG,EQ,       663.45,                611075488.30,926550
,BHARATGEAR,EQ,       176.00,                  9409291.30,53400
,BHARATIDIL,BZ,         4.05,                    22154.55,5447
,BHARATRAS,EQ,      5665.10,                  6031655.40,1067
,BHARATWIRE,EQ,       111.30,                  1945137.05,17458
,BHUSANSTL,EQ,        36.90,                  6893510.40,186816
,BIGBLOC,EQ,       118.30,                 10571447.90,89345
,BIL,EQ,       397.10,                   970364.95,2452
,BILENERGY,BE,          .55,                   186950.45,372322
,BINANIIND,EQ,        90.20,                  3665095.30,40552
,BINDALAGRO,EQ,        25.50,                  1439942.90,56208
,BIOCON,EQ,       666.15,               1206244890.75,1814323
,BIOFILCHEM,BE,        14.00,                     8307.65,606
,BIRLACABLE,BE,        84.20,                   319791.60,3798
,BIRLACORPN,EQ,       741.25,                 50678975.95,67700
,BIRLAMONEY,BE,        63.20,                  1437289.55,22949
,BKMINDST,EQ,        27.50,                  1853379.15,68285
,BLBLIMITED,BE,         8.05,                    16934.60,2206
,BLISSGVS,EQ,       180.25,                 28804863.40,159393
,BLKASHYAP,EQ,        45.20,                 11993828.85,264594
,BLS,EQ,       195.00,                147676209.70,787298
,BLUEBLENDS,EQ,        11.15,                   609077.70,54382
,BLUEDART,EQ,      3540.15,                  9109586.00,2571
,BLUEDART,N2,        10.00,                     6880.00,688
,BLUEDART,N3,        10.20,                     5260.20,516
,BLUESTARCO,EQ,       702.05,                 44428405.55,63279
,BODALCHEM,EQ,       134.80,                107388437.70,806281
,BOMDYEING,EQ,       268.95,                578441508.25,2149323
,BOROSIL,EQ,       832.40,                  2116527.90,2556
,BPL,EQ,        63.05,                 12801660.40,204303
,BRFL,BE,        22.80,                  1380008.40,61309
,BRIGADE,EQ,       247.90,                  3256990.55,13161
,BRNL,EQ,       171.90,                  5071284.75,29618
,BROOKS,EQ,        98.50,                  8914925.50,90186
,BSE,EQ,       833.80,                110181131.85,132071
,BSELINFRA,EQ,         3.60,                   243813.45,69040
,BSHSL,SM,       113.55,                 10119300.00,86000
,BSL,EQ,        55.00,                   232946.00,4243
,BSLGOLDETF,EQ,      2928.00,                    17553.00,6
,BSLIMITED,BZ,          .80,                   158323.10,202320
,BSLNIFTY,EQ,       109.80,                     2759.34,25
,BURNPUR,BE,         5.50,                  1867519.60,341052
,BUTTERFLY,EQ,       442.80,                  5992884.95,13369
,BVCL,BE,        23.50,                   205381.15,8765
,BYKE,EQ,       171.60,                  3480020.25,20315
,CADSYS,SM,        78.50,                   771300.00,10000
,CALSOFT,BE,        31.05,                   147208.50,4786
,CAMLINFINE,EQ,        83.55,                265212943.30,3215771
,CANBK,EQ,       264.45,               2676433438.35,10188035
,CANDC,EQ,        47.70,                  1122749.25,24182
,CANFINHOME,EQ,       399.80,                998675519.15,2557508
,CANTABIL,BE,       125.30,                  1940587.65,14979
,CAPACITE,EQ,       286.00,                105925569.50,375190
,CAPF,EQ,       573.35,                247971785.00,434193
,CAPLIPOINT,EQ,       595.25,                 23027912.65,38392
,CAPTRUST,EQ,       402.75,                  1342102.75,3293
