,26-Sep-2018
The Nifty witnessed an intraday movement of about 152.5 points.The closing index was 0.12 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35572.48
, Traded Quantity (in Lakhs), 16913.98
, Number of Trades, 13393395
, Total Market Capitalisation (Rs. Crores), 14616934.32

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,APOLLOHOSP,EQ,      1043.30,                698599289.50,668783
,APOLLOTYRE,EQ,       228.30,                550430696.90,2397083
,APOLSINHOT,EQ,      1263.00,                    79412.15,61
,APTECHT,EQ,       173.65,                 37830667.90,217393
,ARCHIDPLY,EQ,        46.00,                   630348.00,13493
,ARCHIES,EQ,        26.15,                   583682.60,22326
,ARCOTECH,BE,        11.40,                  2440279.05,213130
,ARIES,EQ,       100.00,                  2385135.40,23719
,ARIHANT,EQ,        32.90,                     3374.70,101
,ARIHANTSUP,EQ,        66.20,                  1778893.30,26259
,ARMANFIN,EQ,       368.60,                  1904889.75,5329
,AROGRANITE,EQ,        53.60,                   562929.15,10425
,ARROWGREEN,EQ,       118.50,                  1200521.25,10050
,ARROWTEX,EQ,        28.20,                   231413.95,8205
,ARSHIYA,EQ,        38.35,                  7980591.60,208569
,ARSSINFRA,EQ,        25.40,                   494531.35,19787
,ARTNIRMAN,SM,        20.00,                   240000.00,12000
,ARVIND,EQ,       352.20,                958676669.85,2724729
,ARVSMART,EQ,       133.65,                  1691641.40,12600
,ASAHIINDIA,EQ,       335.95,                  7342770.20,22216
,ASAHISONG,EQ,       254.90,                   818394.00,3145
,ASAL,EQ,        50.85,                   283043.80,5502
,ASHAPURMIN,EQ,        34.65,                  1663012.80,48131
,ASHIANA,EQ,       136.70,                  4611770.65,34008
,ASHIMASYN,EQ,        16.60,                   701794.05,42329
,ASHOKA,EQ,       113.90,                 35045651.55,307034
,ASIANHOTNR,EQ,       200.15,                    25421.10,127
,ASIANTILES,EQ,       202.55,                  6316991.55,30649
,ASPINWALL,EQ,       211.00,                   927462.65,4430
,ASSAMCO,BE,         3.55,                   838751.40,236268
,ASTEC,EQ,       545.00,                 10810737.25,19708
,ASTERDM,EQ,       159.45,                  4236985.70,26694
,ASTRAL,EQ,       989.60,                 53821243.50,54413
,ASTRAMICRO,EQ,        91.95,                501010328.50,5747004
,ASTRAZEN,EQ,      1688.60,                 13031425.60,7726
,ASTRON,EQ,       124.00,                 25258717.20,200404
,ATFL,EQ,       618.95,                  2640175.90,4259
,ATLANTA,EQ,        30.20,                  1335747.80,43262
,ATLASCYCLE,BZ,       111.30,                   339484.00,3031
,ATUL,EQ,      3225.50,                 35029295.10,10907
,ATULAUTO,EQ,       337.60,                  5618249.75,16550
,AUBANK,EQ,       617.80,                275101951.55,441370
,AURDIS,SM,        22.60,                   135400.00,6000
,AURIONPRO,EQ,       164.60,                  2504643.85,15235
,AUSOMENT,EQ,        55.65,                   101941.05,1801
,AUTOAXLES,EQ,      1312.20,                 19343792.60,14629
,AUTOIND,EQ,        71.55,                  6531873.85,90419
,AUTOLITIND,EQ,        46.35,                  1401598.50,29616
,AVADHSUGAR,EQ,       492.80,                265101003.05,515817
,AVANTIFEED,EQ,       408.90,                264875057.05,644550
,AVG,SM,        82.00,                   190800.00,2400
,AVTNPL,EQ,        28.50,                   906971.90,31597
,AXISCADES,EQ,        86.75,                  2776443.50,32098
,AXISGOLD,EQ,      2678.10,                  1474159.50,547
,AXISNIFTY,EQ,      1125.76,                   130542.07,116
,AYMSYNTEX,EQ,        37.10,                   131649.95,3539
,BAFNAPHARM,EQ,        15.25,                   358455.45,23185
,BAGFILMS,BE,         4.85,                   402397.85,83524
,BAJAJCORP,EQ,       437.65,                 27551182.90,62240
,BAJAJELEC,EQ,       491.90,                232213848.75,468936
,BAJAJHIND,EQ,         9.40,                215976018.30,21343540
,BAJAJHLDNG,EQ,      3095.85,                108039437.30,35026
,BALAJITELE,EQ,       100.10,                 11267749.70,115123
,BALAMINES,EQ,       506.95,                  6848315.65,13464
,BALKRISHNA,EQ,        56.50,                   809238.70,14327
,BALKRISIND,EQ,      1104.60,                349306226.60,318022
,BALLARPUR,EQ,         7.60,                  7720106.25,991230
,BALMLAWRIE,EQ,       190.75,                 17257227.85,89825
,BALPHARMA,EQ,        90.60,                  4644862.05,50670
,BALRAMCHIN,EQ,        77.85,               3271262857.45,40123867
,BANARBEADS,EQ,        47.95,                    50580.50,1042
,BANARISUG,EQ,      1652.05,                  3857535.70,2283
,BANCOINDIA,EQ,       202.40,                  6740240.85,33040
,BANDHANBNK,EQ,       552.60,                349221184.20,625749
,BANG,EQ,        52.35,                  2904641.45,56878
,BANKBEES,EQ,      2580.19,                  5541397.48,2143
,BANKINDIA,EQ,        83.85,                741928885.50,8849865
,BANSAL,SM,        73.30,                  3762200.00,47000
,BANSWRAS,EQ,        70.00,                   340391.85,4901
,BARTRONICS,EQ,         7.55,                   312613.40,41487
,BASF,EQ,      1785.95,                  6203139.25,3442
,BASML,EQ,       205.00,                   123569.35,602
,BATAINDIA,EQ,       956.50,                576553627.00,603206
,BAYERCROP,EQ,      4372.25,                 28472446.30,6597
