,05-Sep-2018
The Nifty witnessed an intraday movement of about 148.8 points.The closing index was 0.38 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 37075.89
, Traded Quantity (in Lakhs), 16742.16
, Number of Trades, 12974313
, Total Market Capitalisation (Rs. Crores), 15334292.61

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ASIANHOTNR,EQ,       227.35,                    48776.50,215
,ASIANTILES,EQ,       226.95,                 12163473.85,53617
,ASPINWALL,EQ,       230.35,                  1933275.55,8491
,ASSAMCO,BE,         4.50,                   840597.65,188813
,ASTEC,EQ,       682.05,                 56455782.70,83911
,ASTERDM,EQ,       176.25,                 49909266.90,279842
,ASTRAL,EQ,      1125.65,                 21276168.50,18830
,ASTRAMICRO,EQ,        93.85,                 18725406.35,200396
,ASTRAZEN,EQ,      1777.40,                 50950962.00,28728
,ASTRON,EQ,       115.40,                 29329170.50,253847
,ATFL,EQ,       651.85,                  7093914.45,10890
,ATLANTA,EQ,        36.55,                  1876470.65,51128
,ATLASCYCLE,BE,       134.45,                   350615.20,2615
,ATUL,EQ,      3225.30,                 55968628.95,17623
,ATULAUTO,EQ,       372.35,                  6018396.80,16070
,AUBANK,EQ,       701.40,                325463522.95,471364
,AURDIS,SM,        29.25,                    58500.00,2000
,AURIONPRO,EQ,       181.30,                  2266105.90,12448
,AUSOMENT,EQ,        64.60,                   395801.65,6080
,AUTOAXLES,EQ,      1356.20,                 37289953.85,27410
,AUTOIND,EQ,        57.70,                   900099.45,15544
,AUTOLITIND,EQ,        52.55,                   616780.75,11780
,AVADHSUGAR,EQ,       346.55,                  4379892.45,12755
,AVANTIFEED,EQ,       419.70,                131672394.60,314634
,AVG,SM,        97.05,                   567120.00,6000
,AVONMPL,SM,        54.40,                   335000.00,6000
,AVTNPL,EQ,        31.35,                  1300863.20,41437
,AXISCADES,EQ,        99.75,                  2943560.75,29660
,AXISGOLD,EQ,      2685.00,                   274189.10,102
,AXISNIFTY,EQ,      1156.42,                   116384.97,100
,AYMSYNTEX,EQ,        39.00,                   271503.30,6942
,BAFNAPHARM,EQ,        19.70,                   602573.70,29827
,BAGFILMS,BE,         5.95,                   912426.70,151912
,BAJAJCORP,EQ,       416.40,                  8117626.85,19746
,BAJAJELEC,EQ,       536.70,                142545601.55,264714
,BAJAJHIND,EQ,         6.60,                  5580648.45,844095
,BAJAJHLDNG,EQ,      3007.95,                 44385221.35,14652
,BALAJITELE,EQ,       105.95,                 10931721.10,102788
,BALAMINES,EQ,       559.35,                 15374991.20,27989
,BALKRISHNA,EQ,        65.40,                  1007871.50,15384
,BALKRISIND,EQ,      1165.75,               3423406420.90,2971201
,BALLARPUR,EQ,         9.00,                  8491020.10,943447
,BALMLAWRIE,EQ,       208.60,                 20487493.40,97768
,BALPHARMA,EQ,        86.05,                  2374309.05,27749
,BALRAMCHIN,EQ,        74.85,                230150217.00,3120850
,BANARBEADS,EQ,        49.00,                    64577.25,1306
,BANARISUG,EQ,      1474.55,                   165021.60,112
,BANCOINDIA,EQ,       232.20,                 50186349.05,216527
,BANDHANBNK,EQ,       635.40,               7024157394.00,11060659
,BANG,EQ,        46.75,                   672401.55,14419
,BANKBEES,EQ,      2787.70,                107701804.61,38774
,BANKINDIA,EQ,        94.10,                825390807.40,8864529
,BANSAL,SM,       108.85,                  5391700.00,50000
,BANSWRAS,EQ,        78.05,                   378987.20,4808
,BARTRONICS,EQ,         8.95,                   179526.05,20153
,BASF,EQ,      1955.35,                 17226682.15,8850
,BASML,EQ,       209.95,                    74847.20,357
,BATAINDIA,EQ,      1057.20,                959622180.40,923602
,BAYERCROP,EQ,      4474.30,                 30838072.50,6909
,BBL,EQ,      1340.90,                 14994774.00,11235
,BBTC,EQ,      1854.75,                714039103.35,393144
,BCONCEPTS,SM,        37.00,                   111000.00,3000
,BDL,EQ,       348.55,                  9343628.40,26636
,BEARDSELL,EQ,        36.35,                   929741.65,25708
,BEDMUTHA,EQ,        18.75,                    11107.70,595
,BEML,EQ,       767.75,               1969560014.55,2572084
,BEPL,EQ,       125.80,                 41857547.20,333965
,BERGEPAINT,EQ,       318.70,                242678871.40,762934
,BETA,SM,        91.00,                   507600.00,5600
,BFINVEST,EQ,       302.15,                 51915584.00,172125
,BFUTILITIE,EQ,       309.45,                 88736453.80,286073
,BGLOBAL,BE,         2.70,                    12201.30,4519
,BGRENERGY,EQ,        76.20,                  7480282.45,97815
,BHAGERIA,EQ,       290.10,                  1967965.05,6755
,BHAGYANGR,BE,        34.55,                   320050.90,9359
,BHAGYAPROP,EQ,        23.40,                    15894.35,685
,BHANDARI,EQ,         2.55,                   399305.10,161631
,BHARATFIN,EQ,      1129.90,                977315877.20,872238
,BHARATFORG,EQ,       663.50,                839291292.70,1284439
,BHARATGEAR,EQ,       177.20,                  2586371.50,14530
