,07-Sep-2018
The Nifty witnessed an intraday movement of about 118.6 points.The closing index was 0.45 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 36966.93
, Traded Quantity (in Lakhs), 14044.67
, Number of Trades, 12659002
, Total Market Capitalisation (Rs. Crores), 15511978.16

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ANDHRSUGAR,EQ,       383.30,                  9577318.45,24942
,ANGIND,BE,         2.55,                     9102.90,3587
,ANIKINDS,EQ,        29.00,                   143571.05,4913
,ANKITMETAL,BE,          .75,                    24914.30,35485
,ANSALAPI,EQ,        15.95,                  1134489.80,71669
,ANSALHSG,EQ,        14.45,                   474749.65,32931
,ANTGRAPHIC,BE,          .55,                    37079.40,73508
,APARINDS,EQ,       617.75,                 21082087.60,34109
,APCL,EQ,       146.75,                   310455.55,2104
,APCOTEXIND,EQ,       605.75,                  2435763.40,4014
,APEX,EQ,       386.05,                 39062127.25,100391
,APLAPOLLO,EQ,      1537.55,                 52307787.50,34011
,APLLTD,EQ,       639.10,                 86858464.30,136527
,APOLLO,EQ,       150.40,                  2663790.30,17694
,APOLLOHOSP,EQ,      1159.20,               1521859017.00,1338252
,APOLLOTYRE,EQ,       247.75,                558127925.35,2248742
,APOLSINHOT,EQ,      1376.85,                   210352.00,152
,APTECHT,EQ,       213.85,                 32321701.45,149869
,ARCHIDPLY,EQ,        56.15,                  1798860.75,32216
,ARCHIES,EQ,        27.30,                  1043983.35,38575
,ARCOTECH,BE,        14.55,                  1557648.20,107431
,ARIES,EQ,       118.60,                 11458755.30,96750
,ARIHANT,EQ,        37.55,                   152300.40,4108
,ARIHANTSUP,EQ,        71.15,                  3330375.90,46761
,ARMANFIN,EQ,       402.35,                   959824.20,2372
,AROGRANITE,EQ,        59.45,                   431448.35,7146
,ARROWGREEN,EQ,       139.55,                  2550581.20,18338
,ARROWTEX,EQ,        30.20,                   434906.85,14481
,ARSHIYA,EQ,        45.20,                  1187193.30,26222
,ARSSINFRA,EQ,        25.85,                    36004.75,1418
,ARTNIRMAN,SM,        18.50,                   111000.00,6000
,ARVIND,EQ,       394.30,                868463967.60,2214518
,ARVSMART,EQ,       151.45,                  1409959.85,9301
,ASAHIINDIA,EQ,       347.95,                  4085634.00,11779
,ASAHISONG,EQ,       262.80,                  1359350.90,5146
,ASAL,EQ,        56.90,                   353540.45,6198
,ASHAPURMIN,EQ,        44.10,                  6822702.90,154466
,ASHIANA,EQ,       149.75,                  3921770.10,26156
,ASHIMASYN,EQ,        18.95,                   735481.70,38723
,ASHOKA,EQ,       136.85,                 19538355.05,143675
,ASIANHOTNR,EQ,       226.00,                    62033.40,275
,ASIANTILES,EQ,       227.70,                 19150547.55,83239
,ASPINWALL,EQ,       233.80,                   961680.15,4169
