,18-Sep-2018
The Nifty witnessed an intraday movement of about 142.5 points.The closing index was 0.87 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32077.64
, Traded Quantity (in Lakhs), 17220.05
, Number of Trades, 11617457
, Total Market Capitalisation (Rs. Crores), 15122623.93

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ASSAMCO,BE,         4.00,                   113160.65,28280
,ASTEC,EQ,       597.10,                 23592582.70,39129
,ASTERDM,EQ,       161.10,                  6187654.30,38314
,ASTRAL,EQ,      1093.50,                 23760048.85,21840
,ASTRAMICRO,EQ,        88.75,                 13438978.50,149771
,ASTRAZEN,EQ,      1675.80,                 36700779.70,21609
,ASTRON,EQ,       131.15,                 43402907.30,328439
,ATFL,EQ,       646.35,                  1466241.55,2258
,ATLANTA,EQ,        35.85,                  1924077.85,53486
,ATLASCYCLE,BE,       132.60,                   400310.65,3014
,ATUL,EQ,      3200.00,                 12073884.20,3762
,ATULAUTO,EQ,       378.95,                  5417135.50,14349
,AUBANK,EQ,       675.25,                137009977.55,202711
,AURIONPRO,EQ,       183.55,                  4827347.60,26145
,AUSOMENT,EQ,        67.65,                   402134.95,5930
,AUTOAXLES,EQ,      1478.30,                112637385.95,74004
,AUTOIND,EQ,        59.85,                   797840.95,13022
,AUTOLITIND,EQ,        53.05,                  1504644.45,27220
,AVADHSUGAR,EQ,       532.30,                766209450.05,1405917
,AVANTIFEED,EQ,       453.90,               1087384346.45,2270501
,AVONMPL,SM,        60.45,                   241800.00,4000
,AVTNPL,EQ,        30.05,                  1814085.40,59354
,AXISCADES,EQ,       100.35,                  3757623.10,36480
,AXISGOLD,EQ,      2710.55,                   140410.10,52
,AXISNIFTY,EQ,      1147.72,                   277326.15,241
,AYMSYNTEX,EQ,        37.85,                   931359.90,24269
,BAFNAPHARM,EQ,        17.65,                   538599.15,29670
,BAGFILMS,BE,         5.25,                   767346.45,145022
,BAJAJCORP,EQ,       457.55,                186545751.95,406741
,BAJAJELEC,EQ,       532.60,                 59164645.40,110001
,BAJAJHIND,EQ,        11.20,                706933619.60,63492814
,BAJAJHLDNG,EQ,      3062.55,                 17018191.05,5507
,BALAJITELE,EQ,       104.95,                  4791148.00,45777
