,04-Sep-2018
The Nifty witnessed an intraday movement of about 105.7 points.The closing index was 0.54 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35796.63
, Traded Quantity (in Lakhs), 15332.72
, Number of Trades, 11729869
, Total Market Capitalisation (Rs. Crores), 15406748.14

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BBTC,EQ,      1839.40,                633690222.90,336263
,BCONCEPTS,SM,        36.00,                   108000.00,3000
,BDL,EQ,       358.20,                  5119803.35,14302
,BEARDSELL,EQ,        37.95,                  2053499.25,53054
,BEDMUTHA,EQ,        18.85,                    30610.95,1605
,BEML,EQ,       794.70,               1187620443.15,1469389
,BEPL,EQ,       127.15,                 37196122.30,290822
,BERGEPAINT,EQ,       323.55,                366690334.85,1132920
,BETA,SM,        90.00,                   221480.00,2400
,BFINVEST,EQ,       312.75,                 34897579.15,109054
,BFUTILITIE,EQ,       316.40,                111232012.50,344069
,BGLOBAL,BE,         2.80,                    10100.00,3500
,BGRENERGY,EQ,        78.50,                  5867947.50,74063
,BHAGERIA,EQ,       292.70,                  4533808.25,15476
,BHAGYANGR,BE,        35.10,                   253605.50,7243
,BHAGYAPROP,EQ,        24.65,                    90569.85,3714
,BHANDARI,EQ,         2.50,                   128047.10,51345
,BHARATFIN,EQ,      1131.15,                964998995.00,851630
,BHARATFORG,EQ,       650.15,               1288660160.05,1940797
,BHARATGEAR,EQ,       177.70,                  3336200.05,18669
,BHARATIDIL,BZ,         3.40,                    38447.65,11501
,BHARATRAS,EQ,      7702.35,                 11509914.45,1494
,BHARATWIRE,EQ,        91.75,                  2138023.75,23121
,BHUSANSTL,EQ,        29.55,                 37583563.65,1253543
,BIGBLOC,EQ,        80.50,                   655028.45,8046
,BIL,EQ,       377.20,                  5480298.85,13988
,BILENERGY,BE,          .55,                    15380.65,30116
,BILPOWER,BZ,          .75,                     7373.10,10646
,BINANIIND,EQ,       106.90,                 21198954.45,195880
,BINDALAGRO,EQ,        20.50,                   378683.90,18322
,BIOCON,EQ,       594.35,                687765504.50,1141103
,BIOFILCHEM,BE,         9.70,                    14356.20,1409
,BIRLACABLE,EQ,       175.20,                 74721482.95,431007
,BIRLACORPN,EQ,       744.40,                 19257371.95,25571
,BIRLAMONEY,EQ,        60.40,                  3265576.05,53508
,BKMINDST,EQ,        18.25,                   154020.05,8417
,BLBLIMITED,EQ,         6.20,                   899948.15,148757
,BLISSGVS,EQ,       186.55,                 29776641.50,157776
,BLKASHYAP,EQ,        34.50,                 22525267.45,637473
,BLS,EQ,       157.70,                 11330716.45,70332
,BLUEBLENDS,EQ,         5.95,                    82349.80,14044
,BLUECHIP,BE,          .20,                       60.40,302
,BLUECOAST,EQ,        73.65,                       73.65,1
,BLUEDART,EQ,      3398.20,                  8246947.00,2410
,BLUEDART,N3,        10.26,                      307.80,30
,BLUEDART,N2,        10.21,                      408.44,40
,BLUESTARCO,EQ,       678.10,                 22932112.40,33814
,BODALCHEM,EQ,       118.10,                 15208243.50,127840
,BOHRA,SM,        20.25,                    40500.00,2000
,BOMDYEING,BE,       261.55,                198373180.70,763526
,BOROSIL,EQ,       309.15,                 54056170.15,173502
,BPL,EQ,        52.40,                  9130768.15,172514
,BRFL,BE,        15.45,                   550112.70,35606
,BRIGADE,EQ,       214.30,                 10169894.35,47271
,BRIGHT,SM,        43.00,                   129000.00,3000
,BRNL,EQ,       160.50,                 31261869.65,195124
,BROOKS,EQ,        78.85,                  6181601.35,77422
,BSE,EQ,       737.75,                 66458376.35,89862
,BSELINFRA,EQ,         3.30,                   315697.00,94381
,BSHSL,SM,       140.00,                   279950.00,2000
,BSL,EQ,        53.20,                   781192.00,14641
,BSLGOLDETF,EQ,      2815.00,                    76765.00,27
,BSLNIFTY,EQ,       114.75,                    17333.14,152
,BURNPUR,BE,         5.20,                   347758.15,66158
,BUTTERFLY,EQ,       299.30,                  1671647.25,5555
,BVCL,BE,        19.45,                    26155.10,1299
,BYKE,EQ,        98.65,                  3480323.45,34930
,CALSOFT,BE,        44.85,                  4332375.45,96597
,CAMLINFINE,EQ,        68.70,                155803139.60,2282266
,CANBK,EQ,       271.40,               2314664751.90,8381000
,CANDC,EQ,        25.80,                  6846321.00,262765
,CANFINHOME,EQ,       315.90,                262420011.20,825212
,CANTABIL,EQ,       159.15,                 24677993.85,157904
,CAPACITE,EQ,       255.15,                 90980834.90,343722
,CAPF,EQ,       609.95,                554408458.20,889328
,CAPLIPOINT,EQ,       458.20,                 50649355.50,108829
,CAPTRUST,EQ,       379.70,                  1175571.80,3062
,CARBORUNIV,EQ,       372.40,                 31265111.15,84550
,CAREERP,EQ,        86.45,                  1330317.30,15392
,CARERATING,EQ,      1294.10,                 37615651.20,28912
,CASTEXTECH,EQ,         1.40,                   191983.40,137131
,CASTROLIND,EQ,       152.40,                346326720.90,2235933
,CCCL,EQ,         2.60,                   245934.25,90933
,CCHHL,EQ,         9.75,                   804703.50,81634
,CCL,EQ,       277.05,                 17848945.95,62951
,CDSL,EQ,       259.80,                 54197326.20,207690
,CEATLTD,EQ,      1325.80,               1166981166.70,865125
,CEBBCO,EQ,        12.70,                   142588.75,11190
,CELEBRITY,EQ,        11.60,                   219080.90,18669
