,24-Sep-2018
The Nifty witnessed an intraday movement of about 226.55 points.The closing index was 1.58 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 42195.76
, Traded Quantity (in Lakhs), 17690.33
, Number of Trades, 14919220
, Total Market Capitalisation (Rs. Crores), 14565532.2

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BRNL,EQ,       153.65,                   543377.50,3566
,BROOKS,EQ,        67.15,                  5111827.40,74215
,BSE,EQ,       721.90,                 91115455.45,126374
,BSELINFRA,EQ,         2.95,                   268958.15,90660
,BSHSL,SM,       130.00,                   520000.00,4000
,BSL,EQ,        45.70,                   571324.70,12348
,BSLGOLDETF,EQ,      2850.00,                    25718.90,9
,BSLIMITED,BZ,          .30,                    47836.60,148897
,BSLNIFTY,EQ,       115.37,                    80657.73,697
,BURNPUR,BE,         4.35,                   261473.90,59033
,BUTTERFLY,EQ,       275.65,                  1437229.45,5155
,BVCL,BE,        18.10,                    15941.40,900
,BYKE,EQ,        91.05,                  2798431.15,30566
,CALSOFT,BE,        45.30,                   735418.45,16223
,CAMLINFINE,EQ,        54.10,                 27097367.55,500067
,CANBK,EQ,       233.00,               1551180659.95,6598819
,CANDC,EQ,        28.75,                   988762.35,34276
,CANFINHOME,EQ,       268.60,                451096364.35,1641904
,CANTABIL,EQ,       154.65,                  8270973.25,53933
,CAPACITE,EQ,       230.45,                 19012711.70,81227
,CAPF,EQ,       522.00,                451131238.85,857310
,CAPLIPOINT,EQ,       433.60,                 15781475.60,36151
,CAPTRUST,EQ,       325.35,                  1282974.35,3842
,CARBORUNIV,EQ,       378.25,                 39445233.55,104160
,CAREERP,EQ,        71.10,                  7884589.20,110534
,CARERATING,EQ,      1230.40,                340369085.90,277897
,CASTEXTECH,EQ,         1.35,                   423528.65,312550
,CASTROLIND,EQ,       150.55,                167178162.35,1100478
,CCCL,EQ,         2.00,                  1131686.95,548487
,CCHHL,EQ,         8.35,                   630810.20,75716
,CCL,EQ,       251.05,                 11448395.90,45197
,CDSL,EQ,       254.95,                115749725.50,450019
,CEATLTD,EQ,      1260.40,                414975251.20,328331
,CEBBCO,EQ,        15.40,                  1209827.30,79563
,CELEBRITY,EQ,        10.00,                   358407.75,34798
,CELESTIAL,EQ,        14.85,                  2163079.45,143475
,CENTENKA,EQ,       269.55,                 19471275.40,72239
,CENTEXT,EQ,         7.80,                  3156792.70,400341
,CENTRALBK,EQ,        44.25,                530030267.05,12052424
,CENTRUM,EQ,        40.35,                 12979753.20,317184
,CENTUM,EQ,       428.90,                  1613182.80,3738
,CENTURYPLY,EQ,       190.70,                 26141484.05,136018
,CENTURYTEX,EQ,       867.15,                286482199.00,330323
,CERA,EQ,      2590.40,                 22518591.20,8692
,CEREBRAINT,EQ,        36.45,                 43037410.20,1170464
,CES1RPG,MF,         8.82,                   279290.00,31650
,CESC,EQ,       896.20,                506147452.90,554781
,CGCL,EQ,       104.80,                 16079281.55,152580
,CGPOWER,EQ,        49.45,                157421266.30,3154983
,CHAMBLFERT,EQ,       159.15,                 63766732.20,399130
,CHEMFAB,EQ,       159.30,                  1002198.20,6176
,CHENNPETRO,EQ,       271.95,                127756732.80,461793
,CHOLAFIN,EQ,      1180.80,               1226257680.10,1029901
,CHROMATIC,BE,         1.15,                    79935.25,69302
,CIGNITITEC,EQ,       380.35,                 21659915.35,56872
,CIMMCO,EQ,        54.50,                   836926.20,15658
,CINELINE,EQ,        46.30,                  3553959.10,77536
,CINEVISTA,BE,         6.75,                    51087.50,7500
,CKPPRODUCT,SM,        44.20,                   132600.00,3000
,CLEDUCATE,EQ,       126.20,                   251233.65,1976
,CLNINDIA,EQ,       498.35,                  7134538.85,14345
,CMICABLES,EQ,       155.55,                  7071801.50,43906
,CMMIPL,SM,        25.15,                   150900.00,6000
,CNOVAPETRO,BE,        27.00,                      108.00,4
,COCHINSHIP,EQ,       413.35,                 97939951.55,232635
,COFFEEDAY,EQ,       303.90,                122979235.50,408075
,COMPINFO,EQ,        27.85,                  2002508.80,72130
,COMPUSOFT,EQ,        11.30,                   552779.95,49106
,CONSOFINVT,EQ,        57.35,                   118625.10,2054
,CONTROLPR,EQ,       363.60,                  1916317.30,5275
,CORALFINAC,EQ,        16.70,                  1071507.90,65849
,CORDSCABLE,EQ,        64.80,                  2238872.55,34035
,COROMANDEL,EQ,       403.60,                 36057189.75,90482
,CORPBANK,EQ,        26.10,                  6079995.35,226957
,COSMOFILMS,EQ,       239.65,                 21336447.65,87196
,COUNCODOS,EQ,         2.70,                     1339.70,491
,COX&KINGS,EQ,       189.40,                 20545787.30,105807
,CPSEETF,EQ,        26.98,                 70526598.16,2575025
,CREDITACC,EQ,       292.45,                185643485.85,615181
,CREST,EQ,       156.90,                 10604304.65,67018
,CRISIL,EQ,      1747.95,                 10666128.30,6164
,CRMFGETF,EQ,      2895.00,                    20295.00,7
,CROMPTON,EQ,       219.95,                453030716.15,2054384
,CTE,EQ,        51.45,                   242521.80,4695
,CUB,EQ,       180.40,                 95561014.15,531187
,CUBEXTUB,EQ,        14.00,                      210.00,15
,CUPID,EQ,       204.40,                  3539005.65,17153
,CURATECH,BE,         3.65,                       21.90,6
,CYBERMEDIA,EQ,         8.90,                        8.90,1
,CYBERTECH,EQ,        40.75,                   305846.00,7432
,CYIENT,EQ,       710.60,                625866800.35,865218
,DAAWAT,EQ,        43.25,                 49857357.40,1128488
