,28-Feb-2018
The Nifty witnessed an intraday movement of about 73.95 points.The closing index was 0.58 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35921.99
, Traded Quantity (in Lakhs), 16274.96
, Number of Trades, 11782888
, Total Market Capitalisation (Rs. Crores), 14564090.78

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CONSOFINVT,EQ,        71.00,                   410029.35,5756
,CONTROLPR,EQ,       464.80,                  7964680.80,17238
,CORALFINAC,EQ,        41.10,                  4407793.90,106700
,CORDSCABLE,EQ,        96.90,                  1311931.65,13446
,COROMANDEL,EQ,       558.75,                126055204.05,229374
,CORPBANK,EQ,        33.55,                 16639062.45,514614
,COSMOFILMS,EQ,       288.85,                  6428483.05,22234
,COUNCODOS,EQ,         3.90,                    24897.30,6350
,COX&KINGS,EQ,       238.75,                 14573850.45,60888
,CPSEETF,EQ,        29.79,                  9591350.17,322360
,CREST,EQ,       212.80,                  2953356.55,13902
,CRISIL,EQ,      1927.15,                 11916937.10,6195
,CRMFGETF,EQ,      2836.85,                   269500.00,95
,CROMPTON,EQ,       232.50,                109269229.80,471586
,CTE,EQ,        73.80,                   483062.20,6579
,CUB,EQ,       174.80,                132349004.70,758251
,CUBEXTUB,BE,        25.25,                    50995.20,2031
,CUPID,EQ,       291.15,                  9670988.85,33075
,CYBERMEDIA,BE,        16.80,                       84.00,5
,CYBERTECH,EQ,        72.00,                   520220.10,7246
,CYIENT,EQ,       636.55,                 74652655.15,117746
,DAAWAT,EQ,        93.45,                 63794347.95,681396
,DALMIABHA,EQ,      2632.50,                538608659.40,204068
,DALMIASUG,EQ,       104.30,                  5125106.40,48795
,DAMODARIND,EQ,       142.40,                 29475841.95,205686
,DATAMATICS,EQ,       125.40,                  6752972.05,53932
,DBCORP,EQ,       334.55,                 81369181.35,239730
,DBL,EQ,       945.75,                246096628.60,260007
,DBREALTY,EQ,        58.10,                 20592530.10,359916
,DCAL,EQ,       336.25,                 24682527.45,73500
,DCBBANK,EQ,       164.00,                146978814.50,893210
,DCM,EQ,        98.10,                  6001494.00,61390
,DCMSHRIRAM,EQ,       565.75,                 45435376.85,81145
,DCW,EQ,        37.55,                 10649506.65,283964
,DECCANCE,EQ,       571.80,                   950821.50,1664
,DEEPAKFERT,EQ,       340.15,                 33838459.25,98821
,DEEPAKNTR,EQ,       260.75,                 46974827.55,180318
,DEEPIND,EQ,       189.90,                  5717956.50,30020
,DELTACORP,EQ,       346.85,                585310925.20,1672030
,DELTAMAGNT,BE,        62.00,                     2214.00,35
,DEN,EQ,       102.30,                 22489062.50,218221
,DENABANK,EQ,        20.60,                 25628285.45,1250330
,DENORA,BE,       549.35,                  8235844.95,15064
,DFMFOODS,EQ,      1714.00,                  2372538.50,1383
,DHAMPURSUG,EQ,       188.70,                 55863916.45,294329
,DHANBANK,EQ,        23.05,                  6631120.00,289843
,DHANUKA,EQ,       619.35,                 14389079.25,22989
,DHARSUGAR,EQ,        22.30,                   275642.00,12410
,DHFL,EQ,       546.20,               2597544663.65,4716559
,DHFL,N4,      1019.14,                     7134.00,7
,DHFL,NP,      1052.54,                   163217.00,155
,DHFL,NL,      1039.99,                   279949.00,270
,DHFL,N6,      1010.39,                   506572.60,500
,DHFL,NC,      1077.00,                   223644.00,208
,DHFL,N8,      1033.00,                    14462.00,14
,DHUNINV,EQ,       414.40,                   484338.70,1175
,DIAMONDYD,EQ,      1233.35,                 28866217.75,23664
,DIAPOWER,EQ,        13.20,                  1295335.30,98140
,DICIND,EQ,       520.05,                   349322.95,674
,DIGJAMLTD,EQ,        11.50,                  3605340.90,310754
