,27-Feb-2018
The Nifty witnessed an intraday movement of about 94.4 points.The closing index was 0.27 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28193.66
, Traded Quantity (in Lakhs), 14039.5
, Number of Trades, 9785459
, Total Market Capitalisation (Rs. Crores), 14613418.55

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ANIKINDS,EQ,        38.50,                   374822.15,9577
,ANSALAPI,EQ,        23.55,                  1073634.80,45610
,ANSALHSG,EQ,        23.25,                   367532.80,15713
,ANTGRAPHIC,BE,          .90,                    10152.60,11276
,APARINDS,EQ,       780.80,                  8270180.55,10631
,APCL,EQ,       193.75,                  1564791.00,8090
,APCOTEXIND,EQ,       503.85,                  2574441.70,5067
,APEX,EQ,       694.85,                115837184.60,165739
,APLAPOLLO,EQ,      2051.40,                 44501090.55,21374
,APLLTD,EQ,       561.70,                118242894.70,209274
,APOLLO,EQ,       303.30,                 29171551.75,94706
,APOLLOHOSP,EQ,      1196.70,                350338549.45,289501
,APOLLOTYRE,EQ,       264.65,                698026339.25,2640754
,APOLSINHOT,EQ,      1438.75,                   677070.85,466
,APTECHT,EQ,       319.45,                134310515.95,417710
,ARCHIDPLY,EQ,        96.70,                 16323265.30,170403
,ARCHIES,EQ,        39.30,                 27258694.95,696637
,ARCOTECH,EQ,        44.10,                  6051988.55,134541
,ARIES,EQ,       212.50,                  8371600.65,38723
,ARIHANT,BE,        45.50,                      136.50,3
,ARIHANTSUP,EQ,       138.40,                 27686069.45,195723
,ARMANFIN,EQ,       301.70,                  5594232.90,18608
,AROGRANITE,EQ,        66.30,                  1721811.10,25725
,ARROWGREEN,EQ,       393.55,                  5048668.40,12727
,ARROWTEX,EQ,        40.50,                   273896.45,6795
,ARSHIYA,EQ,        91.25,                 16041442.80,172527
,ARSSINFRA,BE,        49.80,                  1585892.65,32368
,ARVEE,SM,        58.00,                 15507500.00,258000
,ARVIND,EQ,       416.30,                516380848.30,1240709
,ARVSMART,EQ,       184.05,                  2484080.80,13378
,ASAHIINDIA,EQ,       349.85,                351503645.20,989537
,ASAHISONG,EQ,       351.20,                  1002748.40,2850
,ASAL,EQ,        80.45,                   692223.20,8583
,ASHAPURMIN,EQ,        78.10,                  5923904.70,75106
,ASHIANA,EQ,       172.70,                  7934118.70,46023
,ASHIMASYN,EQ,        29.40,                  5550258.60,184601
,ASHOKA,EQ,       221.85,                 20223201.15,90781
,ASIANHOTNR,BE,       283.45,                  1513162.65,5364
,ASIANTILES,EQ,       497.85,                 15045181.75,30156
,ASPINWALL,EQ,       417.80,                   410726.20,986
,ASSAMCO,EQ,         4.70,                   807663.25,170061
,ASTEC,EQ,       591.15,                  8157237.15,13818
,ASTERDM,EQ,       175.20,                201372580.40,1145778
,ASTRAL,EQ,       873.35,                438244558.45,505177
,ASTRAMICRO,EQ,        91.95,                 34541957.60,369593
,ASTRAZEN,EQ,      1009.40,                  2889812.95,2847
,ASTRON,EQ,       129.55,                 22568567.35,173466
,ATFL,EQ,       634.90,                  2284219.25,3615
,ATLANTA,EQ,        93.80,                 18683272.55,197687
,ATLASCYCLE,BE,       199.10,                  2294023.60,11330
,ATUL,EQ,      2708.85,                 15218305.10,5642
,ATULAUTO,EQ,       426.95,                  6088505.35,14318
,AUBANK,EQ,       587.95,                 43161480.20,73100
,AURDIS,SM,        31.10,                   124300.00,4000
,AURIONPRO,EQ,       214.50,                 13739451.20,63598
,AUSOMENT,EQ,        66.90,                  2595176.65,39050
,AUTOAXLES,EQ,      1534.00,                 16111169.65,10385
,AUTOIND,EQ,        84.45,                   603519.95,7126
,AUTOLITIND,EQ,        76.05,                   600814.55,7881
,AVADHSUGAR,EQ,       691.60,                 13469717.50,19338
,AVANTIFEED,EQ,      2395.70,                206729119.65,86124
,AVTNPL,EQ,        41.30,                  5148832.35,124187
,AXISCADES,EQ,       169.35,                  7641176.85,44977
,AXISGOLD,EQ,      2710.00,                  1402653.55,513
,AXISNIFTY,EQ,      1065.33,                    21306.60,20
,AYMSYNTEX,EQ,        69.15,                  2036033.45,29988
,BAFNAPHARM,EQ,        27.45,                   328258.95,11962
,BAGFILMS,EQ,         6.00,                   515898.95,85001
,BAJAJCORP,EQ,       485.00,                  3538284.20,7292
,BAJAJELEC,EQ,       540.10,                377833174.00,701325
,BAJAJHIND,EQ,        12.70,                 19389412.80,1524028
,BAJAJHLDNG,EQ,      2737.40,                 17669204.40,6449
,BALAJITELE,EQ,       139.05,                 38780604.95,273863
,BALAMINES,EQ,       661.15,                 15442876.10,23293
,BALKRISHNA,EQ,        72.80,                  1347302.70,18141
,BALKRISIND,EQ,      1075.30,                380357027.00,353942
,BALLARPUR,EQ,        13.70,                 16122248.60,1162492
,BALMLAWRIE,EQ,       231.05,                 11430480.55,49275
,BALPHARMA,EQ,        94.95,                  2638956.20,27642
,BALRAMCHIN,EQ,       119.60,                272735612.75,2299564
,BANARBEADS,EQ,        64.05,                   120646.95,1852
,BANARISUG,EQ,      1731.40,                   524144.00,300
,BANCOINDIA,EQ,       216.00,                 11796547.85,54207
,BANG,EQ,        30.55,                     9964.45,324
,BANKA,SM,       115.00,                 12987120.00,112800
,BANKBEES,EQ,      2582.38,                 26491333.78,10254
,BANKINDIA,EQ,       118.45,               1390822552.30,11523076
,BANSAL,SM,       114.25,                  4455000.00,39000
,BANSWRAS,EQ,       114.35,                  1225805.85,10708
,BARTRONICS,EQ,        13.15,                   458706.85,34354
,BASF,EQ,      2044.40,                 11373272.40,5520
,BASML,EQ,       285.40,                   655235.20,2325
,BATAINDIA,EQ,       722.65,                612749110.70,837674
,BAYERCROP,EQ,      3798.90,                233920096.25,61240
,BBL,EQ,      1532.60,                 71646425.70,46216
,BBTC,EQ,      1490.65,                127945469.35,85674
,BCONCEPTS,SM,        53.50,                   160500.00,3000
,BEARDSELL,EQ,        57.60,                   205650.50,3580
,BEDMUTHA,EQ,        23.30,                   356799.40,15304
,BEML,EQ,      1232.30,                298775270.55,240840
,BEPL,EQ,       166.95,                 51971638.25,308508
,BERGEPAINT,EQ,       246.85,                 49741787.00,201739
,BETA,SM,       148.00,                   471360.00,3200
,BFINVEST,EQ,       329.05,                 35502985.40,107197
,BFUTILITIE,EQ,       450.40,                164516929.40,362597
,BGLOBAL,BE,         5.05,                    40603.80,8136
,BGRENERGY,EQ,       117.70,                  6985175.35,58913
,BHAGERIA,EQ,       298.50,                  3657167.40,12167
,BHAGYANGR,EQ,        50.70,                 52363723.80,1073245
,BHAGYAPROP,EQ,        20.55,                    34182.50,1635
,BHANDARI,EQ,         3.35,                   526200.70,155550
,BHARATFIN,EQ,      1030.20,                499381081.75,484112
,BHARATFORG,EQ,       772.50,                607527464.60,787760
,BHARATGEAR,EQ,       194.00,                  2677855.20,13729
,BHARATIDIL,BZ,         6.10,                   478276.90,77015
,BHARATIWIN,EQ,        36.41,                 10182764.76,278800
,BHARATRAS,EQ,      4637.40,                  5530813.05,1189
,BHARATWIRE,EQ,       122.25,                 12289054.45,101305
,BHUSANSTL,EQ,        47.90,                102902252.30,2118363
,BIGBLOC,EQ,       168.35,                 30484087.65,192770
,BIL,EQ,       400.50,                  2781948.05,6890
,BILENERGY,EQ,         1.25,                    17362.50,13890
,BILPOWER,EQ,         1.65,                       49.50,30
,BINANIIND,EQ,       111.95,                 14994940.25,130448
,BINDALAGRO,EQ,        30.05,                  1823036.70,60253
,BIOCON,EQ,       622.90,               1155698080.90,1832149
,BIOFILCHEM,BE,        16.30,                    71532.50,4450
,BIRLACABLE,EQ,        63.30,                   536070.10,8424
,BIRLACORPN,EQ,       918.60,                 51710543.55,56010
,BIRLAMONEY,EQ,        73.10,                  3749781.75,51119
,BKMINDST,EQ,        35.45,                    92242.60,2612
,BLBLIMITED,EQ,         6.10,                     7900.25,1329
,BLISSGVS,EQ,       193.30,                 22903740.35,118263
,BLKASHYAP,EQ,        44.65,                 12920083.85,284825
,BLS,EQ,       175.70,                 42326662.80,238858
,BLUEBLENDS,EQ,        25.25,                  1097947.35,43054
,BLUECOAST,EQ,       102.20,                      919.80,9
,BLUEDART,EQ,      4284.10,                  7884728.70,1831
,BLUESTARCO,EQ,       733.20,                 10545245.00,14281
,BODALCHEM,EQ,       133.35,                 36658240.45,272962
,BOMDYEING,EQ,       263.25,                542782386.00,2037846
,BPL,EQ,        94.70,                 32596296.55,342147
,BRFL,EQ,        61.50,                  5365328.60,85703
,BRIGADE,EQ,       284.90,                 21442499.15,75288
,BRNL,EQ,       180.40,                   895057.85,4977
,BROOKS,EQ,        99.80,                 23553665.75,237332
,BSE,EQ,       802.85,                 84941033.10,105581
,BSELINFRA,EQ,         4.30,                   417398.35,95653
,BSL,EQ,        74.70,                  2310381.60,30579
,BSLGOLDETF,EQ,      2870.00,                   110576.05,39
,BSLIMITED,BE,         1.20,                   205906.05,164978
,BSLNIFTY,EQ,       107.50,                      890.85,8
,BURNPUR,EQ,        10.05,                  3121208.40,307835
,BUTTERFLY,EQ,       516.80,                  6375275.20,12261
,BVCL,BE,        30.95,                    88957.05,2861
,BYKE,EQ,       173.70,                 24936709.65,141279
,CADSYS,SM,       100.00,                  2337700.00,24000
,CALSOFT,EQ,        59.50,                   560053.25,9138
,CAMLINFINE,EQ,       118.30,                 72952560.20,620576
,CANBK,EQ,       295.60,               1969576410.80,6569916
,CANDC,EQ,        67.50,                  1460178.50,21666
,CANFINHOME,EQ,       535.50,                671906016.80,1246998
,CANTABIL,EQ,       135.15,                  3429738.70,25320
,CAPACITE,EQ,       327.90,                 31788586.55,96431
,CAPF,EQ,       670.75,                295429259.65,440032
,CAPLIPOINT,EQ,       600.85,                 25811737.15,42700
,CAPTRUST,EQ,       468.80,                  3594911.50,7638
,CARBORUNIV,EQ,       354.90,                 22814591.70,64115
,CAREERP,EQ,       129.55,                 14076001.10,109321
,CARERATING,EQ,      1366.70,                 10552094.80,7735
,CASTEXTECH,EQ,         4.95,                  3705146.45,743776
,CASTROLIND,EQ,       201.40,                560841223.45,2798832
,CCCL,EQ,         4.75,                  1287905.50,271138
,CCHHL,EQ,        13.90,                  1117517.55,79375
