,09-Feb-2018
The Nifty witnessed an intraday movement of about 82 points.The closing index was 1.15 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31582.68
, Traded Quantity (in Lakhs), 15755.69
, Number of Trades, 11468061
, Total Market Capitalisation (Rs. Crores), 14556659.34

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,APOLLO,EQ,       322.35,                 57051820.50,176847
,APOLLOHOSP,EQ,      1122.70,                265109658.40,236165
,APOLLOTYRE,EQ,       270.80,                606546387.10,2254834
,APOLSINHOT,EQ,      1305.00,                   788166.55,605
,APTECHT,EQ,       272.80,                127446098.20,473802
,ARCHIDPLY,EQ,        97.05,                  5276685.15,54930
,ARCHIES,EQ,        40.65,                 20671291.00,512724
,ARCOTECH,EQ,        47.35,                 16880389.40,356195
,ARIES,EQ,       215.25,                  9410772.45,44399
,ARIHANTSUP,EQ,       147.55,                 46585931.85,311685
,ARMANFIN,EQ,       271.25,                   838848.95,3068
,AROGRANITE,EQ,        67.95,                  2023020.20,30473
,ARROWGREEN,EQ,       440.35,                 30570569.65,69451
,ARROWTEX,EQ,        42.50,                   369472.90,8774
,ARSHIYA,EQ,        99.10,                 31770502.50,315831
,ARSSINFRA,BE,        52.05,                  1278660.95,24536
,ARVIND,EQ,       398.60,                329982229.50,830148
,ARVSMART,EQ,       184.40,                  4351433.00,23749
,ASAHIINDIA,EQ,       361.95,                  6228996.75,17271
,ASAHISONG,EQ,       345.80,                   655270.65,1916
,ASAL,EQ,        83.45,                   823779.25,9801
,ASHAPURMIN,EQ,        83.65,                 15738289.25,189000
,ASHIANA,EQ,       179.10,                 25555354.75,142179
,ASHIMASYN,EQ,        27.95,                  4060955.15,145195
,ASHOKA,EQ,       245.20,                105855319.30,436308
,ASIANHOTNR,BE,       247.40,                  2732527.90,11346
,ASIANTILES,EQ,       513.50,                 17348920.75,33940
,ASPINWALL,EQ,       443.30,                  3216367.85,7328
,ASSAMCO,EQ,         5.45,                  2467455.20,456751
,ASTEC,EQ,       582.20,                 17459317.20,30244
,ASTRAL,EQ,       795.15,                 27041725.55,34327
,ASTRAMICRO,EQ,       105.55,                 60625143.20,576604
,ASTRAZEN,EQ,      1013.55,                 10596278.35,10400
,ASTRON,EQ,       131.10,                 52904469.20,405785
,ATFL,EQ,       645.55,                  4774813.55,7434
,ATLANTA,EQ,       103.50,                 33185331.55,322695
,ATLASCYCLE,BE,       182.75,                   738437.95,4019
,ATUL,EQ,      2749.05,                 29335034.00,10686
,ATULAUTO,EQ,       421.45,                  4603212.40,10941
,AUBANK,EQ,       593.50,                 66617513.40,111897
,AURIONPRO,EQ,       203.05,                 17749504.20,87172
,AUSOMENT,EQ,        93.50,                 13246461.00,138974
,AUTOAXLES,EQ,      1732.65,                 65356327.65,39172
,AUTOIND,EQ,        89.05,                  4552175.75,51650
,AUTOLITIND,EQ,        74.40,                 23649603.35,312738
,AVADHSUGAR,EQ,       766.20,                226967961.05,288202
,AVANTIFEED,EQ,      2444.00,                404654628.90,163108
,AVTNPL,EQ,        44.35,                 11368344.20,256642
,AXISCADES,EQ,       171.00,                 23459083.25,136598
,AXISGOLD,EQ,      2621.60,                   197006.35,75
,AXISNIFTY,EQ,      1051.00,                     4203.30,4
,AYMSYNTEX,EQ,        67.30,                  8859095.80,134937
,BAFNAPHARM,EQ,        24.65,                   196694.85,8021
,BAGFILMS,EQ,         6.30,                  2041527.60,332008
,BAJAJCORP,EQ,       494.25,                 15848479.60,32334
,BAJAJELEC,EQ,       537.00,                643620321.55,1221873
,BAJAJHIND,EQ,        14.00,                 76205290.10,5496545
,BAJAJHLDNG,EQ,      2693.80,                 16515514.75,6149
,BALAJITELE,EQ,       144.65,                 13971065.65,96720
,BALAMINES,EQ,       644.65,                 35781741.15,56446
,BALKRISHNA,EQ,        76.00,                  1389619.30,18119
,BALKRISIND,EQ,      1138.40,                668294639.30,587252
,BALLARPUR,EQ,        15.20,                 19859934.40,1314290
,BALMLAWRIE,EQ,       243.65,                 62840878.15,257595
,BALPHARMA,EQ,        92.75,                  2696353.05,29178
,BALRAMCHIN,EQ,       120.40,                774621690.00,6443942
,BANARBEADS,EQ,        67.45,                   287544.90,4383
,BANARISUG,EQ,      1839.65,                  2066907.35,1132
,BANCOINDIA,EQ,       232.40,                 15658021.90,68972
,BANG,EQ,        32.45,                   186929.40,5693
,BANKBEES,EQ,      2591.93,                 49893431.01,19243
,BANKINDIA,EQ,       142.20,                447861557.35,3180829
,BANSAL,SM,       115.25,                  1176650.00,10000
,BANSWRAS,EQ,       119.40,                  1906629.55,15969
,BARTRONICS,EQ,        13.40,                   297796.25,22284
,BASF,EQ,      2121.65,                 42926897.45,20653
,BASML,EQ,       293.00,                    74406.40,258
,BATAINDIA,EQ,       714.90,                403398401.25,567632
,BAYERCROP,EQ,      3898.75,                 34623219.05,8879
,BBL,EQ,      1397.10,                 45755720.40,32976
,BBTC,EQ,      1313.00,                129939690.80,99388
,BCONCEPTS,SM,        57.50,                  1212000.00,21000
,BEARDSELL,EQ,        57.90,                   521246.30,8969
,BEDMUTHA,EQ,        25.30,                   565554.30,22235
,BEML,EQ,      1256.15,                450151103.40,362519
,BEPL,EQ,       178.45,                231728229.90,1328222
,BERGEPAINT,EQ,       246.65,                 74007028.30,297527
,BETA,SM,       163.00,                  1307040.00,8000
,BFINVEST,EQ,       345.60,                387856160.55,1183074
,BFUTILITIE,EQ,       473.50,                770382948.05,1664920
,BGLOBAL,BE,         5.60,                    77309.25,13932
,BGRENERGY,EQ,       121.90,                  8729181.60,71628
,BHAGERIA,EQ,       303.00,                 20938732.00,68355
,BHAGYANGR,EQ,        43.45,                  2183335.00,51659
,BHAGYAPROP,EQ,        21.50,                   209288.70,9485
,BHANDARI,EQ,         3.60,                   947960.45,262519
,BHARATFIN,EQ,       997.70,                732555710.95,733222
,BHARATFORG,EQ,       762.80,               2298637906.55,3003733
,BHARATGEAR,EQ,       200.65,                 11700060.00,59320
,BHARATIDIL,BZ,         7.00,                   571857.85,81793
,BHARATIWIN,EQ,        36.95,                 26921058.74,730991
,BHARATRAS,EQ,      4231.65,                 12480631.95,2973
,BHARATWIRE,EQ,       123.45,                 17049703.25,137932
,BHUSANSTL,EQ,        53.05,                406812184.10,7629380
,BIGBLOC,EQ,       131.75,                 26776396.50,200893
,BIL,EQ,       448.65,                  5945063.40,13191
,BILENERGY,EQ,         1.80,                   406078.20,225599
,BINANIIND,EQ,       105.45,                  8782542.20,82811
,BINDALAGRO,EQ,        31.50,                  3959097.00,125170
,BIOCON,EQ,       606.95,                927873769.15,1527841
,BIOFILCHEM,BE,        15.00,                    44081.25,2970
,BIRLACABLE,EQ,        62.85,                  2356587.60,37500
,BIRLACORPN,EQ,       998.90,                 22859680.95,22753
,BIRLAMONEY,EQ,        75.45,                  8398226.45,111312
,BKMINDST,EQ,        38.50,                  1310566.55,34300
,BLBLIMITED,EQ,         5.85,                    27786.25,4656
,BLISSGVS,EQ,       204.95,                 49139326.95,241112
,BLKASHYAP,EQ,        46.55,                 31675131.45,672311
,BLS,EQ,       191.65,                 49662910.45,264220
,BLUEBLENDS,EQ,        30.85,                   158755.20,5199
