,08-Feb-2018
The Nifty witnessed an intraday movement of about 158.25 points.The closing index was 0.96 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 34882.63
, Traded Quantity (in Lakhs), 15848.08
, Number of Trades, 12561289
, Total Market Capitalisation (Rs. Crores), 14617918.82

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BIGBLOC,EQ,       136.55,                 18541464.80,147187
,BIL,EQ,       450.45,                  1296349.45,2877
,BILENERGY,EQ,         1.85,                   930817.20,498965
,BILPOWER,EQ,         1.60,                     5458.40,3299
,BINANIIND,EQ,       107.10,                 11012494.15,104760
,BINDALAGRO,EQ,        32.30,                  5007942.35,155998
,BIOCON,EQ,       614.90,               1881103219.35,3077890
,BIOFILCHEM,BE,        15.20,                    28279.00,1860
,BIRLACABLE,EQ,        59.90,                   792656.70,13233
,BIRLACORPN,EQ,      1009.95,                 49493717.55,48374
,BIRLAMONEY,EQ,        76.80,                 10288260.40,135198
,BKMINDST,EQ,        39.05,                  3032675.65,78356
,BLBLIMITED,EQ,         6.15,                    13851.80,2305
,BLISSGVS,EQ,       203.55,                 68117326.80,333009
,BLKASHYAP,EQ,        48.55,                 16440885.80,340623
,BLS,EQ,       191.30,                 43332261.15,225452
,BLUEBLENDS,EQ,        31.15,                   234114.85,7588
,BLUEDART,EQ,      4566.05,                 12361395.00,2700
,BLUEDART,N2,        10.41,                     5491.28,528
,BLUESTARCO,EQ,       725.00,                 19960473.70,27353
,BODALCHEM,EQ,       148.75,                 39353369.95,263365
,BOHRA,SM,        36.20,                   216400.00,6000
,BOMDYEING,EQ,       242.25,               1199291858.00,4942563
,BPL,EQ,        90.40,                 58977164.35,654046
,BRFL,EQ,        63.80,                   904620.20,14179
,BRIGADE,EQ,       300.00,                 91352439.60,305327
,BRNL,EQ,       180.85,                  1822350.55,10088
,BROOKS,EQ,        99.80,                  8050376.80,80337
,BSE,EQ,       833.25,                235292550.75,279489
,BSELINFRA,EQ,         5.10,                   372758.75,73269
,BSL,EQ,        87.20,                  1909441.40,21899
,BSLGOLDETF,EQ,      2736.50,                    38378.95,14
,BSLIMITED,EQ,         1.35,                   783305.70,585495
,BSLNIFTY,EQ,       108.29,                    41035.24,368
,BURNPUR,EQ,        12.15,                  3083479.45,251228
,BUTTERFLY,EQ,       607.05,                 21053732.20,35002
,BVCL,BE,        29.40,                    68986.55,2360
,BYKE,EQ,       193.05,                 24447717.25,129509
,CADSYS,SM,       100.00,                  3059600.00,30000
,CALSOFT,EQ,        77.45,                  2768706.00,35950
,CAMLINFINE,EQ,       125.80,                111283934.90,888327
,CANBK,EQ,       323.15,               1179554108.05,3660958
,CANDC,EQ,        64.95,                  4725978.75,73907
,CANFINHOME,EQ,       462.05,                356152341.50,764393
,CANTABIL,EQ,       126.95,                 28505199.60,223609
,CAPACITE,EQ,       355.35,                227070075.80,653906
,CAPF,EQ,       689.85,                396534491.35,576826
,CAPLIPOINT,EQ,       618.90,                 38717448.35,62835
,CAPTRUST,EQ,       458.70,                  3592662.45,8098
,CARBORUNIV,EQ,       357.35,                 33542393.15,93266
,CAREERP,EQ,       119.70,                  5927458.95,48698
,CARERATING,EQ,      1335.20,                184635117.15,138780
,CASTEXTECH,EQ,         5.20,                  4691659.80,905227
,CASTROLIND,EQ,       194.65,                758597414.65,3913982
,CCCL,EQ,         6.80,                   297605.45,44137
,CCHHL,EQ,        15.65,                  1309880.70,84503
,CCL,EQ,       298.65,                 66878896.65,222406
,CDSL,EQ,       326.05,                157762838.50,484591
,CEATLTD,EQ,      1524.70,               1361241610.80,883558
,CEBBCO,EQ,        17.30,                  1450166.00,84770
,CELEBRITY,EQ,        18.50,                 10565609.55,571017
,CELESTIAL,EQ,        17.25,                   961567.40,57235
,CENTENKA,EQ,       334.30,                  7499390.45,22412
,CENTEXT,EQ,         6.30,                  1949803.60,322046
,CENTRALBK,EQ,        67.00,                 26953895.60,401504
,CENTUM,EQ,       634.15,                  4685870.75,7399
,CENTURYPLY,EQ,       326.60,                 93817283.25,284140
,CENTURYTEX,EQ,      1268.50,                704781348.30,562983
,CERA,EQ,      3333.25,                 10763554.45,3222
,CEREBRAINT,EQ,        55.20,                193067469.30,3532649
,CESC,EQ,       992.30,                796168375.35,801200
,CGCL,EQ,       104.55,                  5061977.65,48668
,CGPOWER,EQ,        88.80,                225864324.40,2572376
,CHAMBLFERT,EQ,       156.60,                147806318.35,936588
,CHENNPETRO,EQ,       372.90,                378048598.70,1000077
,CHOLAFIN,EQ,      1305.30,                207695562.60,158996
,CHROMATIC,EQ,         2.55,                   127456.65,49983
,CIGNITITEC,BE,       278.75,                  1084501.30,3927
,CIMMCO,EQ,       106.40,                  1929615.15,18414
,CINELINE,EQ,        85.10,                 21700236.65,256205
,CINEVISTA,EQ,        11.80,                   243773.50,20145
,CLEDUCATE,EQ,       263.15,                   474551.10,1802
,CLNINDIA,EQ,       624.60,                 42545278.70,68934
,CMICABLES,EQ,       238.55,                 47144757.80,196150
,CMMIPL,SM,        74.90,                  2297400.00,30000
,CNOVAPETRO,EQ,        34.20,                   149237.60,4467
,COCHINSHIP,EQ,       530.40,                 97839384.55,183098
,COFFEEDAY,EQ,       333.55,                154778112.10,471417
,COMPINFO,EQ,        44.50,                  3311312.65,74598
,COMPUSOFT,EQ,        14.05,                   671980.95,48571
,CONSOFINVT,EQ,        72.05,                  1427821.45,19618
,CONTROLPR,EQ,       458.85,                  4045882.00,8834
,CORALFINAC,EQ,        37.95,                  5887181.55,157033
,CORDSCABLE,EQ,       110.20,                  2756382.10,25230
,COROMANDEL,EQ,       545.75,                 55371499.70,101544
,CORPBANK,EQ,        35.85,                  9981989.70,276695
,COSMOFILMS,EQ,       326.60,                 12472533.85,38454
,COUNCODOS,EQ,         4.05,                    36334.95,8979
,COX&KINGS,EQ,       255.35,                 42251138.10,167642
,CPSEETF,EQ,        29.86,                 15450322.75,515991
,CREST,EQ,       223.50,                  3072428.50,13871
,CRISIL,EQ,      1980.70,                 52018183.40,26331
,CRMFGETF,EQ,      2830.00,                     2830.00,1
,CROMPTON,EQ,       243.00,                188333332.90,771291
,CROWN,SM,        82.00,                   246000.00,3000
,CTE,EQ,        80.50,                   449045.35,5632
,CUB,EQ,       162.25,                213027320.30,1326684
,CUBEXTUB,BE,        25.00,                    42492.00,1736
,CUPID,EQ,       295.65,                 30999520.15,104409
,CYBERMEDIA,BE,        16.25,                    84733.00,5219
,CYBERTECH,EQ,        77.20,                  9498072.15,119518
,CYIENT,EQ,       623.85,                133759201.25,213039
,DAAWAT,EQ,        92.30,                200384734.75,2187255
,DALMIABHA,EQ,      2795.45,                622320272.05,222937
,DALMIASUG,EQ,       106.40,                 12387841.75,117173
,DAMODARIND,EQ,       122.05,                   179807.05,1480
,DATAMATICS,EQ,       123.50,                 24400334.10,199484
,DBCORP,EQ,       327.40,                 16449169.45,49977
,DBL,EQ,       913.60,                518218883.95,574853
,DBREALTY,EQ,        53.35,                 31580069.35,607644
,DCAL,EQ,       348.65,                 73507866.20,209811
,DCBBANK,EQ,       168.45,                122772788.80,731304
,DCM,EQ,       100.10,                   973457.90,9715
,DCMSHRIRAM,EQ,       545.95,                 73319839.90,133695
,DCW,EQ,        39.60,                 25488982.30,643887
,DECCANCE,EQ,       587.00,                  3273847.25,5711
,DEEPAKFERT,EQ,       371.00,                188557318.10,509332
,DEEPAKNTR,EQ,       270.10,                115387675.20,427572
,DEEPIND,EQ,       201.00,                 16633418.65,82887
,DELTACORP,EQ,       335.95,                917830155.95,2756239
,DELTAMAGNT,BE,        68.10,                     4086.00,60
,DEN,EQ,       113.60,                 84344122.85,767786
,DENABANK,EQ,        22.75,                 46666093.40,2044527
,DENORA,EQ,       440.85,                357148442.90,809641
,DFMFOODS,EQ,      1619.30,                  1830799.30,1123
,DHAMPURSUG,EQ,       193.75,                 73818418.10,387253
,DHANBANK,EQ,        25.65,                 12821161.20,497765
,DHANUKA,EQ,       692.05,                  8595873.35,12530
,DHARSUGAR,EQ,        23.25,                   684416.10,29365
,DHFL,EQ,       513.40,               2341551809.45,4580018
,DHFL,N8,      1033.00,                     1033.00,1
,DHFL,N2,      1010.00,                    16160.00,16
,DHFL,NP,      1045.88,                    47035.80,45
,DHFL,NL,      1030.00,                    10300.00,10
,DHFL,N6,      1025.00,                   192771.25,188
,DHFL,NC,      1057.01,                    48542.36,46
,DHFL,NE,      1130.00,                     1130.00,1
,DHUNINV,EQ,       424.50,                   930942.60,2144
,DIAMONDYD,EQ,      1216.25,                 16399836.05,13482
,DIAPOWER,EQ,        17.20,                  3455961.05,201835
,DICIND,EQ,       538.90,                  1361887.60,2556
,DIGJAMLTD,EQ,        13.25,                  1960605.85,149353
,DISHTV,EQ,        73.70,                424247110.70,5739906
,DIVISLAB,EQ,      1029.90,                439130964.30,424810
