,26-Dec-2018
The Nifty witnessed an intraday movement of about 212.95 points.The closing index was 0.62 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27416.78
, Traded Quantity (in Lakhs), 12479.23
, Number of Trades, 9494120
, Total Market Capitalisation (Rs. Crores), 14070330.62

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,APEX,EQ,       378.00,                 20895247.60,55512
,APLAPOLLO,EQ,      1102.25,                 63373825.65,57316
,APLLTD,EQ,       564.55,                 13276495.25,23365
,APOLLO,EQ,       119.30,                  1156171.40,9758
,APOLLOHOSP,EQ,      1264.15,                345524779.95,275494
,APOLLOTYRE,EQ,       233.35,                558302207.80,2417738
,APOLSINHOT,EQ,      1178.90,                 66852264.65,53893
,APTECHT,EQ,       193.55,                 75783004.85,397644
,ARCHIDPLY,EQ,        39.95,                   692770.15,17640
,ARCHIES,EQ,        30.40,                  4635533.25,152649
,ARCOTECH,EQ,         7.50,                   383202.10,52801
,ARIES,EQ,       101.15,                  1192118.95,11970
,ARIHANT,EQ,        31.95,                    21310.85,676
,ARIHANTSUP,EQ,        58.30,                  1567850.95,27170
,ARMANFIN,EQ,       391.50,                   918792.80,2355
,AROGRANITE,EQ,        52.40,                   424272.90,8196
,ARROWGREEN,EQ,       118.25,                  6120230.65,52349
,ARROWTEX,EQ,        23.95,                    93164.20,3924
,ARSHIYA,EQ,        31.95,                 22840874.75,704732
,ARSSINFRA,BE,        30.40,                   574601.60,19120
,ARVIND,EQ,        97.10,                270734365.95,2801614
,ARVSMART,EQ,       129.45,                 11613941.35,89934
,ASAHIINDIA,EQ,       243.20,                  1950781.20,8020
,ASAHISONG,EQ,       218.20,                  3281696.95,14948
,ASAL,EQ,        64.85,                  1139579.90,18063
,ASHAPURMIN,EQ,        30.55,                  2313150.10,76323
,ASHIANA,EQ,       116.10,                  4285001.40,37155
,ASHIMASYN,EQ,        16.25,                   920649.75,57084
,ASHOKA,EQ,       122.95,                  7167960.15,58158
,ASIANHOTNR,EQ,       147.20,                  1787429.25,12147
,ASIANTILES,EQ,       187.45,                 10219337.70,54760
,ASPINWALL,EQ,       171.70,                    13292.20,78
,ASSAMCO,BE,         2.00,                  1022091.45,506966
,ASTEC,EQ,       526.75,                  3205055.90,6083
,ASTERDM,EQ,       149.75,                 15512876.15,104288
,ASTRAL,EQ,      1079.60,                127918121.75,119170
,ASTRAMICRO,EQ,        76.75,                  8618920.70,112228
,ASTRAZEN,EQ,      1475.00,                  6487261.90,4408
,ASTRON,EQ,       108.90,                  3336812.90,30990
,ATFL,EQ,       576.10,                  1997097.40,3500
,ATLANTA,EQ,        21.80,                  2908653.50,133252
,ATLASCYCLE,BE,        77.45,                   221103.25,2839
,ATUL,EQ,      3434.75,                 20667665.10,6085
,ATULAUTO,EQ,       286.35,                  2414219.05,8458
,AUBANK,EQ,       592.05,                174595980.95,294560
,AURDIS,SM,        33.05,                   132200.00,4000
,AURIONPRO,EQ,       131.05,                  1909548.80,14434
,AUSOMENT,EQ,        41.30,                   151837.85,3758
,AUTOAXLES,EQ,      1349.05,                 14728759.75,11015
,AUTOIND,EQ,        65.60,                  8160603.25,122767
,AUTOLITIND,EQ,        39.65,                   351510.10,8808
,AVADHSUGAR,EQ,       374.00,                  4618469.60,12316
,AVANTIFEED,EQ,       379.20,                126984044.05,337830
,AVTNPL,EQ,        26.05,                  1244108.05,47563
,AXISCADES,EQ,        82.55,                  2916492.70,35645
,AXISGOLD,EQ,      2760.00,                   480025.90,173
,AXISNIFTY,EQ,      1095.11,                    21667.26,20
,AYMSYNTEX,EQ,        41.00,                   194492.60,4808
,BAFNAPHARM,EQ,        11.45,                    67289.40,5885
,BAGFILMS,EQ,         4.90,                   375611.95,77278
,BAJAJCORP,EQ,       361.90,                  4524221.25,12612
,BAJAJELEC,EQ,       495.40,                 46422257.55,93936
,BAJAJHIND,EQ,         8.70,                 17877821.90,2053121
,BAJAJHLDNG,EQ,      2859.45,                330510434.60,116124
,BALAJITELE,EQ,        90.65,                 10123131.30,111900
,BALAMINES,EQ,       447.55,                  4535454.30,10133
,BALKRISHNA,EQ,        49.40,                   206848.25,4194
,BALKRISIND,EQ,       907.60,                373769105.75,414195
,BALLARPUR,EQ,         5.50,                  1148536.85,210444
,BALMLAWRIE,EQ,       202.80,                 17503952.75,87731
,BALPHARMA,EQ,        80.10,                   654467.35,8169
,BALRAMCHIN,EQ,       101.35,                131067231.75,1298716
,BANARBEADS,EQ,        48.55,                    26206.60,545
,BANARISUG,EQ,      1470.55,                   236434.65,161
,BANCOINDIA,EQ,       184.90,                 19532038.40,105674
,BANG,EQ,        56.80,                  4628073.80,81371
,BANKBEES,EQ,      2755.80,                161320082.68,59587
,BANKINDIA,EQ,       100.65,               1683468785.85,17019629
,BANSAL,SM,        32.10,                   256800.00,8000
,BANSWRAS,EQ,        79.90,                   867205.30,10841
,BARTRONICS,EQ,         7.15,                   133739.05,18490
,BASF,EQ,      1585.40,                 11068018.95,7021
,BASML,EQ,       210.40,                   320204.60,1529
,BATAINDIA,EQ,      1096.65,                726260623.30,665666
,BAYERCROP,EQ,      4248.55,                 21426805.75,5085
,BBL,EQ,      1144.90,                  4966743.00,4383
,BBTC,EQ,      1266.20,                 76252380.75,60487
,BCG,EQ,         2.75,                  1157822.25,416673
,BCONCEPTS,SM,        37.05,                   226650.00,6000
,BDL,EQ,       275.75,                  2368489.20,8593
,BEARDSELL,EQ,        23.75,                    15624.35,650
,BEDMUTHA,BE,        20.05,                    17059.50,861
,BEML,EQ,       899.80,               5307175175.20,6026948
,BEPL,EQ,        90.85,                 89838715.90,983287
,BERGEPAINT,EQ,       328.30,                323046789.45,990882
,BETA,SM,        72.50,                   450800.00,6400
,BFINVEST,EQ,       236.50,                 25407655.80,108469
,BFUTILITIE,EQ,       207.90,                130911473.30,631362
,BGLOBAL,BE,         3.00,                    22331.25,7504
,BGRENERGY,EQ,        59.85,                  2853242.95,48245
,BHAGERIA,EQ,       282.55,                  1845817.55,6579
,BHAGYANGR,EQ,        29.60,                   216125.00,7435
,BHAGYAPROP,EQ,        28.00,                   153832.80,5494
,BHANDARI,EQ,         2.05,                   694869.25,336368
,BHARATFIN,EQ,       990.70,                689129218.50,703858
