,18-Jul-2018
The Nifty witnessed an intraday movement of about 119.9 points.The closing index was 0.25 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29630.86
, Traded Quantity (in Lakhs), 15358.23
, Number of Trades, 11246426
, Total Market Capitalisation (Rs. Crores), 14478986.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AUTOIND,EQ,        62.85,                   821357.10,12607
,AUTOLITIND,EQ,        56.45,                   202063.20,3561
,AVADHSUGAR,EQ,       295.00,                  3201359.30,10738
,AVANTIFEED,EQ,       413.10,                270845989.25,647421
,AVG,SM,        90.05,                   108060.00,1200
,AVTNPL,EQ,        30.60,                  1590173.55,51405
,AXISCADES,EQ,       110.80,                  9584246.95,85993
,AXISGOLD,EQ,      2634.25,                   624291.45,237
,AXISNIFTY,EQ,      1112.00,                   152828.68,138
,AYMSYNTEX,EQ,        47.45,                   625616.05,13365
,BAFNAPHARM,EQ,        22.35,                   363093.20,16444
,BAGFILMS,EQ,         4.15,                   160573.15,38539
,BAJAJCORP,EQ,       405.00,                 26198894.55,64674
,BAJAJELEC,EQ,       525.15,                133467175.75,252581
,BAJAJHIND,EQ,         6.00,                  8722930.85,1445698
,BAJAJHLDNG,EQ,      2985.15,                 44038829.05,14750
,BALAJITELE,EQ,       113.05,                  2432396.65,21316
,BALAMINES,EQ,       505.50,                  8610420.00,17005
,BALKRISHNA,EQ,        64.90,                   135763.65,2057
,BALKRISIND,EQ,      1148.20,                402011444.05,349180
,BALLARPUR,EQ,         8.55,                  5121881.40,591126
,BALMLAWRIE,EQ,       208.25,                  7766923.50,37248
,BALPHARMA,EQ,        73.60,                   331974.10,4441
,BALRAMCHIN,EQ,        64.25,                341416117.30,5349981
,BANARBEADS,EQ,        51.80,                   943326.90,18563
,BANARISUG,EQ,      1499.50,                   905254.15,601
,BANCOINDIA,EQ,       200.20,                  5740252.45,28434
,BANDHANBNK,EQ,       600.50,               3251550790.80,5518147
,BANG,EQ,        54.10,                  1845150.20,34572
,BANKA,SM,        83.00,                    99600.00,1200
,BANKBEES,EQ,      2739.92,                 60003501.60,21828
,BANKINDIA,EQ,        79.05,                740187081.45,9328796
,BANSAL,SM,       128.25,                 12480050.00,97000
,BANSWRAS,EQ,        85.60,                   216225.10,2465
,BARTRONICS,BE,         9.10,                   209747.20,22535
,BASF,EQ,      1859.10,                  4449481.00,2376
,BASML,EQ,       231.00,                     9394.90,42
,BATAINDIA,EQ,       827.70,                794423375.30,949354
,BAYERCROP,EQ,      4450.00,                 15971163.25,3590
,BBL,EQ,      1121.25,                  5611485.40,4935
,BBTC,EQ,      1474.40,                115759979.95,77989
,BCONCEPTS,SM,        35.50,                   106500.00,3000
,BDL,EQ,       357.25,                  7423048.65,20723
,BEARDSELL,EQ,        37.20,                   102235.75,2654
,BEDMUTHA,BE,        18.75,                    90959.80,4915
,BEML,EQ,       777.25,                516473555.60,664628
,BEPL,EQ,       128.70,                 63744069.45,482305
,BERGEPAINT,EQ,       306.25,                391094511.65,1255843
,BETA,SM,        94.90,                    75920.00,800
,BFINVEST,EQ,       216.25,                 16855667.15,76559
,BFUTILITIE,EQ,       281.30,                 75244978.75,263572
,BGLOBAL,BE,         2.65,                    10123.85,3969
,BGRENERGY,EQ,        83.05,                  8296512.25,98589
,BHAGERIA,EQ,       305.35,                  5768647.70,18769
,BHAGYANGR,EQ,        40.55,                  4876983.65,118651
,BHAGYAPROP,BE,        21.95,                   349613.30,16008
,BHANDARI,EQ,         2.25,                   305160.90,135093
,BHARATFIN,EQ,      1158.00,                515151560.55,440773
,BHARATFORG,EQ,       595.25,                656487623.90,1094475
,BHARATGEAR,EQ,       151.25,                  1376493.95,8946
,BHARATIDIL,BZ,         3.10,                    31728.75,10270
,BHARATRAS,EQ,      6712.45,                  9339566.50,1396
,BHARATWIRE,EQ,        87.50,                  1895886.85,22066
,BHUSANSTL,EQ,        22.70,                 38822171.55,1677901
,BIGBLOC,EQ,        93.60,                  5942670.60,64221
,BIL,EQ,       367.20,                   163270.80,445
,BILENERGY,BE,          .45,                    37921.15,77359
,BILPOWER,BE,          .90,                      319.50,355
,BINANIIND,EQ,        81.70,                  2018028.65,24274
,BINDALAGRO,EQ,        18.70,                   702986.60,37196
,BIOCON,EQ,       584.80,                661232179.70,1129308
,BIOFILCHEM,BE,        12.50,                      838.20,67
,BIRLACABLE,BE,        81.25,                   428449.10,5226
,BIRLACORPN,EQ,       695.20,                 65496745.60,92389
,BIRLAMONEY,BE,        51.70,                  2388792.60,45795
,BKMINDST,EQ,        20.15,                   373969.35,18854
,BLBLIMITED,BE,         7.00,                    29185.50,4215
,BLISSGVS,EQ,       167.75,                 18198732.75,108908
,BLKASHYAP,EQ,        32.45,                  5421868.00,164110
,BLS,EQ,       169.30,                  7997837.00,46999
,BLUEBLENDS,EQ,         8.70,                    43157.45,4982
,BLUECOAST,EQ,        74.15,                     4893.90,66
,BLUEDART,EQ,      3577.25,                  7002877.70,1975
,BLUESTARCO,EQ,       662.95,                 52950230.55,79727
,BODALCHEM,EQ,       118.80,                 23826161.60,198484
,BOMDYEING,BE,       216.50,                 65155872.30,302389
,BOROSIL,EQ,      1096.50,                 24056705.70,21867
,BPL,EQ,        47.70,                  6668471.80,137162
,BRFL,BE,        19.85,                   569592.00,28511
,BRIGADE,EQ,       188.90,                  4119028.85,21649
,BRIGHT,ST,        37.80,                  2125800.00,57000
,BRNL,EQ,       166.35,                   843271.00,5102
,BROOKS,EQ,        77.45,                  3158885.80,40903
,BSE,EQ,       833.35,                 56500477.25,67891
,BSELINFRA,EQ,         2.80,                   124246.10,44009
,BSHSL,SM,       130.00,                  2328900.00,18000
,BSL,EQ,        42.95,                  1053904.55,24113
,BSLGOLDETF,EQ,      2889.50,                   479422.45,162
,BSLNIFTY,EQ,       112.19,                    17326.61,154
,BURNPUR,BE,         4.35,                   345915.85,79662
,BUTTERFLY,BE,       305.00,                  1034593.05,3374
,BVCL,BE,        18.00,                    25553.10,1420
,BYKE,EQ,       124.00,                  3907055.45,31457
,CADSYS,SM,        64.80,                   129600.00,2000
,CALSOFT,BE,        25.85,                   289754.95,11368
,CAMLINFINE,EQ,        85.40,                 18678393.80,216691
,CANBK,EQ,       227.80,               1483071535.60,6461798
,CANDC,EQ,        33.35,                   830611.75,24557
,CANFINHOME,EQ,       329.65,                143645046.65,435531
,CANTABIL,BE,       115.25,                   267131.45,2317
,CAPACITE,EQ,       260.80,                 23708508.15,90277
,CAPF,EQ,       487.20,                175554305.70,359437
,CAPLIPOINT,EQ,       379.55,                  7032936.20,18176
,CAPTRUST,EQ,       393.40,                   892241.85,2251
,CARBORUNIV,EQ,       329.65,                  6696744.05,20167
,CAREERP,EQ,        85.05,                   673002.80,7808
,CARERATING,EQ,      1237.95,                 46069450.90,37444
,CASTEXTECH,BE,         1.80,                   533161.00,294154
,CASTROLIND,EQ,       159.05,                118762750.50,750069
,CCCL,EQ,         3.10,                    67021.85,21326
,CCHHL,EQ,         8.35,                   259692.30,30887
,CCL,EQ,       274.40,                 35916921.90,132104
,CDSL,EQ,       258.35,                 58409692.80,224318
,CEATLTD,EQ,      1251.10,                627409694.45,501043
,CEBBCO,EQ,        13.25,                   360503.30,27588
,CELEBRITY,EQ,        11.95,                   253548.20,21149
,CELESTIAL,EQ,        12.45,                   355298.70,27711
,CENTENKA,EQ,       241.40,                 16029499.00,64635
,CENTEXT,EQ,         5.80,                   775986.65,131424
,CENTRALBK,EQ,        69.85,                 82731741.10,1177988
,CENTRUM,EQ,        53.60,                  7971330.95,147720
,CENTUM,EQ,       387.60,                  2292526.55,5847
,CENTURYPLY,EQ,       228.35,                 14252537.00,61382
,CENTURYTEX,EQ,       863.20,                569338711.75,660644
,CERA,EQ,      2706.65,                 10479212.05,3862
,CEREBRAINT,BE,        59.95,                  7891340.70,130963
,CES1RPG,MF,         9.03,                   120550.00,13300
,CESC,EQ,       884.25,                233901616.25,262132
,CGCL,EQ,        76.85,                   484530.65,6245
,CGPOWER,EQ,        57.85,                339271682.00,5872408
,CHAMBLFERT,EQ,       140.85,                 23901756.90,170261
,CHEMFAB,BE,       175.00,                   568590.50,3243
,CHENNPETRO,EQ,       271.45,                211959031.80,776490
,CHOLAFIN,EQ,      1530.45,               1004379980.50,650910
,CHROMATIC,EQ,         1.10,                    59233.60,53592
,CIGNITITEC,EQ,       412.50,                 47554254.40,111689
,CIMMCO,EQ,        62.40,                   535322.55,8712
,CINELINE,EQ,        50.45,                  1691251.00,33060
,CINEVISTA,EQ,         6.00,                    15571.60,2613
,CLEDUCATE,EQ,       151.15,                   384996.45,2614
,CLNINDIA,EQ,       397.30,                  1469714.80,3666
,CMICABLES,EQ,       213.35,                  4525369.20,20820
,CMMIPL,SM,        30.05,                   463950.00,15000
,CNOVAPETRO,EQ,        22.95,                    18257.40,794
,COCHINSHIP,EQ,       429.05,                 16041136.75,37238
,COFFEEDAY,EQ,       260.25,                  9713457.85,37354
,COMPINFO,EQ,        29.60,                  2288933.05,76011
,COMPUSOFT,EQ,        11.65,                  1528199.00,130132
,CONSOFINVT,EQ,        47.50,                   226670.75,4576
,CONTROLPR,EQ,       407.00,                  1864554.10,4616
,CORALFINAC,EQ,        20.75,                   506391.80,24300
,CORDSCABLE,EQ,        59.30,                   644030.10,10940
,COROMANDEL,EQ,       393.15,                 12523858.65,31634
,CORPBANK,EQ,        27.30,                 86270178.80,3104319
,COSMOFILMS,EQ,       218.20,                  2674353.70,12310
,COUNCODOS,EQ,         2.50,                     7032.60,2801
,COX&KINGS,EQ,       214.70,                  7976867.95,36979
,CPSEETF,EQ,        25.97,                 13544246.86,519266
,CREATIVEYE,EQ,         2.80,                     1400.00,500
,CREST,EQ,       158.45,                   431611.95,2721
,CRISIL,EQ,      1755.80,                 36400037.25,20547
,CRMFGETF,EQ,      2790.00,                     5635.00,2
,CROMPTON,EQ,       233.15,                 96790358.60,416250
,CTE,EQ,        51.20,                    49935.90,974
,CUB,EQ,       173.50,                339653442.90,1930095
,CUBEXTUB,BE,        15.05,                     7579.95,507
,CUPID,EQ,       229.65,                  2810913.40,12102
,CYBERTECH,EQ,        44.15,                   364727.65,8161
,CYIENT,EQ,       697.25,                239903371.25,346448
,DAAWAT,EQ,        57.80,                 27797887.00,475621
