,24-Jul-2018
The Nifty witnessed an intraday movement of about 50.9 points.The closing index was 0.45 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 34563.31
, Traded Quantity (in Lakhs), 18103.16
, Number of Trades, 12537359
, Total Market Capitalisation (Rs. Crores), 14798442.79

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ARIES,EQ,       106.65,                  4924235.15,46109
,ARIHANT,EQ,        36.75,                   120417.50,3305
,ARIHANTSUP,EQ,        64.50,                  5828927.80,90118
,ARMANFIN,EQ,       350.25,                   531513.25,1522
,AROGRANITE,EQ,        54.90,                  1188591.65,21620
,ARROWGREEN,EQ,       151.45,                  1043036.15,6887
,ARROWTEX,EQ,        27.35,                   183520.85,6739
,ARSHIYA,EQ,        57.85,                  3624081.30,64776
,ARSSINFRA,BE,        20.35,                    33204.15,1656
,ARVIND,EQ,       430.55,               1436240029.75,3423705
,ARVSMART,EQ,       166.25,                  3281502.05,20087
,ASAHIINDIA,EQ,       325.00,                 11800520.85,36106
,ASAHISONG,EQ,       250.70,                   174766.85,692
,ASAL,EQ,        54.30,                  1230233.85,22799
,ASHAPURMIN,EQ,        45.95,                  8333963.60,185861
,ASHIANA,EQ,       131.70,                  8537601.65,65435
,ASHIMASYN,EQ,        24.35,                  2012585.30,83144
,ASHOKA,EQ,       146.95,                 14353138.90,97245
,ASIANHOTNR,EQ,       230.25,                   100420.45,431
,ASIANTILES,EQ,       286.30,                 18614938.00,65044
,ASPINWALL,EQ,       252.95,                   378010.15,1518
,ASSAMCO,EQ,         3.40,                   785503.90,235188
,ASTEC,EQ,       648.30,                  9936547.25,15354
,ASTERDM,EQ,       166.90,                  4849854.75,29145
,ASTRAL,EQ,      1093.90,                 33067160.90,30064
,ASTRAMICRO,EQ,       100.90,                 82594222.05,830189
,ASTRAZEN,EQ,      1463.25,                 31124141.65,21318
,ASTRON,EQ,       107.30,                  5766434.20,53953
,ATFL,EQ,       648.05,                  6191594.60,9663
,ATLANTA,EQ,        43.10,                 14338107.75,335885
,ATLASCYCLE,BE,       123.60,                   354495.95,2890
,ATUL,EQ,      2840.60,                 12821582.55,4477
,ATULAUTO,EQ,       405.40,                  4661048.65,11557
,AUBANK,EQ,       640.95,                227347745.75,354694
,AURDIS,SM,        35.25,                    70500.00,2000
,AURIONPRO,EQ,       197.25,                  2105629.15,10554
,AUSOMENT,EQ,        70.75,                   414221.95,5838
,AUTOAXLES,EQ,      1241.60,                 14697386.65,11953
,AUTOIND,EQ,        66.75,                  8972550.90,131475
,AUTOLITIND,EQ,        58.30,                  3222817.80,54611
,AVADHSUGAR,EQ,       291.65,                 12093328.90,40768
,AVANTIFEED,EQ,       453.80,                558281074.55,1233247
,AVG,SM,        85.50,                   309600.00,3600
,AVTNPL,EQ,        32.10,                  1623817.55,50900
,AXISCADES,EQ,       112.95,                 12588996.85,111189
,AXISGOLD,EQ,      2650.00,                   406030.70,154
,AXISNIFTY,EQ,      1122.35,                   105608.62,94
