,19-Jul-2018
The Nifty witnessed an intraday movement of about 71.05 points.The closing index was 0.21 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27888.39
, Traded Quantity (in Lakhs), 13560.73
, Number of Trades, 10517502
, Total Market Capitalisation (Rs. Crores), 14422039.46

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ARVIND,EQ,       397.00,                553740019.10,1374979
,ARVSMART,EQ,       160.25,                  3413205.35,21487
,ASAHIINDIA,EQ,       326.80,                 10411287.40,31791
,ASAHISONG,EQ,       254.55,                   122112.75,481
,ASAL,EQ,        52.20,                   786447.10,15145
,ASHAPURMIN,EQ,        41.70,                  2306888.00,54110
,ASHIANA,EQ,       121.00,                  7937889.95,65631
,ASHIMASYN,EQ,        23.15,                  4390680.20,184320
,ASHOKA,EQ,       148.80,                 31513919.55,213555
,ASIANHOTNR,EQ,       234.70,                    63129.10,281
,ASIANTILES,EQ,       290.15,                 11433346.60,39781
,ASPINWALL,EQ,       240.00,                   600115.50,2475
,ASSAMCO,EQ,         3.50,                   735092.15,210758
,ASTEC,EQ,       638.15,                  7605032.70,11810
,ASTERDM,EQ,       163.85,                 18546595.60,112925
,ASTRAL,EQ,      1049.10,                 13266697.45,12615
,ASTRAMICRO,EQ,        95.65,                 13771539.05,143433
,ASTRAZEN,EQ,      1435.55,                 50312455.35,34678
,ASTRON,EQ,       104.55,                  9013542.00,85227
,ATFL,EQ,       621.80,                  7942239.50,12643
,ATLANTA,EQ,        34.30,                  3153731.05,89360
,ATLASCYCLE,BE,       119.00,                   230428.10,1925
,ATUL,EQ,      2806.60,                 10144376.40,3615
,ATULAUTO,EQ,       392.30,                  4558986.10,11489
,AUBANK,EQ,       629.50,               1023458327.10,1624761
,AURDIS,SM,        37.10,                   445000.00,12000
,AURIONPRO,EQ,       190.70,                  3876496.50,20216
,AUSOMENT,EQ,        71.35,                   241958.80,3423
,AUTOAXLES,EQ,      1171.45,                 11087295.30,9382
,AUTOIND,EQ,        62.40,                   295953.15,4734
,AUTOLITIND,EQ,        56.15,                   196383.90,3526
,AVADHSUGAR,EQ,       286.45,                  3970495.55,13745
,AVANTIFEED,EQ,       421.15,                274694641.20,658595
,AVG,SM,        90.00,                   108000.00,1200
,AVTNPL,EQ,        30.00,                  1636530.30,54370
,AXISCADES,EQ,       112.15,                  7364606.30,65526
,AXISGOLD,EQ,      2637.00,                   573565.15,218
,AXISNIFTY,EQ,      1104.58,                   150831.63,136
,AYMSYNTEX,EQ,        45.30,                  1663257.95,36477
,BAFNAPHARM,EQ,        21.60,                   225582.85,10313
,BAGFILMS,EQ,         4.15,                   682251.60,167487
,BAJAJCORP,EQ,       403.10,                 13042684.80,32195
,BAJAJELEC,EQ,       524.45,                113703831.60,215544
,BAJAJHIND,EQ,         5.95,                  5492064.90,915039
,BAJAJHLDNG,EQ,      2950.75,                 21764699.90,7385
,BALAJITELE,EQ,       112.30,                  2835300.55,25429
,BALAMINES,EQ,       500.30,                  5629030.25,11209
,BALKRISHNA,EQ,        64.40,                   231155.75,3583
,BALKRISIND,EQ,      1152.95,                558581446.90,481694
,BALLARPUR,EQ,         8.45,                  6110868.70,715627
