,03-Jul-2018
The Nifty witnessed an intraday movement of about 83.05 points.The closing index was 0.4 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 24545.32
, Traded Quantity (in Lakhs), 11565.3
, Number of Trades, 9553684
, Total Market Capitalisation (Rs. Crores), 14317945.13

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BAYERCROP,EQ,      4537.40,                 21168326.80,4669
,BBL,EQ,      1210.15,                  5300139.65,4398
,BBTC,EQ,      1425.15,                103100377.70,72235
,BCONCEPTS,SM,        35.00,                   105000.00,3000
,BDL,EQ,       377.70,                  8815081.55,23467
,BEARDSELL,EQ,        37.55,                    10513.45,282
,BEDMUTHA,BE,        18.00,                    56450.45,3130
,BEML,EQ,       819.15,                694498133.10,853969
,BEPL,EQ,       140.35,                 34742006.45,249668
,BERGEPAINT,EQ,       286.15,                168993982.70,590255
,BFINVEST,EQ,       225.75,                 23348985.30,102915
,BFUTILITIE,EQ,       307.65,                 89707905.45,292265
,BGLOBAL,BE,         2.95,                    59476.70,20554
,BGRENERGY,EQ,        91.80,                  7752936.35,84012
,BHAGERIA,EQ,       295.70,                  9644018.30,32580
,BHAGYANGR,EQ,        39.95,                  8045002.30,205384
,BHAGYAPROP,BE,        20.30,                   259470.45,12360
,BHANDARI,EQ,         2.35,                   121151.60,51938
,BHARATFIN,EQ,      1180.95,                510171050.70,433231
,BHARATFORG,EQ,       620.40,                421402133.05,680435
,BHARATGEAR,EQ,       150.85,                  1770144.70,11644
,BHARATIDIL,BZ,         3.75,                     8210.75,2298
,BHARATRAS,EQ,      6196.70,                  3755866.15,600
,BHARATWIRE,EQ,        97.20,                   896622.95,9169
,BHUSANSTL,EQ,        27.95,                 27473706.55,984666
,BIGBLOC,EQ,        86.20,                  5041394.90,56214
,BIL,EQ,       377.60,                   183415.15,484
,BILENERGY,BE,          .50,                    51889.95,106373
,BINANIIND,EQ,        87.80,                  2388825.45,26961
,BINDALAGRO,EQ,        20.95,                   560139.05,27085
,BIOCON,EQ,       628.55,               1031902586.75,1654383
,BIOFILCHEM,BE,        11.35,                    19916.20,1763
