,06-Jul-2018
The Nifty witnessed an intraday movement of about 81.3 points.The closing index was 0.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28712.09
, Traded Quantity (in Lakhs), 12435.38
, Number of Trades, 10248840
, Total Market Capitalisation (Rs. Crores), 14403906.25

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,APOLSINHOT,EQ,      1332.25,                   513718.00,382
,APTECHT,EQ,       243.10,                 46933365.10,193483
,ARCHIDPLY,EQ,        59.55,                   382772.35,6437
,ARCHIES,BE,        27.05,                   323563.50,11861
,ARCOTECH,EQ,        13.45,                  3816401.25,282156
,ARENTERP,EQ,         9.95,                     2025.00,200
,ARIES,EQ,       113.45,                  5216598.05,45944
,ARIHANT,EQ,        36.00,                      106.20,3
,ARIHANTSUP,EQ,        67.90,                  4552574.70,67993
,ARMANFIN,BE,       335.00,                  1667110.30,5021
,AROGRANITE,EQ,        55.65,                   566054.95,10263
,ARROWGREEN,EQ,        84.60,                 14097751.00,174145
,ARROWTEX,EQ,        29.80,                   605369.45,20418
,ARSHIYA,EQ,        63.20,                  3290915.05,52501
,ARSSINFRA,BE,        24.15,                   488129.40,20225
,ARVIND,EQ,       395.85,                449019646.95,1135187
,ARVSMART,EQ,       161.10,                  1300948.50,8142
,ASAHIINDIA,EQ,       331.10,                  6620521.45,19902
,ASAHISONG,EQ,       252.30,                   130127.05,515
,ASAL,EQ,        55.10,                  1457044.60,26408
,ASHAPURMIN,EQ,        44.55,                  4292633.55,97406
,ASHIANA,EQ,       135.90,                 13296255.30,99363
,ASHIMASYN,EQ,        22.75,                  9587080.10,427746
,ASHOKA,EQ,       230.30,                 23189561.00,99898
,ASIANHOTNR,EQ,       249.95,                     6921.05,29
,ASIANTILES,EQ,       295.00,                101557021.15,344755
,ASLIND,SM,        23.25,                   465000.00,20000
,ASPINWALL,EQ,       257.00,                   716577.35,2726
,ASSAMCO,EQ,         3.30,                  3608737.40,1173473
,ASTEC,EQ,       629.40,                  9209745.15,14594
,ASTERDM,EQ,       167.05,                  4851175.40,28715
,ASTRAL,EQ,       991.25,                 15374017.05,15545
,ASTRAMICRO,EQ,       100.55,                 13559950.15,135033
,ASTRAZEN,EQ,      1381.25,                 27168844.75,19465
,ASTRON,EQ,       109.60,                 29921672.85,272442
,ATFL,EQ,       659.25,                 66779934.65,102798
,ATLANTA,EQ,        39.20,                  3859233.35,99607
,ATLASCYCLE,BE,       124.55,                    90368.05,722
,ATUL,EQ,      2711.40,                  5049010.15,1863
,ATULAUTO,EQ,       389.60,                  1676182.35,4282
,AUBANK,EQ,       679.35,                927544429.50,1422854
,AURDIS,SM,        24.05,                   144300.00,6000
