,04-Jul-2018
The Nifty witnessed an intraday movement of about 99.4 points.The closing index was 0.65 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 25099.64
, Traded Quantity (in Lakhs), 10985.44
, Number of Trades, 9092612
, Total Market Capitalisation (Rs. Crores), 14370714.3

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ANDHRACEMT,EQ,         8.90,                   571089.75,63910
,ANDHRSUGAR,EQ,       332.05,                  3759626.95,11330
,ANGIND,BE,         3.05,                     1894.05,621
,ANIKINDS,BE,        28.45,                    93574.05,3288
,ANKITMETAL,BE,         1.00,                      852.00,852
,ANSALAPI,EQ,        16.85,                   920206.80,54244
,ANSALHSG,EQ,        14.80,                   144495.80,9797
,ANTGRAPHIC,BE,          .55,                    13021.30,23373
,APARINDS,EQ,       659.95,                   665281.35,1007
,APCL,EQ,       150.30,                   366807.40,2433
,APCOTEXIND,EQ,       500.40,                  5000694.70,9997
,APEX,EQ,       398.40,                 91406661.45,234053
,APLAPOLLO,EQ,      1653.65,                 40958943.75,25076
,APLLTD,EQ,       539.35,                118083883.85,216087
,APOLLO,EQ,       149.85,                  8727524.75,58227
,APOLLOHOSP,EQ,      1081.90,                483098934.30,449504
,APOLLOTYRE,EQ,       253.30,                528675211.60,2113615
,APOLSINHOT,EQ,      1386.45,                  3452018.35,2471
,APTECHT,EQ,       244.30,                 60412818.70,245729
,ARCHIDPLY,EQ,        61.70,                  1263246.45,20594
,ARCHIES,BE,        27.60,                   247845.70,8887
,ARCOTECH,EQ,        13.95,                  1777927.60,126965
,ARIES,EQ,       119.45,                  2197539.10,18316
,ARIHANT,EQ,        36.00,                     1368.00,38
,ARIHANTSUP,EQ,        67.45,                  5452923.00,81503
,ARMANFIN,BE,       340.35,                   743181.75,2189
,AROGRANITE,EQ,        55.50,                   740564.30,13137
,ARROWGREEN,EQ,        84.80,                   129744.00,1530
,ARROWTEX,EQ,        30.95,                   117143.15,3792
,ARSHIYA,EQ,        59.45,                  3600667.50,61548
,ARSSINFRA,BE,        25.50,                   369219.40,14308
,ARVIND,EQ,       396.75,                283128224.85,720410
,ARVSMART,EQ,       159.85,                  1305134.95,8296
,ASAHIINDIA,EQ,       342.45,                 11418686.70,33766
,ASAHISONG,EQ,       258.55,                   932487.30,3642
,ASAL,EQ,        58.95,                 46070368.30,712058
,ASHAPURMIN,EQ,        43.90,                  2859216.30,65570
,ASHIANA,EQ,       133.95,                  1118080.85,8320
,ASHIMASYN,EQ,        19.35,                  1379781.90,70772
,ASHOKA,EQ,       228.00,                 34040035.70,146582
,ASIANHOTNR,EQ,       248.35,                    57982.30,241
,ASIANTILES,EQ,       285.15,                 21783008.15,76780
,ASLIND,SM,        23.10,                   461400.00,20000
,ASPINWALL,EQ,       268.30,                   102636.40,378
,ASSAMCO,EQ,         2.80,                   896654.50,316649
,ASTEC,EQ,       630.70,                 14850895.45,23216
,ASTERDM,EQ,       169.85,                  4978630.25,29479
,ASTRAL,EQ,       980.75,                255672089.40,259242
,ASTRAMICRO,EQ,       103.25,                 38154287.50,371332
,ASTRAZEN,EQ,      1422.50,                 34026844.70,23632
,ASTRON,EQ,       111.05,                 25094743.40,227940
,ATFL,EQ,       664.65,                  3423410.25,5157
,ATLANTA,EQ,        40.40,                  2129221.55,52379
,ATLASCYCLE,BE,       124.95,                   192989.55,1557
,ATUL,EQ,      2683.85,                 12149775.55,4507
