,26-Mar-2018
The Nifty witnessed an intraday movement of about 184.95 points.The closing index was 1.33 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31018.64
, Traded Quantity (in Lakhs), 17008.57
, Number of Trades, 10558288
, Total Market Capitalisation (Rs. Crores), 13936458.65

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ARROWTEX,EQ,        34.15,                   404785.75,11665
,ARSHIYA,EQ,        71.85,                 28928382.90,399843
,ARSSINFRA,BE,        39.45,                  3648521.70,95668
,ARVEE,SM,        61.10,                  2466200.00,44000
,ARVIND,EQ,       387.05,                453943639.95,1182728
,ARVSMART,EQ,       186.10,                  8210463.20,44046
,ASAHIINDIA,EQ,       330.65,                  8419636.80,25449
,ASAHISONG,EQ,       316.75,                  7394641.85,23816
,ASAL,EQ,        78.40,                  2945513.75,37968
,ASHAPURMIN,EQ,        68.55,                 16622768.55,250289
,ASHIANA,EQ,       154.80,                  8472284.15,55026
,ASHIMASYN,EQ,        25.60,                 14440302.80,578319
,ASHOKA,EQ,       244.30,                 46991873.75,192807
,ASIANHOTNR,BE,       298.70,                  1866896.10,6177
,ASIANTILES,EQ,       447.70,                 22486568.15,50030
,ASPINWALL,EQ,       366.75,                  1012584.55,2750
,ASSAMCO,EQ,         4.05,                  1429733.95,352911
,ASTEC,EQ,       583.45,                 12508219.85,21482
,ASTERDM,EQ,       167.20,                 27089482.10,159823
,ASTRAL,EQ,       867.25,                 41975658.35,48277
,ASTRAMICRO,EQ,        76.90,                 33106081.30,427937
,ASTRAZEN,EQ,       938.80,                  8436658.05,9086
,ASTRON,EQ,       105.55,                 37909499.65,355724
,ATFL,EQ,       653.30,                  2977654.30,4594
,ATLANTA,EQ,        75.10,                 23208203.20,310302
,ATLASCYCLE,BE,       163.25,                  2113577.00,13140
,ATUL,EQ,      2609.45,                 13680849.55,5209
,ATULAUTO,EQ,       440.75,                 19416211.25,44010
,AUBANK,EQ,       590.65,                 58809628.90,100046
,AURDIS,SM,        27.15,                   870800.00,32000
,AURIONPRO,EQ,       221.10,                 19996976.50,92267
,AUSOMENT,EQ,        68.30,                  3983490.30,57060
,AUSTRAL,BZ,          .20,                    42906.65,253893
,AUTOAXLES,EQ,      1429.70,                 23125663.40,16234
,AUTOIND,EQ,        63.00,                  4400896.00,69883
,AUTOLITIND,EQ,        61.45,                  1307074.30,21539
,AVADHSUGAR,EQ,       388.85,                 57327229.60,142943
,AVANTIFEED,EQ,      2183.70,                225435853.85,105053
,AVTNPL,EQ,        36.75,                  5217213.00,142519
,AXISCADES,EQ,       136.60,                 12530095.95,90488
,AXISGOLD,EQ,      2672.10,                   862746.95,322
,AXISNIFTY,EQ,      1022.01,                    30122.53,30
,AYMSYNTEX,EQ,        59.70,                  3152482.40,53883
,BAFNAPHARM,EQ,        26.20,                   640546.65,24847
,BAGFILMS,EQ,         4.45,                  2457354.45,548802
,BAJAJCORP,EQ,       459.30,                 35785173.50,78888
,BAJAJELEC,EQ,       561.80,                407961406.10,743115
,BAJAJHIND,EQ,         8.75,                 45846898.45,5159786
,BAJAJHLDNG,EQ,      2665.05,                 75729374.20,29315
,BALAJITELE,EQ,       131.20,                 19826793.65,152154
,BALAMINES,EQ,       574.65,                 18240271.15,31812
,BALKRISHNA,EQ,        69.40,                  1209442.95,17475
,BALKRISIND,EQ,      1114.65,                574121231.10,522647
,BALLARPUR,EQ,        12.60,                 29430917.95,2327759
,BALMLAWRIE,EQ,       212.70,                 31358415.35,146621
,BALPHARMA,EQ,        77.10,                  2789869.05,36014
,BALRAMCHIN,EQ,        83.45,                217200876.15,2567180
,BANARBEADS,EQ,        55.90,                   139810.15,2513
,BANARISUG,EQ,      1601.60,                   958414.00,598
,BANCOINDIA,EQ,       214.70,                 24358441.15,113286
,BANG,EQ,        24.25,                   171612.25,7099
,BANKA,SM,       106.00,                   512580.00,4800
,BANKBEES,EQ,      2460.09,                 22972294.13,9506
,BANKINDIA,EQ,       102.05,               1320775614.20,13305684
,BANSAL,SM,        77.20,                  3515900.00,40000
,BANSWRAS,EQ,        97.60,                  5680677.00,57474
,BARTRONICS,EQ,         9.50,                  1252065.85,130804
,BASF,EQ,      1919.60,                 26586697.50,13778
,BASML,EQ,       231.50,                  2279935.30,9900
,BATAINDIA,EQ,       742.85,                942696912.45,1285428
,BAYERCROP,EQ,      4180.70,                 60173562.15,14448
,BBL,EQ,      1546.20,                 48316304.50,31662
,BBTC,EQ,      1132.75,                272042463.00,243827
,BCONCEPTS,SM,        47.60,                  1198200.00,24000
,BDL,EQ,       396.95,                475624448.00,1174165
,BEARDSELL,EQ,        48.40,                   140201.30,2900
,BEDMUTHA,EQ,        15.95,                   889778.15,54751
,BEML,EQ,      1056.35,                573505817.05,545538
,BEPL,EQ,       165.30,                120503928.65,731485
,BERGEPAINT,EQ,       247.45,                 93606151.95,384176
,BETA,SM,       133.50,                  2144240.00,16000
,BFINVEST,EQ,       270.30,                 30873790.80,115991
,BFUTILITIE,EQ,       370.50,                206206526.10,560826
,BGLOBAL,BE,         4.20,                   131653.90,31641
,BGRENERGY,EQ,       104.85,                 14266344.45,138303
,BHAGERIA,EQ,       269.70,                  3897092.75,14404
,BHAGYANGR,EQ,        43.35,                  3252265.90,74594
,BHAGYAPROP,EQ,        18.00,                   634955.00,35607
,BHANDARI,EQ,         2.85,                   598934.90,206824
,BHARATFIN,EQ,      1079.25,                588081221.40,544108
,BHARATFORG,EQ,       699.10,                428713159.50,617444
