,28-Mar-2018
The Nifty witnessed an intraday movement of about 61.45 points.The closing index was 0.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43434.65
, Traded Quantity (in Lakhs), 19753.17
, Number of Trades, 12491763
, Total Market Capitalisation (Rs. Crores), 14044151.54

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BAGFILMS,EQ,         4.45,                   357160.95,81503
,BAJAJCORP,EQ,       472.05,                 50814062.90,105982
,BAJAJELEC,EQ,       564.10,                159916819.80,282330
,BAJAJHIND,EQ,         8.80,                 15919118.30,1791969
,BAJAJHLDNG,EQ,      2664.50,                 46690509.45,17847
,BALAJITELE,EQ,       130.30,                  9041504.45,69122
,BALAMINES,EQ,       561.05,                 17685429.40,31449
,BALKRISHNA,EQ,        72.35,                   965880.25,13629
,BALKRISIND,EQ,      1068.65,               1559502921.75,1451912
,BALLARPUR,EQ,        12.40,                 17447970.20,1379232
,BALMLAWRIE,EQ,       216.90,                 16890440.00,77871
,BALPHARMA,EQ,        77.15,                  1440632.20,18629
,BALRAMCHIN,EQ,        75.65,                982442859.25,12730110
,BANARBEADS,EQ,        58.50,                   121453.25,2081
,BANARISUG,EQ,      1723.20,                   317239.90,186
,BANCOINDIA,EQ,       212.00,                  6268498.85,29604
,BANDHANBNK,EQ,       469.05,               5669645405.60,12056881
,BANG,EQ,        28.25,                   288838.80,10736
,BANKBEES,EQ,      2465.62,                  2228958.99,905
,BANKINDIA,EQ,       103.55,                949925461.25,9063592
,BANSAL,SM,        94.50,                  2257500.00,25000
,BANSWRAS,EQ,        98.05,                  3256817.40,32641
,BARTRONICS,EQ,         9.60,                   375562.90,39068
,BASF,EQ,      1923.35,                 43911715.25,22742
,BASML,EQ,       233.95,                   114749.25,491
,BATAINDIA,EQ,       729.95,                983935336.00,1330523
,BAYERCROP,EQ,      4229.15,                 89800011.10,21332
,BBL,EQ,      1502.40,                 10477456.85,6933
,BBTC,EQ,      1170.80,                237014715.10,201341
,BCONCEPTS,SM,        49.75,                   896250.00,18000
,BDL,EQ,       396.65,                 70529475.60,176954
,BEARDSELL,EQ,        48.05,                   376035.05,7846
,BEDMUTHA,EQ,        16.60,                   143208.60,8691
,BEML,EQ,      1044.10,                570260849.80,544342
,BEPL,EQ,       170.60,                147901283.60,865470
,BERGEPAINT,EQ,       256.70,                399737432.00,1558310
,BETA,SM,       126.00,                   810080.00,6400
