,06-Mar-2018
The Nifty witnessed an intraday movement of about 225.45 points.The closing index was 1.06 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29914.1
, Traded Quantity (in Lakhs), 14268.23
, Number of Trades, 10657239
, Total Market Capitalisation (Rs. Crores), 14231240.11

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ASTEC,EQ,       578.15,                  6356850.40,10836
,ASTERDM,EQ,       170.25,                 60530421.40,352589
,ASTRAL,EQ,       851.50,                 39673681.35,46107
,ASTRAMICRO,EQ,        90.30,                 15545095.75,170497
,ASTRAZEN,EQ,      1003.70,                  1699418.35,1686
,ASTRON,EQ,       128.45,                111872181.35,867655
,ATFL,EQ,       650.10,                 11558136.20,17738
,ATLANTA,EQ,        87.50,                 14278852.80,160609
,ATLASCYCLE,BE,       183.40,                   786607.80,4205
,ATUL,EQ,      2652.60,                 43180495.95,16293
,ATULAUTO,EQ,       429.75,                 10128270.85,23596
,AUBANK,EQ,       583.55,                 37594885.05,64457
,AURIONPRO,EQ,       210.00,                  5655631.25,26672
,AUSOMENT,EQ,        69.15,                   524552.60,7416
,AUTOAXLES,EQ,      1469.85,                  9661860.15,6462
,AUTOIND,EQ,        78.05,                  2901557.95,36794
,AUTOLITIND,EQ,        70.75,                   864413.45,12040
,AVADHSUGAR,EQ,       570.00,                 42111534.10,72028
,AVANTIFEED,EQ,      2418.75,                165361705.80,67683
,AVTNPL,EQ,        40.00,                  3855739.30,94856
,AXISCADES,EQ,       152.40,                 15384361.95,97783
,AXISGOLD,EQ,      2699.55,                   878587.15,326
,AXISNIFTY,EQ,      1025.28,                   111401.87,107
,AYMSYNTEX,EQ,        65.80,                  1544955.90,22897
,BAFNAPHARM,EQ,        26.05,                   522853.35,19791
,BAGFILMS,EQ,         5.75,                   328346.85,55778
,BAJAJCORP,EQ,       468.40,                187659737.15,391130
,BAJAJELEC,EQ,       567.95,                629685569.35,1114400
,BAJAJHIND,EQ,        11.75,                 39728038.60,3343081
,BAJAJHLDNG,EQ,      2761.35,                155230675.10,54499
,BALAJITELE,EQ,       138.10,                 17470231.20,125829
,BALAMINES,EQ,       616.45,                 16105239.20,25742
,BALKRISHNA,EQ,        72.15,                   136471.40,1887
,BALKRISIND,EQ,      1015.40,                178126836.00,172735
,BALLARPUR,EQ,        12.90,                 15794966.05,1206129
,BALMLAWRIE,EQ,       227.20,                  8957388.15,39221
,BALPHARMA,EQ,        92.70,                   949809.85,10108
,BALRAMCHIN,EQ,       100.30,                653413676.05,6330628
