,14-Mar-2018
The Nifty witnessed an intraday movement of about 84.05 points.The closing index was 0.15 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27629.63
, Traded Quantity (in Lakhs), 15813.61
, Number of Trades, 9205792
, Total Market Capitalisation (Rs. Crores), 14315218.98

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AURIONPRO,EQ,       216.70,                  3630814.15,16706
,AUSOMENT,EQ,        73.75,                  2481389.05,32886
,AUTOAXLES,EQ,      1479.50,                 13866221.90,9293
,AUTOIND,EQ,        70.60,                  1681900.35,23498
,AUTOLITIND,EQ,        67.15,                   478105.60,7224
,AVADHSUGAR,EQ,       519.95,                 44661368.30,85101
,AVANTIFEED,EQ,      2401.05,                360923963.80,149300
,AVTNPL,EQ,        39.95,                  2589287.75,64803
,AXISCADES,EQ,       143.40,                  9715649.30,67843
,AXISGOLD,EQ,      2661.10,                   610427.20,229
,AXISNIFTY,EQ,      1042.15,                   168538.80,162
,AYMSYNTEX,EQ,        61.80,                  7547705.60,124188
,BAFNAPHARM,EQ,        25.20,                   138646.05,5560
,BAGFILMS,EQ,         5.30,                   646428.55,122081
,BAJAJCORP,EQ,       469.90,                 11770915.90,25141
,BAJAJELEC,EQ,       621.30,                661303024.95,1061602
,BAJAJHIND,EQ,        10.50,                 35708029.55,3406979
,BAJAJHLDNG,EQ,      2684.05,                 43841829.85,16204
,BALAJITELE,EQ,       134.10,                 10903876.50,80890
,BALAMINES,EQ,       608.50,                 95577593.35,158396
,BALKRISHNA,EQ,        71.40,                   283757.60,3991
,BALKRISIND,EQ,      1048.20,                185585714.90,176617
,BALLARPUR,EQ,        13.05,                 14673771.85,1119828
,BALMLAWRIE,EQ,       223.70,                  8990087.80,40077
,BALPHARMA,EQ,        90.35,                  1010862.75,11161
,BALRAMCHIN,EQ,        89.20,                441097964.05,4860354
,BANARBEADS,EQ,        59.45,                    11413.25,193
,BANARISUG,EQ,      1602.45,                  1277962.70,798
,BANCOINDIA,EQ,       218.25,                  5687934.45,26029
,BANG,EQ,        27.55,                    69829.55,2556
,BANKA,SM,       109.30,                   131160.00,1200
,BANKBEES,EQ,      2514.75,                 31356813.07,12523
,BANKINDIA,EQ,       103.05,               3498156086.35,34606382
,BANSAL,SM,       106.00,                  4119650.00,39000
,BANSWRAS,EQ,       102.65,                  1518781.50,14711
,BARTRONICS,EQ,        11.90,                   324776.10,27164
,BASF,EQ,      2065.80,                 12475057.50,6056
,BASML,EQ,       260.50,                   261046.05,1001
,BATAINDIA,EQ,       707.35,                241450204.35,340949
,BAYERCROP,EQ,      4137.25,                 18056596.65,4379
,BBL,EQ,      1567.75,                 15510568.10,9903
,BBTC,EQ,      1295.50,                215019988.60,165204
,BCONCEPTS,SM,        53.00,                 26017950.00,504000
,BEARDSELL,EQ,        52.40,                   103041.90,1939
,BEDMUTHA,EQ,        17.95,                   899730.55,48341
,BEML,EQ,      1103.70,                936348682.60,848789
,BEPL,EQ,       171.60,                130127883.75,754226
,BERGEPAINT,EQ,       247.90,                108613312.30,435907
,BETA,SM,       148.50,                   704800.00,4800
,BFINVEST,EQ,       306.35,                 27737428.35,91237
,BFUTILITIE,EQ,       416.70,                216850056.65,527809
,BGLOBAL,BE,         5.00,                   166984.90,33186
,BGRENERGY,EQ,       108.50,                  2981406.80,27625
,BHAGERIA,EQ,       287.70,                 18416846.80,64069
,BHAGYANGR,EQ,        47.05,                 11767594.35,247509
,BHAGYAPROP,EQ,        20.50,                    40781.25,2024
,BHANDARI,EQ,         3.20,                   435260.85,136687
,BHARATFIN,EQ,      1058.40,                492866830.75,465539
,BHARATFORG,EQ,       740.65,                575508944.85,779350
,BHARATGEAR,EQ,       184.50,                  5325737.00,29096
,BHARATIDIL,BZ,         5.75,                   175475.85,30927
,BHARATIWIN,EQ,        36.00,                 10802095.23,300654
,BHARATRAS,EQ,      4441.00,                  3105873.85,701
,BHARATWIRE,EQ,       114.90,                 23360750.05,202731
,BHUSANSTL,EQ,        41.95,                 94909860.65,2256080
,BIGBLOC,EQ,       164.70,                  4986478.70,30252
,BIL,EQ,       414.80,                  1872727.15,4498
,BILENERGY,EQ,         1.10,                   499166.20,464697
,BINANIIND,EQ,        96.85,                  4990669.15,51179
,BINDALAGRO,EQ,        27.50,                   387975.30,14144
,BIOCON,EQ,       605.75,               1921244242.90,3153213
,BIOFILCHEM,BE,        14.40,                    58825.25,4167
,BIRLACABLE,EQ,        64.45,                   716974.00,11109
,BIRLACORPN,EQ,       752.60,                109434598.75,144029
,BIRLAMONEY,EQ,        63.30,                  6126765.85,96154
,BKMINDST,EQ,        29.95,                  4178404.35,139602
,BLBLIMITED,EQ,         5.20,                   279545.90,51806
,BLISSGVS,EQ,       182.20,                116701262.25,641150
,BLKASHYAP,EQ,        42.20,                 16201987.45,391018
,BLS,EQ,       138.15,                 73883794.45,525740
,BLUEBLENDS,EQ,        19.00,                   414126.30,21693
,BLUEDART,EQ,      4158.25,                119452735.65,28715
,BLUEDART,N3,        10.25,                      102.50,10
,BLUESTARCO,EQ,       800.95,                 90456271.85,113161
,BODALCHEM,EQ,       121.85,                 34639529.05,282292
,BOHRA,SM,        33.55,                   393300.00,12000
,BOMDYEING,EQ,       245.60,                616922874.05,2523239
,BPL,EQ,        88.05,                 26981898.00,304969
,BRFL,EQ,        49.85,                 12133563.00,240528
,BRIGADE,EQ,       274.40,                 27364843.20,100041
,BRNL,EQ,       181.75,                  2031488.10,11246
,BROOKS,EQ,        87.35,                  9348665.45,108408
,BSE,EQ,       797.00,                164130299.75,205690
,BSELINFRA,EQ,         4.15,                   362112.10,86251
,BSL,EQ,        63.15,                   282511.45,4471
,BSLIMITED,BZ,         1.15,                   102774.95,90336
,BURNPUR,EQ,         8.95,                  3442872.00,380005
,BUTTERFLY,EQ,       521.75,                  9957737.60,19636
,BVCL,BE,        30.50,                   183550.25,6126
,BYKE,EQ,       160.35,                 21118632.45,130347
,CADSYS,SM,        98.80,                  1565600.00,16000
,CALSOFT,EQ,        40.55,                   205821.90,5075
,CAMLINFINE,EQ,       106.25,                 57286532.40,528544
,CANBK,EQ,       259.60,               4935550391.60,19632773
,CANDC,EQ,        50.85,                  4638618.45,89137
,CANFINHOME,EQ,       549.50,               1282903116.60,2336987
,CANTABIL,EQ,       125.55,                  5044424.50,39601
,CAPACITE,EQ,       330.20,                 48755369.45,147840
,CAPF,EQ,       648.40,                357670158.80,550963
,CAPLIPOINT,EQ,       600.60,                  7706232.20,12805
,CAPTRUST,EQ,       395.95,                  5009789.70,12596
,CARBORUNIV,EQ,       344.90,                116445186.80,336355
,CAREERP,EQ,       114.95,                  3320157.45,28942
,CARERATING,EQ,      1336.85,                 26346435.20,19715
,CASTEXTECH,EQ,         4.40,                 11911968.85,2864943
,CASTROLIND,EQ,       206.35,                322625185.30,1559367
,CCCL,EQ,         4.30,                   293840.50,67648
,CCHHL,EQ,        13.55,                   744788.80,54916
,CCL,EQ,       290.35,                 11126037.85,38231
,CDSL,EQ,       300.25,                215250024.15,717192
,CEATLTD,EQ,      1600.25,                708663690.55,442200
,CEBBCO,EQ,        16.95,                  2063206.25,122962
,CELEBRITY,EQ,        17.25,                   995265.10,56990
,CELESTIAL,EQ,        15.00,                   712359.90,47514
,CENTENKA,EQ,       317.05,                  8802573.10,27658
,CENTEXT,EQ,         5.80,                   580894.75,100350
,CENTRALBK,EQ,        75.70,                193521532.65,2607188
,CENTUM,EQ,       525.80,                  1639980.10,3120
,CENTURYPLY,EQ,       323.95,                 65033399.30,199948
,CENTURYTEX,EQ,      1210.05,                513640622.15,423896
,CERA,EQ,      3256.90,                 17854911.35,5532
,CEREBRAINT,EQ,        52.85,                 33688611.45,647170
,CESC,EQ,       968.75,                458220389.75,472223
,CGCL,EQ,        88.60,                  1594478.15,18129
,CGPOWER,EQ,        82.65,                 64872737.25,789082
,CHAMBLFERT,EQ,       162.95,                 57941958.25,359046
,CHENNPETRO,EQ,       361.75,                145122058.10,402014
,CHOLAFIN,EQ,      1465.40,                184478186.40,127564
,CHROMATIC,EQ,         2.00,                   192046.15,95074
,CIGNITITEC,BE,       262.40,                  6122832.45,23109
,CIMMCO,EQ,        89.50,                   477899.95,5343
,CINELINE,EQ,        77.45,                  3834128.80,49058
,CINEVISTA,EQ,         8.65,                    97268.25,11135
,CKPLEISURE,SM,        29.50,                   472000.00,16000
