,05-Mar-2018
The Nifty witnessed an intraday movement of about 104.8 points.The closing index was 0.95 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28520.51
, Traded Quantity (in Lakhs), 13612.61
, Number of Trades, 10472162
, Total Market Capitalisation (Rs. Crores), 14373679.77

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,APLAPOLLO,EQ,      2040.15,                 32858186.95,16162
,APLLTD,EQ,       548.65,                 70736664.40,128934
,APOLLO,EQ,       297.90,                 22894604.95,76580
,APOLLOHOSP,EQ,      1167.90,                199764307.50,169347
,APOLLOTYRE,EQ,       259.15,                823794357.45,3163425
,APOLSINHOT,EQ,      1476.85,                   907204.05,614
,APTECHT,EQ,       308.60,                104714270.70,335543
,ARCHIDPLY,EQ,        92.70,                  2185173.30,23657
,ARCHIES,EQ,        36.50,                  2897738.30,78495
,ARCOTECH,EQ,        41.90,                 11075647.50,262758
,ARIES,EQ,       201.60,                  8222258.30,40196
,ARIHANT,BE,        45.75,                     1466.00,33
,ARIHANTSUP,EQ,       125.80,                 19027335.00,144496
,ARMANFIN,EQ,       349.15,                 12878100.65,37198
,AROGRANITE,EQ,        64.10,                  1888855.10,29330
,ARROWGREEN,EQ,       384.80,                  3161103.95,8112
,ARROWTEX,EQ,        39.50,                   312939.15,7926
,ARSHIYA,EQ,        88.00,                  2914953.60,33005
,ARSSINFRA,BE,        46.55,                   407038.60,8785
,ARVEE,SM,        55.00,                  3114800.00,54000
,ARVIND,EQ,       402.30,                480964274.00,1186439
,ARVSMART,EQ,       180.75,                  1527232.45,8421
,ASAHIINDIA,EQ,       342.60,                 14004919.65,41155
,ASAHISONG,EQ,       351.25,                  1263462.90,3590
,ASAL,EQ,        79.70,                   433467.55,5435
,ASHAPURMIN,EQ,        76.45,                  6938998.05,90371
,ASHIANA,EQ,       171.65,                  8102946.40,47380
,ASHIMASYN,EQ,        28.00,                  5080929.45,177718
,ASHOKA,EQ,       222.55,                 34126706.25,152879
,ASIANHOTNR,BE,       273.50,                   567343.20,2076
,ASIANTILES,EQ,       487.10,                 11319226.60,23251
,ASPINWALL,EQ,       406.60,                    85365.45,209
,ASSAMCO,EQ,         4.75,                   998701.30,212025
,ASTEC,EQ,       583.00,                  5534108.25,9434
,ASTERDM,EQ,       170.20,                 60117067.55,353807
,ASTRAL,EQ,       864.05,                 59631839.85,68276
,ASTRAMICRO,EQ,        90.65,                 18707986.25,206744
,ASTRAZEN,EQ,       998.95,                  5762104.40,5690
,ASTRON,EQ,       128.00,                 25391509.00,198149
,ATFL,EQ,       650.10,                  1155054.85,1775
,ATLANTA,EQ,        89.50,                 23558073.80,259986
,ATLASCYCLE,BE,       185.10,                  1437411.05,7734
,ATUL,EQ,      2667.30,                 21818136.30,8190
,ATULAUTO,EQ,       423.40,                  4812651.35,11291
,AUBANK,EQ,       586.75,                 22261856.90,37838
,AURDIS,SM,        31.50,                    63000.00,2000
,AURIONPRO,EQ,       210.50,                  3999913.30,18902
,AUSOMENT,EQ,        72.05,                  1319643.60,18359
,AUSTRAL,BZ,          .30,                     1200.00,4000
,AUTOAXLES,EQ,      1510.70,                 25030310.30,16934
,AUTOIND,EQ,        80.25,                  2147081.95,26422
,AUTOLITIND,EQ,        71.55,                   861103.95,12138
,AVADHSUGAR,EQ,       616.90,                 27471822.35,43759
,AVANTIFEED,EQ,      2438.45,                305306438.75,125184
,AVTNPL,EQ,        40.50,                  1946645.95,47859
,AXISCADES,EQ,       160.10,                  5915372.90,36602
,AXISGOLD,EQ,      2708.60,                  1214858.30,451
,AXISNIFTY,EQ,      1044.47,                    15586.16,15
,AYMSYNTEX,EQ,        66.95,                  1459825.25,21799
,BAFNAPHARM,EQ,        26.55,                   355141.40,13258
,BAGFILMS,EQ,         5.75,                   912174.80,159139
,BAJAJCORP,EQ,       481.45,                  3416196.60,7091
,BAJAJELEC,EQ,       546.55,                248410110.90,459396
,BAJAJHIND,EQ,        12.20,                 20001474.25,1631357
,BAJAJHLDNG,EQ,      2720.60,                 49474090.35,18141
,BALAJITELE,EQ,       136.30,                  8515963.65,62314
,BALAMINES,EQ,       627.45,                 14877199.90,23659
,BALKRISHNA,EQ,        71.75,                   349471.80,4844
,BALKRISIND,EQ,      1035.30,                191471844.95,183691
,BALLARPUR,EQ,        13.15,                  7730779.40,582743
,BALMLAWRIE,EQ,       228.00,                 10236424.40,44733
,BALPHARMA,EQ,        94.25,                  1880676.05,19986
,BALRAMCHIN,EQ,       107.45,                646083765.60,5932328
,BANARBEADS,EQ,        61.60,                    51536.55,831
,BANARISUG,EQ,      1690.40,                   723288.85,427
,BANCOINDIA,EQ,       219.40,                  5777493.60,26328
,BANG,EQ,        29.45,                    84363.60,2831
,BANKA,SM,       115.00,                  1104000.00,9600
,BANKBEES,EQ,      2517.28,                 11994968.36,4777
,BANKINDIA,EQ,       110.65,                930660305.75,8339823
,BANSAL,SM,       112.25,                  1463550.00,13000
,BANSWRAS,EQ,       113.40,                   278460.15,2459
,BARTRONICS,EQ,        13.30,                   594125.15,45413
,BASF,EQ,      2080.40,                 41636334.05,20310
,BASML,EQ,       277.55,                   744073.30,2651
,BATAINDIA,EQ,       716.20,                183767778.30,255364
,BAYERCROP,EQ,      3799.95,                118750826.90,31257
,BBL,EQ,      1710.60,                 85117488.65,50081
,BBTC,EQ,      1414.20,                196967698.15,138836
,BCONCEPTS,SM,        52.00,                  2743200.00,54000
,BEARDSELL,EQ,        55.60,                    88804.50,1606
,BEDMUTHA,EQ,        22.65,                    64751.70,2861
,BEML,EQ,      1360.30,               2475958990.20,1854923
,BEPL,EQ,       173.40,                 75558643.65,435163
,BERGEPAINT,EQ,       242.65,                 91616091.50,379022
,BETA,SM,       150.00,                   480160.00,3200
,BFINVEST,EQ,       315.75,                 16101366.10,50738
,BFUTILITIE,EQ,       429.10,                 86493880.15,201274
,BGLOBAL,BE,         5.40,                   129223.30,24122
,BGRENERGY,EQ,       116.20,                  4912427.70,42297
,BHAGERIA,EQ,       300.40,                  4246324.45,14116
,BHAGYANGR,EQ,        45.90,                  3029088.25,64987
,BHAGYAPROP,EQ,        20.75,                    15449.10,743
,BHANDARI,EQ,         3.20,                   244553.65,75728
,BHARATFIN,EQ,      1028.15,                463483838.95,451820
,BHARATFORG,EQ,       763.05,               1105679228.75,1443138
,BHARATGEAR,EQ,       186.45,                  2374894.65,12673
,BHARATIDIL,BZ,         6.75,                    72764.55,10820
,BHARATIWIN,EQ,        35.88,                 14789558.29,411786
,BHARATRAS,EQ,      4404.80,                  4851553.85,1103
,BHARATWIRE,EQ,       119.65,                  3252200.50,27186
,BHUSANSTL,EQ,        46.95,                187325625.45,3958189
,BIGBLOC,EQ,       170.05,                129091765.60,722053
,BIL,EQ,       402.35,                  3492128.65,8643
,BILENERGY,EQ,         1.10,                    32976.90,29979
,BILPOWER,EQ,         1.75,                     1806.00,1032
,BINANIIND,EQ,       106.50,                  7640795.35,71507
,BINDALAGRO,EQ,        28.95,                   929280.20,31870
,BIOCON,EQ,       623.30,               1002473038.80,1603339
,BIOFILCHEM,BE,        15.35,                      460.50,30
,BIRLACABLE,EQ,        61.80,                  1846134.55,29727
,BIRLACORPN,EQ,       879.25,                 11657253.90,13081
,BIRLAMONEY,EQ,        71.60,                  3448803.40,48369
,BKMINDST,EQ,        35.35,                   106475.30,3063
,BLBLIMITED,EQ,         5.65,                    89201.85,15939
,BLISSGVS,EQ,       187.35,                 14761267.80,78420
,BLKASHYAP,EQ,        39.65,                 27647132.40,680902
,BLS,EQ,       165.15,                 59772664.60,359400
,BLUEBLENDS,EQ,        25.35,                   102524.05,4102
,BLUEDART,EQ,      4310.50,                  7414795.00,1728
,BLUEDART,N3,        10.88,                      875.40,80
,BLUESTARCO,EQ,       786.85,                119573439.55,152793
,BODALCHEM,EQ,       132.55,                 16860373.20,126338
,BOHRA,SM,        33.40,                  2679000.00,76000
,BOMDYEING,EQ,       257.05,               1099010513.35,4218364
,BPL,EQ,        88.85,                 15889071.15,177855
,BRFL,EQ,        58.10,                  3402410.25,58250
,BRIGADE,EQ,       272.80,                  4947605.90,17955
,BRNL,EQ,       179.50,                   944939.20,5280
,BROOKS,EQ,        92.80,                  3000832.80,32047
,BSE,EQ,       800.35,               1220739851.75,1526113
,BSELINFRA,EQ,         4.60,                   264906.90,57150
,BSL,EQ,        70.50,                   865132.10,12100
,BSLGOLDETF,EQ,      2838.00,                    68195.80,24
,BSLIMITED,BE,         1.25,                   179007.30,146103
,BSLNIFTY,EQ,       110.99,                    39718.52,362
,BURNPUR,EQ,        11.30,                  2294938.80,206475
,BUTTERFLY,EQ,       494.00,                  5535873.80,11107
,BVCL,BE,        30.20,                    88480.30,2936
,BYKE,EQ,       169.30,                 10875498.35,64416
,CADSYS,SM,        96.45,                   575100.00,6000
,CALSOFT,EQ,        57.65,                   883808.20,15059
,CAMLINFINE,EQ,       115.25,                109761301.30,950343
,CANBK,EQ,       280.25,               1593967979.30,5628361
,CANDC,EQ,        63.70,                  4056845.55,62919
,CANFINHOME,EQ,       545.50,               1079218680.15,1987847
,CANTABIL,EQ,       134.75,                  7944984.80,59079
,CAPACITE,EQ,       324.45,                 21751976.40,66562
,CAPF,EQ,       656.80,                457796768.35,698130
,CAPLIPOINT,EQ,       619.15,                 67851547.30,111768
,CAPTRUST,EQ,       456.45,                  3417704.00,7453
,CARBORUNIV,EQ,       337.10,                 22629213.40,66440
,CAREERP,EQ,       124.95,                  3647103.45,28896
,CARERATING,EQ,      1356.60,                 25246242.25,18675
,CASTEXTECH,EQ,         4.60,                  7475697.55,1606870
,CASTROLIND,EQ,       200.80,                556367352.35,2793744
,CCCL,EQ,         4.65,                  2714265.95,590653
,CCHHL,EQ,        14.00,                  2870919.95,205091
,CCL,EQ,       297.55,                 79781785.15,266911
,CDSL,EQ,       310.80,                 55839080.90,179487
,CEATLTD,EQ,      1572.25,                793884755.75,502585
,CEBBCO,EQ,        15.90,                   259622.05,16171
,CELEBRITY,EQ,        18.20,                   699193.40,38212
,CELESTIAL,EQ,        16.20,                   784178.95,47883
,CENTENKA,EQ,       334.45,                  3082156.35,9170
,CENTEXT,EQ,         6.20,                   620470.10,99479
,CENTRALBK,EQ,        65.00,                  9983368.55,154106
,CENTUM,EQ,       596.35,                  1276439.40,2169
,CENTURYPLY,EQ,       329.30,                 30570276.80,93399
,CENTURYTEX,EQ,      1208.40,                722673628.65,597752
,CERA,EQ,      3298.95,                 20194617.90,6089
,CEREBRAINT,EQ,        56.80,                 29659325.80,522301
,CESC,EQ,       995.20,                294700691.90,296533
