,11-Aug-2025
The Nifty witnessed an intraday movement of about 253.4 points.The closing index was 0.91 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 81193.79
, Traded Quantity (in Lakhs), 26128.35
, Number of Trades, 31323937
, Total Market Capitalisation (Rs. Crores), 44092095.02

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty New Consump,     11420.25,     11408.75,     11541.25,     11375.60,     11532.30,112.05
,Nifty Corp MAATR,     35087.35,     35141.00,     35616.90,     35062.50,     35543.60,456.25
,Nifty Low Vol 50,     24298.40,     24300.95,     24487.60,     24193.80,     24464.35,165.95
,Nifty Mobility,     20582.70,     20611.65,     20845.75,     20557.75,     20822.15,239.45
,Nifty Qlty LV 30,     16645.75,     16640.30,     16748.90,     16554.55,     16722.75,77
,Nifty Sml250 Q50,     26469.75,     26460.30,     26611.15,     26317.65,     26570.50,100.75
,Nifty Top 15 EW,      9964.70,      9968.50,     10054.25,      9959.80,     10047.85,83.15
,Nifty100 Alpha 30,     17815.60,     17817.15,     18020.05,     17785.70,     18000.20,184.6
,Nifty100 Enh ESG,      4829.65,      4830.80,      4880.00,      4822.35,      4876.45,46.8
,Nifty200 Value 30,     12652.10,     12688.05,     12793.45,     12660.15,     12780.25,128.15
,Nifty500 EW,     13829.80,     13829.90,     13924.95,     13765.35,     13909.00,79.2
,Nifty Multi MQ 50,     40116.75,     40105.35,     40395.60,     39959.95,     40304.80,188.05
,Nifty500 Value 50,     13663.65,     13698.50,     13802.65,     13672.55,     13788.05,124.4
,Nifty Top 20 EW,      8849.85,      8853.15,      8941.00,      8839.60,      8931.95,82.1
,Nifty CoreHousing,     15794.85,     15767.45,     15956.65,     15754.55,     15930.55,135.7
,Nifty FinSerExBnk,     28868.75,     28898.15,     29230.05,     28816.00,     29175.85,307.1
,Nifty Housing,     11253.60,     11247.05,     11375.25,     11243.15,     11369.75,116.15
,Nifty IPO,      2044.90,      2046.40,      2062.00,      2034.85,      2059.85,14.95
,Nifty MS Fin Serv,     17735.95,     17755.00,     17968.10,     17702.05,     17931.30,195.35
,Nifty MS Ind Cons,     19121.70,     19060.15,     19265.55,     19010.95,     19250.70,129
,Nifty MS IT Telcm,      9215.40,      9217.75,      9268.40,      9145.40,      9249.20,33.8
,Nifty NonCyc Cons,     15938.40,     15906.75,     16091.20,     15876.75,     16075.85,137.45
,Nifty Rural,     14660.80,     14668.40,     14796.35,     14660.20,     14784.80,124
,Nifty Shariah 25,      7994.20,      7988.00,      8074.70,      7959.40,      8058.60,64.4
,Nifty Trans Logis,     23106.00,     23130.45,     23425.00,     23071.55,     23388.10,282.1
,Nifty50 Shariah,      4508.80,      4505.65,      4555.70,      4498.15,      4548.95,40.15
,Nifty500 LMS Eql,     17238.05,     17236.10,     17373.95,     17180.05,     17356.65,118.6
,Nifty500 Shariah,      6865.95,      6859.85,      6914.75,      6834.25,      6906.85,40.9
,Nifty500 Qlty50,     18678.90,     18657.65,     18767.00,     18556.70,     18739.60,60.7
,Nifty500 LowVol50,     21014.65,     21027.05,     21161.55,     20932.90,     21136.35,121.7
,Nifty500 MQVLv50,     29868.85,     29874.45,     30045.05,     29708.40,     30015.45,146.6

,ADVANCES,1587
,DECLINES,1397
,UNCHANGED,75

,Total securities that have hit their price bands today,203

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,PGEL,EQ,       588.80,       506.00,-14.06,2584.19
,HBLENGINE,EQ,       599.80,       683.95,14.03,2338.68
,RELIANCE,EQ,      1367.80,      1386.20,1.35,1375.44
,ETERNAL,EQ,       300.90,       309.40,2.82,1372.32
,SBIN,EQ,       804.30,       823.45,2.38,1250.62
,ICICIBANK,EQ,      1435.90,      1436.60,0.05,1213.51
,TATAMOTORS,EQ,       633.70,       653.75,3.16,1119.39
,PAYTM,EQ,      1062.40,      1122.00,5.61,1033.81
,BHARTIARTL,EQ,      1858.60,      1857.40,-0.06,978.33
,INFY,EQ,      1423.10,      1428.20,0.36,944.52
,HDFCBANK,EQ,      1973.90,      1995.60,1.1,904.62
,DOMS,EQ,      2287.70,      2503.20,9.42,857.31
,AMBER,EQ,      7354.50,      6912.50,-6.01,788.14
,BSE,EQ,      2392.90,      2396.30,0.14,784.95
,LT,EQ,      3607.60,      3668.40,1.69,665.5
,M&M,EQ,      3144.20,      3186.20,1.34,648.8
,TRENT,EQ,      5317.00,      5443.50,2.38,603.08
,AXISBANK,EQ,      1058.10,      1073.30,1.44,580.51
,TCS,EQ,      3036.40,      3040.80,0.14,572.9
,NAUKRI,EQ,      1332.00,      1320.60,-0.86,560.9
,ADANIENT,EQ,      2178.10,      2283.40,4.83,536.48
,KALYANKJIL,EQ,       528.10,       537.50,1.78,528.38
,MAZDOCK,EQ,      2636.70,      2697.30,2.3,519.86
,VOLTAS,EQ,      1304.90,      1245.20,-4.58,493.32
,DIXON,EQ,     15864.00,     16088.00,1.41,479.86

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ADANIENT,EQ,      2283.40,      2178.10,4.83
,TATAMOTORS,EQ,       653.75,       633.70,3.16
,ETERNAL,EQ,       309.40,       300.90,2.82
,GRASIM,EQ,      2758.90,      2691.60,2.5
,APOLLOHOSP,EQ,      7259.00,      7084.50,2.46

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HEROMOTOCO,EQ,      4562.20,      4599.80,-0.82
,BEL,EQ,       383.90,       384.60,-0.18
,BHARTIARTL,EQ,      1857.40,      1858.60,-0.06

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,0MOFSL27,N3,      1085.00,                   217000.00,200
,1003ISFL28,N4,      1000.00,                   596000.00,597
,1003SCL31,ZQ,       965.00,                      965.00,1
,1015ECL29,NR,      1003.50,                    61197.00,61
,1015SCL29,ZL,       984.00,                      984.00,1
,1015UCL26,N1,       990.00,                    35890.00,36
,1015UCL27,NF,      1020.00,                   201584.50,204
,1018GS2026,GS,       110.10,                   187059.00,1700
,1025NFL25,N5,      1000.00,                    27980.00,28
