,25-Oct-2018
The Nifty witnessed an intraday movement of about 87.3 points.The closing index was 0.98 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 40813.3
, Traded Quantity (in Lakhs), 17606.38
, Number of Trades, 13353431
, Total Market Capitalisation (Rs. Crores), 13251805.08

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CENTURYTEX,EQ,       776.80,                521824386.60,676192
,CERA,EQ,      2319.35,                 12028801.15,5181
,CEREBRAINT,EQ,        30.70,                  3576831.15,115672
,CES1RPG,MF,         9.00,                    44975.00,5000
,CESC,EQ,       834.30,               2234157442.20,2649100
,CGCL,EQ,       106.40,                  1386448.45,13171
,CGPOWER,EQ,        36.00,                 82167868.85,2309048
,CHAMBLFERT,EQ,       142.90,                 13894558.90,97347
,CHEMFAB,EQ,       142.60,                  7582531.90,52423
,CHENNPETRO,EQ,       258.00,                 76840719.85,295366
,CHOLAFIN,EQ,      1180.00,                339201557.10,288159
,CHROMATIC,EQ,         1.05,                    37154.10,36586
,CIGNITITEC,EQ,       355.40,                  8645168.85,24311
,CIMMCO,EQ,        46.80,                    92277.40,1966
,CINELINE,EQ,        44.00,                  1126781.25,25309
,CINEVISTA,EQ,         5.35,                    60970.10,11386
,CKPLEISURE,SM,         7.30,                    29200.00,4000
,CLEDUCATE,EQ,       113.40,                    68148.35,616
,CLNINDIA,EQ,       391.50,                  2243361.30,5767
,CMICABLES,EQ,       117.20,                  4362745.60,36675
,CMMIPL,SM,        14.15,                   169800.00,12000
,CNOVAPETRO,EQ,        23.05,                    61225.25,2690
,COCHINSHIP,EQ,       380.45,                 28923614.60,75862
,COFFEEDAY,EQ,       266.35,                 27335225.45,103049
,COMPINFO,EQ,        21.90,                   332880.20,15104
,COMPUSOFT,EQ,        11.05,                    90406.60,8240
,CONSOFINVT,EQ,        50.60,                     8999.00,178
,CONTROLPR,EQ,       350.80,                  1397903.90,4024
,CORALFINAC,EQ,        13.65,                   277675.85,20517
,CORDSCABLE,EQ,        58.50,                   442083.80,7573
,COROMANDEL,EQ,       384.35,                 26666242.00,69655
,CORPBANK,EQ,        22.95,                  1292160.95,56741
,COSMOFILMS,EQ,       231.65,                  3479872.70,15096
,COUNCODOS,EQ,         2.35,                    35377.60,14637
,COX&KINGS,BE,       181.10,                  6711947.55,37481
,CPSEETF,EQ,        25.03,                 42167177.34,1689536
,CREATIVE,SM,        90.75,                   145200.00,1600
,CREDITACC,EQ,       249.90,                 10721044.50,42751
,CREST,EQ,       137.80,                  1071079.40,7771
,CRISIL,EQ,      1360.50,                104496957.35,77388
,CRMFGETF,EQ,      2981.00,                    50665.00,17
,CROMPTON,EQ,       199.40,                 75617077.25,380462
,CTE,EQ,        46.85,                    59324.60,1358
,CUB,EQ,       171.85,                 55644322.15,326382
,CUBEXTUB,EQ,        11.95,                    16756.10,1425
,CUMMINSIND,EQ,       674.60,                562565446.75,833126
,CUPID,EQ,       168.70,                  2052919.45,12163
,CURATECH,BE,         2.60,                        5.30,2
,CYBERMEDIA,EQ,         7.15,                      114.40,16
,CYBERTECH,EQ,        41.85,                   348292.05,8540
,CYIENT,EQ,       617.20,                 89878160.35,145221
,DAAWAT,EQ,        38.65,                 28347822.30,724265
,DALMIABHA,EQ,      2114.40,                369780185.25,177753
,DALMIASUG,EQ,        84.55,                 22906600.50,270093
,DAMODARIND,EQ,        48.95,                   301681.95,6079
,DANGEE,SM,       210.50,                  2042160.00,9600
,DATAMATICS,EQ,       109.70,                  8160226.65,74806
,DBCORP,EQ,       162.80,                 60862012.60,371436
,DBL,EQ,       381.45,                169311241.00,438046
,DBREALTY,EQ,        16.75,                  5498488.25,327192
,DBSTOCKBRO,EQ,         9.00,                       18.00,2
,DCAL,EQ,       230.35,                 20665204.20,91229
,DCBBANK,EQ,       160.30,                237104518.65,1500670
,DCM,EQ,        72.45,                   178918.60,2487
,DCMSHRIRAM,EQ,       377.25,                 39309652.60,101643
,DCW,EQ,        17.70,                  1536493.55,87258
,DECCANCE,EQ,       348.35,                    68485.65,196
,DEEPAKFERT,EQ,       202.95,                  8373605.25,41253
,DEEPAKNTR,EQ,       241.35,                 24258068.80,100779
,DEEPIND,EQ,        96.05,                  1000697.35,10392
,DELTACORP,EQ,       213.25,                203854945.80,960187
,DELTAMAGNT,BE,        69.60,                    63009.00,877
,DEN,EQ,        68.00,                 10872282.15,160595
,DENABANK,EQ,        14.65,                  6398897.85,435405
,DENORA,EQ,       252.35,                   379016.85,1503
,DEVIT,SM,        67.00,                   100500.00,1500
,DFMFOODS,EQ,      1099.85,                  1861351.20,1691
