,16-Oct-2018
The Nifty witnessed an intraday movement of about 79.6 points.The closing index was 0.69 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30742.66
, Traded Quantity (in Lakhs), 14891.88
, Number of Trades, 11532133
, Total Market Capitalisation (Rs. Crores), 13933904.39

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BALKRISIND,EQ,      1046.65,                543603061.10,515436
,BALLARPUR,EQ,         6.45,                  5174086.05,797023
,BALMLAWRIE,EQ,       192.85,                 11927405.40,61897
,BALPHARMA,EQ,        85.00,                  2566249.00,30586
,BALRAMCHIN,EQ,        98.25,                765331598.15,7703162
,BANARBEADS,EQ,        51.00,                    13136.90,263
,BANARISUG,EQ,      1749.25,                  4132145.65,2386
,BANCOINDIA,EQ,       192.00,                  4993971.95,25937
,BANG,EQ,        50.25,                   461983.65,9141
,BANKBEES,EQ,      2612.83,                326567804.97,124997
,BANKINDIA,EQ,        80.05,                451470616.30,5700198
,BANSAL,SM,        69.45,                  2504850.00,36000
,BANSWRAS,EQ,        70.15,                   276647.25,3916
,BARTRONICS,EQ,         7.10,                   239620.70,33233
,BASF,EQ,      1687.75,                  3698257.45,2192
,BASML,EQ,       208.30,                    42356.70,203
,BATAINDIA,EQ,       941.00,                572166782.20,609443
,BAYERCROP,EQ,      4292.30,                 21462251.80,4988
,BBL,EQ,      1175.10,                  5956934.40,5083
,BBTC,EQ,      1311.85,                168945241.15,128481
,BBTCL,ST,        39.80,                 20458500.00,516000
,BCG,EQ,         3.95,                  2180102.35,524840
,BCONCEPTS,SM,        36.50,                   436500.00,12000
,BDL,EQ,       287.65,                  5277389.05,18411
,BEARDSELL,EQ,        25.55,                    62270.70,2525
,BEDMUTHA,BE,        21.15,                    49913.70,2381
,BEML,EQ,       629.40,                407657738.40,648930
,BEPL,EQ,       142.30,                130450732.90,905281
,BERGEPAINT,EQ,       291.55,                226784341.75,782549
,BETA,SM,        67.00,                   975000.00,14400
,BFINVEST,EQ,       257.00,                 24573328.25,94538
,BFUTILITIE,EQ,       222.35,                 46470732.05,208925
,BGLOBAL,BE,         2.30,                   155761.95,66996
,BGRENERGY,EQ,        62.00,                 19895767.30,320781
,BHAGERIA,EQ,       316.90,                 20441894.40,64126
,BHAGYANGR,EQ,        32.00,                   108308.60,3390
,BHAGYAPROP,EQ,        23.75,                   101398.05,4316
,BHANDARI,EQ,         1.85,                   392648.70,212229
,BHARATFIN,EQ,      1005.15,                990302590.05,966489
,BHARATFORG,EQ,       578.25,               1154939428.95,1993125
,BHARATGEAR,EQ,       188.05,                 83951613.15,449989
,BHARATIDIL,BZ,         3.20,                   146678.35,45418
,BHARATRAS,EQ,      6368.25,                 12078072.95,1927
,BHARATWIRE,EQ,        83.65,                  2333384.25,27951
,BHUSANSTL,EQ,        29.45,                 21325768.85,720499
,BIGBLOC,EQ,        51.35,                   998237.55,20246
,BIL,EQ,       259.40,                   719959.30,2766
,BILENERGY,BE,          .50,                    24236.30,47765
,BILPOWER,BZ,          .55,                     5162.65,9908
,BINANIIND,EQ,        81.25,                  2857403.55,34906
,BINDALAGRO,EQ,        18.45,                   225932.45,12153
,BIOFILCHEM,BE,         7.45,                     1102.60,148
,BIRLACABLE,EQ,       148.45,                 10442440.35,68351
,BIRLACORPN,EQ,       585.65,                 78985585.35,138139
,BIRLAMONEY,EQ,        52.60,                  3724541.75,70721
,BKMINDST,EQ,        11.60,                    41430.80,3610
,BLBLIMITED,EQ,         5.10,                    20222.15,4068
,BLISSGVS,EQ,       168.05,                  8983730.10,53100
,BLKASHYAP,EQ,        25.95,                  8373406.20,317876
,BLS,EQ,       139.75,                  9971862.40,70444
,BLUEBLENDS,EQ,         3.70,                   164361.90,43567
,BLUECHIP,BE,          .15,                      309.35,2089
,BLUEDART,EQ,      2831.10,                  9801828.80,3473
,BLUEDART,N2,        10.02,                    58001.20,5552
,BLUESTARCO,EQ,       576.55,                 12902095.00,22541
,BODALCHEM,EQ,       127.00,                 32447212.65,251566
,BOHRA,SM,        18.35,                    36700.00,2000
,BOMDYEING,BE,       117.75,                301752060.85,2713981
,BOROSIL,EQ,       288.25,                 77440283.85,275385
,BPL,EQ,        43.00,                 13723188.05,317468
,BRFL,BE,        17.95,                   690948.65,38794
,BRIGADE,EQ,       194.60,                  6925990.75,35474
,BRIGHT,SM,        33.35,                   100050.00,3000
,BRNL,EQ,       131.40,                   361410.20,2749
,BROOKS,EQ,        56.70,                  1372685.30,24144
,BSE,EQ,       640.35,                 59427607.20,92433
,BSELINFRA,EQ,         2.70,                   167530.20,63200
,BSHSL,SM,       138.00,                   413000.00,3000
,BSL,EQ,        50.50,                   467579.95,9256
,BSLGOLDETF,EQ,      2941.35,                   356409.65,120
,BSLNIFTY,EQ,       114.70,                   117222.91,1022
,BURNPUR,EQ,         3.85,                  1707676.95,446964
,BUTTERFLY,EQ,       254.45,                  1457757.75,5766
,BVCL,BE,        16.35,                   121123.50,7730
,BYKE,EQ,        83.10,                  5021079.65,60051
,CADSYS,SM,        57.40,                   114800.00,2000
,CALSOFT,EQ,        37.25,                   202561.75,5410
,CAMLINFINE,EQ,        51.05,                 15415657.45,301882
,CANBK,EQ,       236.60,               1130509872.20,4809511
,CANDC,EQ,        30.15,                  2724618.00,91403
,CANFINHOME,EQ,       241.70,                370652107.30,1519162
,CANTABIL,EQ,       140.40,                  4417837.15,31883
,CAPACITE,EQ,       203.15,                 17526299.55,85634
,CAPF,EQ,       490.25,                274348108.85,557656
,CAPLIPOINT,EQ,       435.50,                 12905758.80,29854
,CAPTRUST,EQ,       243.15,                   849709.75,3496
,CARBORUNIV,EQ,       365.85,                  8561131.20,23366
,CAREERP,EQ,        75.05,                   994313.70,13086
,CARERATING,EQ,      1107.00,                 25198389.40,22833
,CASTEXTECH,EQ,         1.25,                  1099450.35,870507
,CASTROLIND,EQ,       142.30,                129535440.95,907055
,CCCL,EQ,         1.95,                   306434.50,157476
,CCHHL,EQ,         7.95,                   266345.30,33462
,CCL,EQ,       243.60,                 24711682.50,100640
,CDSL,EQ,       242.65,                 45700948.00,189510
,CEATLTD,EQ,      1138.70,                462311289.10,407515
,CEBBCO,EQ,        14.00,                   229633.25,16428
,CELEBRITY,EQ,         9.15,                   183231.35,20125
,CELESTIAL,EQ,         9.45,                   469779.10,49802
,CENTENKA,EQ,       261.10,                  7549878.15,28663
,CENTEXT,EQ,         6.75,                  1185418.65,175095
,CENTRALBK,EQ,        31.35,                 15419648.75,493446
,CENTRUM,EQ,        44.40,                 11138789.70,253672
,CENTUM,EQ,       375.60,                   262435.85,699
,CENTURYPLY,EQ,       206.05,                363612140.65,1809002
,CENTURYTEX,EQ,       828.15,                524252175.95,632478
,CERA,EQ,      2420.40,                 50335378.40,20746
,CEREBRAINT,EQ,        34.10,                  3618183.65,104721
,CES1RPG,MF,         9.05,                  1464777.70,161590
,CESC,EQ,       930.80,                963453369.85,1045952
,CGCL,EQ,       115.05,                 28196879.40,245178
,CGPOWER,EQ,        40.90,                110531807.05,2689814
,CHAMBLFERT,EQ,       146.30,                 34006902.55,230548
,CHEMFAB,EQ,       168.55,                   838299.10,4967
,CHENNPETRO,EQ,       266.00,                 97993670.90,373270
,CHOLAFIN,EQ,      1208.85,                304866071.30,254489
,CHROMATIC,EQ,         1.10,                    97131.30,89541
,CIGNITITEC,EQ,       386.05,                 18450138.85,48013
,CIMMCO,EQ,        56.20,                   569349.90,10111
,CINELINE,EQ,        45.90,                   643087.25,14062
,CINEVISTA,EQ,         6.00,                    80813.75,13678
,CLEDUCATE,EQ,       116.90,                   253759.20,2178
,CLNINDIA,EQ,       394.85,                  5848133.50,14681
,CMICABLES,EQ,       140.05,                 11409400.80,80114
,CMMIPL,SM,        18.15,                   381900.00,21000
,CNOVAPETRO,EQ,        24.40,                    21547.50,900
,COCHINSHIP,EQ,       399.75,                 70613005.40,176398
,COFFEEDAY,EQ,       271.05,                121316697.35,457627
,COMPINFO,EQ,        24.85,                   912340.80,36070
,COMPUSOFT,EQ,        11.60,                   287552.55,24866
,CONSOFINVT,EQ,        53.45,                     5597.00,100
,CONTROLPR,EQ,       356.10,                  1950722.45,5477
,CORALFINAC,EQ,        15.80,                   594738.15,36673
,CORDSCABLE,EQ,        66.40,                   827551.00,12268
