,11-Oct-2018
The Nifty witnessed an intraday movement of about 197.35 points.The closing index was 2.16 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 38661.67
, Traded Quantity (in Lakhs), 16767.77
, Number of Trades, 16170898
, Total Market Capitalisation (Rs. Crores), 13410935.11

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AROGRANITE,EQ,        52.30,                   464117.10,9140
,ARROWGREEN,EQ,       108.65,                  1684411.95,15298
,ARROWTEX,EQ,        24.95,                   144027.05,5802
,ARSHIYA,EQ,        30.60,                  6168294.30,202324
,ARSSINFRA,EQ,        22.70,                    43143.35,1916
,ARVIND,EQ,       321.50,                858351545.60,2676732
,ARVSMART,EQ,       110.65,                  1558825.40,14047
,ASAHIINDIA,EQ,       299.90,                 19364313.45,66803
,ASAHISONG,EQ,       240.70,                  1310987.10,5281
,ASAL,EQ,        39.95,                   275371.50,6963
,ASHAPURMIN,EQ,        28.60,                  1589522.15,56868
,ASHIANA,EQ,       122.05,                  2911721.95,24189
,ASHIMASYN,EQ,        13.00,                  3315778.30,254793
,ASHOKA,EQ,       108.95,                 25457998.30,239331
,ASIANHOTNR,EQ,       171.10,                    69908.55,402
,ASIANTILES,EQ,       165.25,                  6804490.45,41136
,ASPINWALL,EQ,       175.20,                   339585.20,1894
,ASTEC,EQ,       538.50,                  7047285.55,13199
,ASTERDM,EQ,       159.70,                  9272703.55,58250
,ASTRAL,EQ,       867.65,                211195728.45,242763
,ASTRAMICRO,EQ,        78.05,                 24584835.85,311375
,ASTRAZEN,EQ,      1618.90,                 18483705.55,11378
,ASTRON,EQ,       114.35,                  8019737.35,69779
,ATFL,EQ,       488.60,                  5003788.85,10203
,ATLANTA,EQ,        20.30,                  2086657.55,105143
,ATLASCYCLE,BZ,        80.00,                    93448.60,1185
,ATUL,EQ,      3102.00,                 68963472.40,22283
,ATULAUTO,EQ,       295.65,                  2669062.55,9222
