,23-Oct-2018
The Nifty witnessed an intraday movement of about 119.75 points.The closing index was 0.96 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32275.65
, Traded Quantity (in Lakhs), 12780.24
, Number of Trades, 12650097
, Total Market Capitalisation (Rs. Crores), 13262682.33

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,DCMFINSERV,EQ,         1.80,                      225.00,125
,DCMSHRIRAM,EQ,       395.60,                 56117465.35,138860
,DCW,EQ,        17.30,                  2464647.55,141735
,DECCANCE,EQ,       352.55,                   444660.10,1261
,DEEPAKFERT,EQ,       203.30,                 15799916.95,77103
,DEEPAKNTR,EQ,       237.90,                 90691758.65,391999
,DEEPIND,EQ,        95.90,                  9056372.60,93713
,DELTACORP,EQ,       209.15,                293281852.95,1369396
,DELTAMAGNT,BE,        74.45,                   659853.80,9593
,DEN,EQ,        68.65,                177759533.80,2645899
,DENABANK,EQ,        14.90,                 21847779.05,1456377
,DENORA,EQ,       262.10,                   249543.80,958
,DEVIT,SM,        72.00,                   324000.00,4500
,DFMFOODS,EQ,      1097.80,                   340283.95,309
