,30-Oct-2018
The Nifty witnessed an intraday movement of about 109.75 points.The closing index was 0.51 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32393.66
, Traded Quantity (in Lakhs), 16367.36
, Number of Trades, 13096326
, Total Market Capitalisation (Rs. Crores), 13493084.41

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ASTERDM,EQ,       156.95,                  7693373.10,48448
,ASTRAL,EQ,       909.20,                105218036.80,119956
,ASTRAMICRO,EQ,        78.20,                 48756316.20,622507
,ASTRAZEN,EQ,      1684.40,                 37568223.55,22286
,ASTRON,EQ,       112.60,                  5821081.30,51422
,ATFL,EQ,       504.05,                  7406520.15,14440
,ATLANTA,EQ,        27.85,                  1072432.95,38598
,ATLASCYCLE,BZ,        87.95,                   131354.80,1488
,ATNINTER,BE,          .30,                    24680.25,82351
,ATUL,EQ,      3260.20,                 34794236.50,10664
,ATULAUTO,EQ,       331.10,                  2159429.85,6508
,AUBANK,EQ,       546.10,                221359823.60,409842
,AURIONPRO,EQ,       151.80,                  1455544.40,9542
,AUSOMENT,EQ,        49.05,                   557947.25,11227
,AUTOAXLES,EQ,      1109.75,                 21383489.45,19540
,AUTOIND,EQ,        57.75,                   610616.30,10508
,AUTOLITIND,EQ,        41.75,                   283639.75,6875
,AVADHSUGAR,EQ,       494.25,                 35439446.80,70046
,AVANTIFEED,EQ,       397.45,                156332412.55,390803
,AVTNPL,EQ,        26.85,                   419312.75,15606
,AXISCADES,EQ,        72.75,                  7337310.00,103358
,AXISGOLD,EQ,      2823.00,                   177405.65,63
,AXISNIFTY,EQ,      1042.55,                    90805.37,87
,AYMSYNTEX,EQ,        41.00,                   801116.10,19455
,BAFNAPHARM,EQ,        14.25,                    44897.35,3146
,BAGFILMS,EQ,         4.55,                   228660.45,50085
,BAJAJCORP,EQ,       354.00,                 24678795.15,69615
,BAJAJELEC,EQ,       472.50,                 59983427.30,127139
,BAJAJHIND,EQ,        10.45,                 36937153.45,3470595
,BAJAJHLDNG,EQ,      2734.40,                 16761684.10,6168
,BALAJITELE,EQ,        96.40,                  2557895.90,26353
,BALAMINES,EQ,       452.60,                  5535602.55,12161
,BALKRISHNA,EQ,        52.75,                  1637927.65,31488
,BALKRISIND,EQ,      1069.25,               1003131846.30,920161
,BALLARPUR,EQ,         6.20,                  3607669.10,564244
,BALMLAWRIE,EQ,       196.30,                 14091956.40,72658
,BALPHARMA,EQ,        81.05,                  1126592.35,13819
,BALRAMCHIN,EQ,       109.95,                724844251.40,6553926
,BANARBEADS,EQ,        49.15,                    22225.50,452
,BANARISUG,EQ,      1764.10,                   654051.75,367
,BANCOINDIA,EQ,       172.60,                 19301317.15,109476
,BANG,EQ,        47.90,                   665594.25,13805
,BANKBEES,EQ,      2525.33,                  2904249.50,1146
,BANKINDIA,EQ,        84.35,               1170112954.65,13718542
,BANSAL,SM,        59.40,                   831750.00,14000
,BANSWRAS,EQ,        67.80,                    58929.10,863
,BARTRONICS,EQ,         7.05,                   127156.65,17828
,BASF,EQ,      1656.00,                 85965168.95,51782
,BASML,EQ,       197.00,                   333458.90,1660
,BATAINDIA,EQ,       939.55,                862476918.40,917806
,BAYERCROP,EQ,      3899.15,                 40775903.95,10479
,BBL,EQ,      1152.60,                  5532157.10,4820
,BBTC,EQ,      1204.05,                175280201.60,145393
,BCG,EQ,         3.80,                  1172600.75,317224
,BDL,EQ,       281.45,                  2950343.60,10515
,BEARDSELL,EQ,        24.90,                   103143.25,4232
,BEDMUTHA,BE,        19.20,                   101521.80,5247
,BEML,EQ,       585.65,                640014856.65,1101102
,BEPL,EQ,        91.85,                 29573377.35,320237
,BERGEPAINT,EQ,       285.00,                109434302.60,383406
,BETA,SM,        65.85,                   681320.00,10400
,BFINVEST,EQ,       226.75,                 22617338.05,98214
,BFUTILITIE,EQ,       200.30,                 49228801.75,241889
,BGLOBAL,BE,         2.40,                    29417.90,11853
,BGRENERGY,EQ,        55.80,                  4725710.35,84750
,BHAGERIA,EQ,       301.70,                 11526678.80,37722
,BHAGYANGR,EQ,        31.15,                   269970.40,8700
,BHAGYAPROP,EQ,        24.50,                    69018.05,2910
,BHANDARI,EQ,         2.00,                   268455.55,138934
,BHARATFIN,EQ,       839.90,                640837571.35,757033
,BHARATFORG,EQ,       569.50,                541638088.50,952329
,BHARATGEAR,EQ,       180.35,                 23443142.95,130628
,BHARATIDIL,BZ,         2.65,                    11657.15,4411
,BHARATRAS,EQ,      5328.55,                 14457127.35,2618
,BHARATWIRE,EQ,        77.00,                   226059.20,2971
,BHUSANSTL,EQ,        29.40,                 34330746.90,1162283
,BIGBLOC,EQ,        44.80,                  1583327.65,34829
,BIL,EQ,       265.75,                   758795.45,2883
,BILENERGY,EQ,          .50,                    31782.80,61327
,BILPOWER,BZ,          .55,                     8367.90,13965
,BINANIIND,EQ,        82.20,                  3823950.15,47028
,BINDALAGRO,EQ,        16.75,                   129120.80,7691
,BIOFILCHEM,BE,         7.60,                     7666.60,1009
,BIRLACABLE,EQ,       157.00,                 50423549.80,322507
,BIRLACORPN,EQ,       570.65,                 12214396.30,21121
,BIRLAMONEY,EQ,        45.70,                  2019320.65,43645
,BKMINDST,EQ,         9.75,                     8917.60,912
,BLBLIMITED,EQ,         5.55,                    47354.00,8690
,BLISSGVS,EQ,       166.55,                 14081848.85,84931
,BLKASHYAP,EQ,        24.15,                  2790930.60,117421
,BLS,EQ,       131.70,                  3525590.65,26713
,BLUEBLENDS,EQ,         3.30,                   218091.50,65643
,BLUECHIP,BE,          .60,                    26837.40,44729
,BLUEDART,EQ,      2799.80,                 14253803.30,5087
,BLUESTARCO,EQ,       557.65,                 10702064.45,19331
,BODALCHEM,EQ,       116.40,                 11489958.05,98514
,BOHRA,SM,        24.50,                   676800.00,28000
,BOMDYEING,EQ,        95.05,                  5591031.10,58822
,BOROSIL,EQ,       269.00,                 27313823.10,100798
,BPL,EQ,        40.55,                  8170034.75,198595
,BRFL,EQ,        12.80,                  4158187.50,322878
,BRIGADE,EQ,       160.00,                 23990165.60,149374
,BRIGHT,SM,        37.80,                   113400.00,3000
,BRNL,EQ,       110.65,                  2028366.10,18264
,BROOKS,EQ,        55.60,                  1408830.05,25347
,BSE,EQ,       600.50,                 63770616.00,105462
,BSELINFRA,EQ,         2.50,                    70652.25,27850
,BSHSL,SM,       133.00,                   133000.00,1000
,BSL,EQ,        45.45,                   151635.40,3312
,BSLGOLDETF,EQ,      2940.05,                    91228.20,31
,BSLNIFTY,EQ,       110.05,                     9396.50,83
,BURNPUR,EQ,         3.85,                   353197.40,92663
,BUTTERFLY,EQ,       266.85,                  6114222.85,23553
,BVCL,BE,        16.25,                     3273.50,211
,BYKE,EQ,        73.65,                  4016101.30,54642
,CALSOFT,EQ,        34.40,                    79491.00,2313
,CAMLINFINE,EQ,        46.35,                 10023424.95,218063
,CANBK,EQ,       256.25,               5435716380.20,21600916
,CANDC,EQ,        27.20,                  1614811.75,57238
