,07-Jun-2018
The Nifty witnessed an intraday movement of about 95.4 points.The closing index was 0.78 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29490.98
, Traded Quantity (in Lakhs), 15294.33
, Number of Trades, 10883812
, Total Market Capitalisation (Rs. Crores), 14609208.49

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ASAL,EQ,        68.00,                   570127.00,8269
,ASHAPURMIN,EQ,        53.65,                  9936333.05,188368
,ASHIANA,EQ,       144.50,                354099162.90,2408601
,ASHIMASYN,EQ,        23.15,                  1938145.35,81892
,ASHOKA,EQ,       237.05,                 34358906.30,144820
,ASIANHOTNR,EQ,       260.05,                   382214.10,1466
,ASIANTILES,EQ,       363.80,                 44828044.00,122793
,ASLIND,SM,        23.00,                   286200.00,12000
,ASPINWALL,EQ,       290.00,                  2355859.45,8299
,ASSAMCO,EQ,         3.70,                  2526125.80,683799
,ASTEC,EQ,       702.35,                 10629658.75,15215
,ASTERDM,EQ,       180.30,                 69137491.40,384226
,ASTRAL,EQ,      1007.30,                 47030734.95,45767
,ASTRAMICRO,EQ,        98.65,                 51463554.25,516065
,ASTRAZEN,EQ,      1174.35,                 14662180.40,12529
,ASTRON,EQ,       110.45,                 14515621.90,131466
,ATFL,EQ,       683.65,                  5897122.30,8750
,ATLANTA,EQ,        51.45,                 28760448.80,556135
,ATLASCYCLE,BE,       133.05,                   226301.60,1698
,ATUL,EQ,      2751.70,                 46269253.40,16796
,ATULAUTO,EQ,       413.60,                 11947338.90,28753
,AUBANK,EQ,       704.70,                329031887.80,466616
,AURIONPRO,EQ,       192.80,                  3825255.65,19827
,AUSOMENT,EQ,        78.70,                  2541950.95,33007
,AUTOAXLES,EQ,      1268.25,                147607857.30,121414
,AUTOIND,EQ,        71.05,                  2008314.45,28808
,AUTOLITIND,EQ,        54.25,                  1501212.75,27747
,AVADHSUGAR,EQ,       342.85,                 12858105.25,36802
,AVANTIFEED,EQ,      1821.55,               5014902277.60,2751828
,AVG,SM,       105.00,                   517080.00,4800
,AVTNPL,EQ,        34.55,                  2677015.60,78732
,AXISCADES,EQ,       126.65,                 18875959.80,147279
,AXISGOLD,EQ,      2704.10,                   188789.80,70
,AXISNIFTY,EQ,      1082.31,                   328190.61,303
,AYMSYNTEX,EQ,        54.05,                  1653802.50,30249
,BAFNAPHARM,EQ,        23.70,                   458167.00,19642
,BAGFILMS,EQ,         4.85,                  1262265.40,256362
,BAJAJCORP,EQ,       436.90,                 11152887.00,25405
,BAJAJELEC,EQ,       536.35,                416150764.90,768296
,BAJAJHIND,EQ,         7.20,                 14228195.20,1980504
,BAJAJHLDNG,EQ,      2772.05,                 19997436.35,7173
,BALAJITELE,EQ,       125.15,                 16871981.55,135518
,BALAMINES,EQ,       598.00,                 16338023.50,27468
,BALKRISHNA,EQ,        70.15,                   161128.45,2278
,BALKRISIND,EQ,      1105.75,                360025860.75,325230
,BALLARPUR,EQ,        10.05,                  6402742.15,632571
,BALMLAWRIE,EQ,       219.35,                  9921587.15,45168
,BALPHARMA,EQ,        74.10,                   797450.75,10738
,BALRAMCHIN,EQ,        68.45,                779383711.70,11502417
,BANARBEADS,EQ,        53.50,                    45660.05,863
,BANARISUG,EQ,      1519.50,                   696100.70,463
,BANCOINDIA,EQ,       222.15,                  5642297.65,25443
,BANDHANBNK,EQ,       498.05,                381674498.35,767664
,BANG,EQ,        39.20,                   968657.20,24812
,BANKBEES,EQ,      2703.55,                  4961550.28,1831
,BANKINDIA,EQ,        98.55,                902434673.60,9231782
,BANSAL,SM,       107.90,                  3229050.00,30000
,BANSWRAS,EQ,        87.95,                   172091.55,1930
,BARTRONICS,BE,        10.65,                   511295.90,49255
,BASF,EQ,      2003.25,                141531597.25,71167
,BASML,EQ,       210.00,                   280666.30,1300
,BATAINDIA,EQ,       763.75,                357682725.15,467807
,BAYERCROP,EQ,      4699.15,                 20902708.20,4450
,BBL,EQ,      1312.20,                 13238184.55,10196
,BBTC,EQ,      1497.25,                261467705.35,174419
,BCONCEPTS,SM,        37.25,                   223500.00,6000
,BDL,EQ,       400.85,                 37342438.90,93341
,BEARDSELL,EQ,        38.50,                    66556.65,1851
,BEDMUTHA,BE,        18.50,                   552809.50,29892
,BEML,EQ,       873.30,                890971578.30,1020704
,BEPL,EQ,       132.45,                 37702240.55,288054
,BERGEPAINT,EQ,       292.15,                285865714.05,983909
,BETA,SM,       116.00,                   553600.00,4800
,BFINVEST,EQ,       263.95,                154749978.25,593150
,BFUTILITIE,EQ,       353.95,                232675294.25,663884
,BGLOBAL,BE,         3.80,                   197484.20,53506
,BGRENERGY,EQ,        91.45,                 26967494.95,291224
,BHAGERIA,EQ,       305.30,                  6483760.65,21405
,BHAGYANGR,EQ,        41.65,                  1653936.75,39772
,BHAGYAPROP,BE,        21.50,                   141625.25,6549
,BHANDARI,EQ,         2.50,                   696681.30,287046
,BHARATFIN,EQ,      1161.55,                304411380.35,259815
,BHARATFORG,EQ,       655.10,                417279508.20,635623
,BHARATGEAR,EQ,       172.90,                  5366106.85,31188
,BHARATIDIL,BZ,         3.90,                    11402.40,2961
,BHARATRAS,EQ,      5759.10,                 20287734.65,3498
,BHARATWIRE,EQ,       104.85,                  7363400.20,70959
,BHUSANSTL,EQ,        36.50,                  7898381.00,216394
,BIGBLOC,EQ,       115.45,                  5650604.65,49622
,BIL,EQ,       373.30,                  1262005.05,3429
,BILENERGY,BE,          .50,                    92218.70,192154
,BILPOWER,BE,         1.30,                     1171.30,901
,BINANIIND,EQ,        83.50,                  2836395.95,33981
,BINDALAGRO,EQ,        23.70,                  1535535.05,63789
,BIOCON,EQ,       606.00,               1425850098.00,2352438
,BIOFILCHEM,BE,        12.65,                    14689.65,1164
,BIRLACABLE,BE,        82.45,                  2817980.65,35003
,BIRLACORPN,EQ,       688.30,                 45272311.60,65890
,BIRLAMONEY,BE,        59.60,                  1717432.60,29290
,BKMINDST,EQ,        20.75,                  2222220.60,108402
,BLBLIMITED,BE,         7.50,                    82876.50,10935
,BLISSGVS,EQ,       168.15,                 26429111.75,156398
,BLKASHYAP,EQ,        41.60,                  5838876.10,139061
,BLS,EQ,       185.50,                 24787829.60,136538
,BLUEBLENDS,EQ,        10.20,                   101795.25,10284
,BLUEDART,EQ,      3485.15,                 19445133.60,5578
,BLUEDART,N2,        10.29,                     9055.20,880
,BLUEDART,N3,        10.22,                      153.30,15
,BLUESTARCO,EQ,       671.75,                 16062983.35,23923
,BODALCHEM,EQ,       144.15,                 59111718.00,409318
,BOMDYEING,EQ,       226.25,                372249996.15,1661968
,BOROSIL,EQ,       814.20,                  4975247.45,6142
,BPL,EQ,        54.15,                 12499448.80,232146
,BRFL,BE,        20.85,                   864771.80,41679
,BRIGADE,EQ,       248.60,                  8395042.40,34574
,BRNL,EQ,       171.85,                  4293709.95,25071
,BROOKS,EQ,        86.05,                  4592123.70,52821
,BSE,EQ,       829.15,                109373895.15,131739
,BSELINFRA,EQ,         3.35,                   169495.40,51047
,BSHSL,SM,       111.80,                   893200.00,8000
,BSL,EQ,        53.85,                   286816.45,5379
,BSLGOLDETF,EQ,      2840.00,                   115471.00,40
,BSLNIFTY,EQ,       111.65,                     3093.50,28
,BURNPUR,BE,         5.15,                   404306.00,79564
,BUTTERFLY,EQ,       364.40,                 10006586.85,27966
,BVCL,BE,        22.00,                    60343.60,2864
,BYKE,EQ,       170.15,                  4737995.00,27865
,CADSYS,SM,        62.65,                   125300.00,2000
,CALSOFT,BE,        32.50,                   460779.95,14827
,CAMLINFINE,EQ,        83.80,                 21873145.35,260891
,CANBK,EQ,       272.30,               3616780167.80,13619646
,CANDC,EQ,        34.50,                   452467.50,13115
,CANFINHOME,EQ,       369.50,                507306489.35,1362929
,CANTABIL,BE,       118.70,                   551890.65,4688
,CAPACITE,EQ,       295.25,                 34124144.15,114525
,CAPF,EQ,       573.05,                534867895.15,934429
,CAPLIPOINT,EQ,       436.40,                 51837209.95,119944
,CAPTRUST,EQ,       400.20,                 10587794.40,26755
,CARBORUNIV,EQ,       332.10,                  8987480.30,27004
,CAREERP,EQ,        99.75,                  2101670.30,21043
,CARERATING,EQ,      1350.40,                 59046537.20,43928
,CASTEXTECH,BE,         2.50,                   193152.50,77261
,CASTROLIND,EQ,       182.85,                484505829.95,2683114
,CCCL,EQ,         3.95,                  1386186.25,356103
,CCHHL,EQ,         8.90,                   516492.95,58615
,CCL,EQ,       285.00,                  9888568.45,34571
,CDSL,EQ,       283.90,                114173592.15,401730
,CEATLTD,EQ,      1368.20,                616559668.80,450688
,CEBBCO,EQ,        14.15,                  1602769.10,113912
,CELEBRITY,EQ,        14.80,                   623531.50,42386
