,25-Jun-2018
The Nifty witnessed an intraday movement of about 78 points.The closing index was 0.55 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 24461.16
, Traded Quantity (in Lakhs), 10723.52
, Number of Trades, 9139298
, Total Market Capitalisation (Rs. Crores), 14464042.91

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BALAMINES,EQ,       583.70,                  4261772.40,7231
,BALKRISHNA,EQ,        69.40,                   369934.80,5248
,BALKRISIND,EQ,      1093.25,                281726151.30,258536
,BALLARPUR,EQ,        10.80,                  2302518.90,212624
,BALMLAWRIE,EQ,       212.45,                 13698928.00,64138
,BALPHARMA,EQ,        79.15,                  1393932.75,17253
,BALRAMCHIN,EQ,        65.45,                181521143.35,2751770
,BANARBEADS,EQ,        46.65,                    68231.60,1459
,BANARISUG,EQ,      1442.60,                  2400147.50,1696
,BANCOINDIA,EQ,       214.50,                  3090614.15,14410
,BANDHANBNK,EQ,       534.50,                165806994.95,308692
,BANG,EQ,        47.60,                  2928205.25,61807
,BANKBEES,EQ,      2711.29,                 26651711.01,10095
,BANKINDIA,EQ,        92.10,                399262543.30,4280210
,BANSAL,SM,       134.40,                  4789850.00,36000
,BANSWRAS,EQ,        88.00,                  1830051.50,20713
,BARTRONICS,BE,        10.20,                   180730.40,17664
,BASF,EQ,      1938.65,                305963426.95,157202
,BASML,EQ,       207.90,                    11018.00,53
,BATAINDIA,EQ,       824.20,                349858043.30,423075
,BAYERCROP,EQ,      4640.50,                 16213360.70,3485
,BBL,EQ,      1264.10,                  3064443.80,2407
,BBTC,EQ,      1485.65,                264867675.15,176106
,BDL,EQ,       382.70,                  7542982.80,19737
,BEARDSELL,EQ,        38.05,                    49154.35,1280
,BEDMUTHA,BE,        19.60,                    70552.60,3556
,BEML,EQ,       870.90,               1045673584.35,1197487
,BEPL,EQ,       152.10,                 56205083.85,362605
,BERGEPAINT,EQ,       280.55,                158786073.45,565181
,BETA,SM,        99.00,                   158400.00,1600
,BFINVEST,EQ,       251.50,                 29399578.95,115091
,BFUTILITIE,EQ,       332.20,                 69279682.50,206943
,BGLOBAL,BE,         3.50,                    12068.70,3457
,BGRENERGY,EQ,        99.40,                 24667897.45,246699
,BHAGERIA,EQ,       290.55,                  1290983.10,4364
,BHAGYANGR,EQ,        39.05,                   597529.95,15211
,BHAGYAPROP,BE,        20.70,                    41302.40,1993
,BHANDARI,EQ,         2.45,                   509878.95,202447
,BHARATFIN,EQ,      1183.70,                685256742.05,579591
,BHARATFORG,EQ,       605.40,                340222019.85,558894
,BHARATGEAR,EQ,       161.00,                  1952116.45,12008
,BHARATIDIL,BZ,         3.80,                    45877.20,12206
,BHARATRAS,EQ,      6071.15,                  3053208.60,498
,BHARATWIRE,EQ,       101.40,                  1846346.00,18239
,BHUSANSTL,EQ,        34.60,                105555926.15,3019724
,BIGBLOC,EQ,       132.20,                  6000028.60,44271
,BIL,EQ,       393.10,                   994992.40,2538
,BILENERGY,BE,          .50,                    80805.00,159912
,BILPOWER,BE,         1.30,                      325.00,250
,BINANIIND,EQ,        87.30,                  1480218.60,16895
,BINDALAGRO,EQ,        22.25,                  2615593.50,115995
,BIOCON,EQ,       634.50,               2604605073.20,4081851
,BIOFILCHEM,BE,        13.20,                      132.00,10
,BIRLACABLE,BE,        85.10,                   850974.25,9975
,BIRLACORPN,EQ,       702.05,                 30004493.80,42513
,BIRLAMONEY,BE,        57.30,                  1925179.85,33783
,BKMINDST,EQ,        23.60,                    40163.00,1655
,BLBLIMITED,BE,         7.90,                    11334.65,1471
,BLISSGVS,EQ,       178.55,                  7024458.70,38797
,BLKASHYAP,EQ,        38.45,                  5519533.45,141005
,BLS,EQ,       150.75,                  7740272.80,50597
,BLUEBLENDS,EQ,         9.50,                   119080.00,12490
,BLUEDART,EQ,      3598.70,                 50571320.00,14101
,BLUEDART,N2,         9.93,                     1906.56,192
,BLUEDART,N3,        10.22,                     1337.77,131
,BLUESTARCO,EQ,       639.60,                 18044349.20,28092
,BODALCHEM,EQ,       132.45,                 23260260.55,174275
