,14-Jun-2018
The Nifty witnessed an intraday movement of about 60.15 points.The closing index was 0.45 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 26350.92
, Traded Quantity (in Lakhs), 12004.58
, Number of Trades, 9516649
, Total Market Capitalisation (Rs. Crores), 14745723.83

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,DHFL,NQ,       997.95,                   149108.25,150
,DHFL,NO,      1050.00,                    15750.00,15
,DHFL,N6,      1029.90,                   123386.70,120
,DHFL,NC,      1083.71,                   229499.00,212
,DHFL,NY,       990.00,                    99003.20,100
,DHFL,NH,      1195.00,                    23931.00,20
,DHFL,NS,       995.50,                   816270.00,820
,DHFL,NE,      1171.00,                   234200.00,200
,DHFL,Y1,      1002.80,                   401070.00,400
,DHFL,NP,      1069.00,                   138642.85,130
,DHFL,NX,       989.95,                   366334.75,370
,DHUNINV,EQ,       337.25,                    41342.50,122
,DIAMONDYD,EQ,      1187.40,                  3201808.75,2703
,DIAPOWER,BE,         3.00,                   105253.55,35293
,DICIND,EQ,       405.20,                   122598.80,301
