,11-Jun-2018
The Nifty witnessed an intraday movement of about 73.5 points.The closing index was 0.18 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 26706.03
, Traded Quantity (in Lakhs), 12553.7
, Number of Trades, 10405096
, Total Market Capitalisation (Rs. Crores), 14702297.59

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BHARATIDIL,BZ,         3.80,                    30199.25,7837
,BHARATRAS,EQ,      6041.55,                 16581246.45,2767
,BHARATWIRE,EQ,       104.35,                  1240839.40,11909
,BHUSANSTL,EQ,        33.00,                300094904.90,8861843
,BIGBLOC,EQ,       115.95,                  3331302.15,28723
,BIL,EQ,       392.25,                  2122790.35,5551
,BILENERGY,BE,          .55,                    47227.95,89760
,BINANIIND,EQ,        82.70,                  4731033.00,56621
,BINDALAGRO,EQ,        24.35,                  1606192.45,65501
,BIOCON,EQ,       604.25,                887261572.45,1455764
,BIOFILCHEM,BE,        13.15,                     2761.50,210
,BIRLACABLE,BE,        83.35,                  1987995.15,23824
,BIRLACORPN,EQ,       728.30,                 61845890.55,85647
,BIRLAMONEY,BE,        63.15,                  2223198.00,35674
,BKMINDST,EQ,        21.55,                  1147258.60,53295
,BLBLIMITED,BE,         7.80,                    41215.35,5302
,BLISSGVS,EQ,       179.00,                 32135719.50,180345
,BLKASHYAP,EQ,        42.10,                  5774887.55,135078
,BLS,EQ,       184.40,                 11465788.15,61535
,BLUEBLENDS,EQ,        10.35,                   214576.55,20569
,BLUECOAST,EQ,        82.60,                    27671.00,335
,BLUEDART,EQ,      3475.95,                 38677715.00,11204
,BLUESTARCO,EQ,       690.05,                 27230737.35,39445
,BODALCHEM,EQ,       139.50,                 27859956.65,197767
,BOMDYEING,EQ,       226.35,                232016538.65,1009122
,BOROSIL,EQ,       817.25,                  4363940.90,5283
,BPL,EQ,        58.05,                 18849493.45,323930
,BRFL,BE,        22.90,                   522720.70,22835
,BRIGADE,EQ,       248.10,                  6343426.40,25572
,BRNL,EQ,       171.85,                  3906519.15,22835
,BROOKS,EQ,        95.75,                 21488334.50,223246
,BSE,EQ,       834.10,                144158834.00,172936
,BSELINFRA,EQ,         3.20,                   419175.00,129270
,BSHSL,SM,       115.80,                  1151600.00,10000
,BSL,EQ,        52.00,                   850881.50,16167
,BSLGOLDETF,EQ,      2889.00,                    97900.00,34
,BSLIMITED,BZ,          .70,                        7.00,10
,BSLNIFTY,EQ,       111.00,                     2328.10,21
,BURNPUR,BE,         5.05,                   303331.65,59909
,BUTTERFLY,EQ,       375.25,                  5514159.75,14504
,BVCL,BE,        21.75,                    22250.25,1023
,BYKE,EQ,       169.55,                  4154488.15,24263
,CADSYS,SM,        64.35,                   514700.00,8000
,CALSOFT,BE,        32.80,                   312771.60,9721
,CAMLINFINE,EQ,        87.25,                 34331527.70,395976
,CANBK,EQ,       274.95,               2020909025.90,7242102
,CANDC,EQ,        38.00,                  1568677.60,41327
,CANFINHOME,EQ,       365.60,                219344356.05,594819
,CANTABIL,BE,       121.00,                  2894015.40,24057
,CAPACITE,EQ,       291.40,                 25370975.40,86729
,CAPF,EQ,       572.90,                405426808.65,701127
,CAPLIPOINT,EQ,       484.85,                157484489.75,317509
,CAPTRUST,EQ,       394.25,                  1498616.35,3777
,CARBORUNIV,EQ,       331.85,                  7624105.40,22810
,CAREERP,EQ,        98.55,                  2837384.60,28518
,CARERATING,EQ,      1369.30,                 33292722.40,24395
,CASTEXTECH,BE,         2.30,                   337591.70,146779
,CASTROLIND,EQ,       168.55,                877864083.85,5163729
,CCCL,EQ,         3.60,                   557749.10,150521
,CCHHL,EQ,         9.75,                   503621.15,52392
,CCL,EQ,       285.90,                 14021344.65,49154
,CDSL,EQ,       281.70,                 56220630.85,198533
,CEATLTD,EQ,      1393.80,               1115668916.40,800255
,CEBBCO,EQ,        14.55,                   924216.65,63523
,CELEBRITY,EQ,        14.40,                   503186.05,34622
,CELESTIAL,EQ,        12.10,                   440609.40,36130
,CENTENKA,EQ,       297.20,                  6058589.85,20243
,CENTEXT,EQ,         6.60,                  2020914.65,308420
,CENTRALBK,EQ,        83.35,                162876109.10,1976047
,CENTRUM,EQ,        55.75,                  6726112.60,120058
,CENTUM,EQ,       470.25,                   416031.65,884
,CENTURYPLY,EQ,       260.15,                 43217689.35,167094
,CENTURYTEX,EQ,       930.75,                599867003.60,640043
,CERA,EQ,      2847.25,                 10221996.75,3588
,CEREBRAINT,BE,        56.15,                 11171647.30,198205
,CESC,EQ,      1004.60,                349876718.20,347633
,CGCL,EQ,        92.10,                  1285982.95,14040
,CGPOWER,EQ,        58.80,                318750356.75,5355715
,CHAMBLFERT,EQ,       168.25,                 89205188.05,527634
,CHEMFAB,BE,       161.60,                   384503.25,2414
,CHENNPETRO,EQ,       314.90,                404242244.55,1296738
,CHOLAFIN,EQ,      1574.20,                289838012.20,184146
,CHROMATIC,BE,         1.30,                    54730.60,42102
,CIGNITITEC,BE,       260.00,                 11831197.25,45569
,CIMMCO,EQ,        71.60,                   324679.65,4515
,CINELINE,EQ,        67.20,                  2499004.15,37240
,CINEVISTA,EQ,         7.70,                    44234.55,6009
,CLEDUCATE,EQ,       183.55,                   335308.25,1842
,CLNINDIA,EQ,       440.20,                  5665844.55,12814
,CMICABLES,EQ,       252.70,                  9641397.90,37510
,CMMIPL,SM,        42.00,                   126000.00,3000
,CNOVAPETRO,EQ,        27.65,                  2845716.50,103475
,COCHINSHIP,EQ,       479.40,                 37809080.40,78606
,COFFEEDAY,EQ,       310.85,                438885237.95,1389405
,COMPINFO,EQ,        39.80,                  5532476.50,140262
,COMPUSOFT,EQ,        11.85,                   553459.40,46180
,CONSOFINVT,EQ,        58.25,                    22160.80,380
,CONTROLPR,EQ,       399.10,                  1665071.70,4168
,CORALFINAC,EQ,        24.45,                   378201.20,15258
,CORDSCABLE,EQ,        75.85,                   617632.50,8229
,COROMANDEL,EQ,       459.15,                 24824561.55,54092
,CORPBANK,EQ,        32.95,                 48828108.60,1504272
,COSMOFILMS,EQ,       234.90,                  7481987.00,31536
,COUNCODOS,EQ,         2.55,                     9248.80,3780
