,11-Apr-2019
The Nifty witnessed an intraday movement of about 56.15 points.The closing index was 0.11 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28728.04
, Traded Quantity (in Lakhs), 14681.65
, Number of Trades, 10204274
, Total Market Capitalisation (Rs. Crores), 14944784.65

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,APLAPOLLO,EQ,      1460.35,                 16962987.05,11510
,APLLTD,EQ,       534.70,                  3287853.40,6109
,APOLLO,EQ,       142.25,                 14698021.05,102447
,APOLLOHOSP,EQ,      1240.40,                404204871.60,325454
,APOLLOTYRE,EQ,       213.50,                526087593.20,2456854
,APOLSINHOT,EQ,       848.05,                   357026.55,422
,APTECHT,EQ,       174.20,                 24959168.15,142871
,ARCHIDPLY,EQ,        39.10,                   244292.65,6239
,ARCHIES,EQ,        24.10,                   182323.40,7562
,ARCOTECH,BE,         5.50,                   373427.80,66445
,ARIES,EQ,        86.35,                  1755287.50,20172
,ARIHANT,EQ,        28.00,                       56.00,2
,ARIHANTSUP,BE,        55.85,                   709461.05,12760
,ARMANFIN,EQ,       369.25,                   383634.80,1043
,AROGRANITE,EQ,        49.30,                   141241.45,2865
,ARROWGREEN,EQ,        76.20,                   514931.90,6747
,ARROWTEX,EQ,        17.65,                    47499.60,2658
,ARSHIYA,EQ,        33.05,                  4020390.30,119968
,ARSSINFRA,EQ,        50.60,                  2016617.80,40081
,ARTEDZ,ST,        40.50,                   243000.00,6000
,ARVIND,EQ,        87.80,                172316044.35,1970927
,ARVINDFASN,EQ,       975.00,                 62668867.75,63979
,ARVSMART,EQ,       127.10,                  1417981.70,11150
,ASAHIINDIA,EQ,       250.50,                   437263.15,1741
,ASAHISONG,EQ,       159.85,                   327094.50,2045
,ASAL,EQ,        54.50,                   102565.60,1874
,ASHAPURMIN,BE,        28.05,                   705240.25,25187
,ASHIANA,EQ,       120.00,                  1418271.80,11820
,ASHIMASYN,EQ,        11.55,                   486499.95,41812
,ASHOKA,EQ,       129.25,                 11160439.85,85796
,ASIANHOTNR,EQ,       136.00,                      807.10,6
,ASIANTILES,EQ,       215.35,                 10343583.35,47836
,ASPINWALL,EQ,       165.25,                   110070.00,670
,ASSAMCO,BE,         2.10,                   177469.55,85637
,ASTEC,EQ,       509.40,                  2646611.55,5189
,ASTERDM,EQ,       154.00,                 14098551.20,90073
,ASTRAL,EQ,      1199.70,                 43881848.25,36623
,ASTRAMICRO,EQ,        99.65,                 35439967.55,354967
,ASTRAZEN,EQ,      2054.80,                 36630008.95,17972
,ASTRON,EQ,       100.95,                 14965434.80,148008
,ATFL,EQ,       583.05,                   881796.45,1506
,ATLANTA,EQ,        18.95,                   451448.55,23925
,ATLASCYCLE,BE,        72.35,                   263631.90,3630
,ATNINTER,BE,          .05,                       58.00,1160
,ATUL,EQ,      3504.55,                126368550.95,36020
,ATULAUTO,EQ,       335.55,                  1824144.75,5428
,AUBANK,EQ,       590.25,                125328623.20,215341
,AURDIS,SM,        30.00,                   120000.00,4000
,AURIONPRO,EQ,       147.10,                  4089612.00,27889
,AUSOMENT,EQ,        38.20,                    12764.65,333
,AUTOAXLES,EQ,      1207.50,                  4399141.90,3635
,AUTOIND,EQ,        49.80,                   425755.20,8527
,AUTOLITIND,EQ,        38.05,                    49902.50,1318
,AVADHSUGAR,EQ,       437.40,                  6327583.35,14427
,AVANTIFEED,EQ,       389.80,                113704564.00,291377
,AVG,SM,        83.55,                  1088700.00,13200
,AVTNPL,EQ,        26.35,                   375377.15,14210
,AXISCADES,EQ,        59.80,                  1324179.65,22051
,AXISGOLD,EQ,      2803.90,                   123416.35,44
,AXISNIFTY,EQ,      1186.64,                    41354.14,35
,AYMSYNTEX,EQ,        35.95,                    28278.15,788
,BAFNAPHARM,EQ,         9.70,                   122515.05,12606
,BAGFILMS,EQ,         4.85,                   209424.65,43455
,BAJAJCON,EQ,       325.15,                 78136395.75,241193
,BAJAJELEC,EQ,       548.55,                 71791738.00,131727
,BAJAJHIND,EQ,         9.15,                  6910890.00,757082
,BALAJITELE,EQ,        80.10,                  4195799.25,51808
,BALAMINES,EQ,       480.90,                  8438927.40,17296
,BALAXI,BE,        58.65,                    93957.30,1602
,BALKRISHNA,EQ,        39.10,                   209176.35,5295
,BALKRISIND,EQ,       951.00,                366939211.70,384374
,BALLARPUR,EQ,         2.85,                  7576350.10,2644923
,BALMLAWRIE,EQ,       179.15,                 11940512.65,66476
,BALPHARMA,EQ,        72.20,                   502752.85,7007
,BALRAMCHIN,EQ,       134.40,                248574590.25,1834257
,BANARBEADS,EQ,        43.90,                    52558.75,1183
,BANARISUG,EQ,      1519.00,                    74395.60,49
,BANCOINDIA,EQ,       151.85,                  6111102.85,40152
,BANG,EQ,        37.40,                   161602.20,4300
,BANKA,SM,        80.00,                   192000.00,2400
,BANKBEES,EQ,      3036.33,                  3079118.04,1016
,BANKINDIA,EQ,        99.40,                708066335.05,7104380
,BANSAL,SM,         7.25,                   112100.00,15000
,BANSWRAS,EQ,        68.60,                    25695.40,372
,BARTRONICS,EQ,         6.50,                    95239.85,14497
,BASF,EQ,      1389.35,                 16678824.90,12013
,BASML,EQ,       184.15,                    53999.70,292
,BATAINDIA,EQ,      1382.90,                808788313.10,586165
,BAYERCROP,EQ,      4231.10,                 16729683.40,3957
,BBL,EQ,      1073.25,                  1716670.55,1596
,BBTC,EQ,      1273.80,                 18354558.75,14359
,BCG,BE,         4.35,                  3353455.55,774786
,BDL,EQ,       309.65,                499006747.20,1639572
,BEARDSELL,EQ,        15.45,                    24047.25,1590
,BEDMUTHA,EQ,        17.30,                   158622.80,9246
,BEL,EQ,        93.30,               1674404516.30,17808454
