,08-Apr-2019
The Nifty witnessed an intraday movement of about 161.2 points.The closing index was 0.53 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31113.43
, Traded Quantity (in Lakhs), 16364.05
, Number of Trades, 11135117
, Total Market Capitalisation (Rs. Crores), 14932147.87

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,APARINDS,EQ,       682.35,                  1049961.70,1539
,APCL,EQ,       131.05,                   517938.15,4039
,APCOTEXIND,EQ,       542.00,                  4886716.30,8955
,APEX,EQ,       333.15,                 20419732.65,61245
,APLAPOLLO,EQ,      1475.75,                 10954879.40,7354
,APLLTD,EQ,       537.45,                  6817185.40,12637
,APOLLO,EQ,       132.35,                  4950527.05,36777
,APOLLOHOSP,EQ,      1237.10,                595234421.45,479351
,APOLLOTYRE,EQ,       220.10,                388073871.15,1752415
,APOLSINHOT,EQ,       867.95,                   633061.65,723
,APTECHT,EQ,       178.85,                 81466009.75,452898
,ARCHIDPLY,EQ,        39.60,                  4058906.75,102699
,ARCHIES,EQ,        24.60,                   703679.85,28668
,ARCOTECH,BE,         5.65,                    95649.65,17210
,ARIES,EQ,        87.45,                  1906024.95,21763
,ARIHANT,EQ,        28.30,                    94787.35,3200
,ARIHANTSUP,BE,        57.50,                   479178.25,8347
,ARMANFIN,EQ,       369.30,                   977289.65,2649
,AROGRANITE,EQ,        49.90,                   607391.65,12225
,ARROWGREEN,EQ,        79.40,                   445676.20,5518
,ARROWTEX,EQ,        17.75,                    40744.65,2305
,ARSHIYA,EQ,        35.90,                  5691158.50,157782
,ARSSINFRA,EQ,        51.55,                  3569954.35,70689
,ARTEDZ,ST,        39.65,                  4076250.00,105000
,ARVIND,EQ,        87.85,                247303668.45,2777724
,ARVINDFASN,EQ,       968.75,                 52575189.50,54084
,ARVSMART,EQ,       132.90,                  1422848.85,10794
,ASAHIINDIA,EQ,       240.60,                  6262911.65,25834
,ASAHISONG,EQ,       163.10,                   277884.55,1723
,ASAL,EQ,        54.35,                   350611.60,6413
,ASHAPURMIN,BE,        28.45,                   466236.75,16508
,ASHIANA,EQ,       119.90,                  2271171.70,18975
,ASHIMASYN,EQ,        12.40,                   327483.05,26297
,ASHOKA,EQ,       132.85,                 24882094.85,184574
,ASIANHOTNR,EQ,       134.00,                    58728.95,441
,ASIANTILES,EQ,       229.95,                 14062478.05,60604
,ASLIND,SM,        17.00,                    68000.00,4000
,ASPINWALL,EQ,       169.65,                  1046377.55,6144
,ASSAMCO,BE,         2.15,                   317781.00,146840
,ASTEC,EQ,       539.10,                  2755484.15,5137
,ASTERDM,EQ,       154.65,                  4204866.95,27295
,ASTRAL,EQ,      1191.80,                 29724096.35,25072
,ASTRAMICRO,EQ,        96.35,                 12579031.20,130196
,ASTRAZEN,EQ,      1967.85,                  6813198.60,3441
,ASTRON,EQ,       101.35,                 13225534.00,129604
,ATFL,EQ,       583.15,                  1458120.00,2509
,ATLANTA,EQ,        18.95,                   456741.30,23875
,ATLASCYCLE,BE,        76.30,                   159199.05,2113
,ATNINTER,BE,          .10,                      790.00,14800
,ATUL,EQ,      3509.00,                 20536528.85,5822
,ATULAUTO,EQ,       337.65,                  4487666.60,13279
,AUBANK,EQ,       582.55,                 97824690.90,166667
,AURIONPRO,EQ,       144.65,                  1655080.05,11325
,AUSOMENT,EQ,        37.65,                    10409.20,278
,AUTOAXLES,EQ,      1209.20,                  4415186.45,3637
,AUTOIND,EQ,        51.10,                   699144.10,13521
,AUTOLITIND,EQ,        37.75,                   299466.90,7936
,AVADHSUGAR,EQ,       436.15,                 49545378.90,111373
,AVANTIFEED,EQ,       395.60,                129584670.15,325401
,AVG,SM,        82.75,                   294300.00,3600
,AVTNPL,EQ,        26.20,                   700710.05,26668
,AXISCADES,EQ,        62.20,                  1297133.20,20845
,AXISGOLD,EQ,      2807.95,                  1505538.80,533
,AXISNIFTY,EQ,      1187.73,                   157507.74,133
,AYMSYNTEX,EQ,        35.85,                   222894.95,6159
,BAFNAPHARM,EQ,         9.50,                    95857.70,10000
,BAGFILMS,EQ,         4.95,                   606024.50,121985
,BAJAJCON,EQ,       321.30,                 39292935.65,121126
,BAJAJELEC,EQ,       532.50,                 75991341.75,141004
,BAJAJHIND,EQ,         9.40,                 62297369.35,6437541
,BALAJITELE,EQ,        80.95,                  4297263.15,52713
,BALAMINES,EQ,       480.00,                 15273664.80,31721
,BALAXI,BE,        50.75,                   548850.00,10815
,BALKRISHNA,EQ,        39.25,                  2086180.40,51862
,BALKRISIND,EQ,       978.40,                284257787.70,290156
,BALLARPUR,EQ,         3.20,                  1070300.80,334469
,BALMLAWRIE,EQ,       183.65,                  3687262.25,19940
,BALPHARMA,EQ,        72.00,                  1983812.95,27195
,BALRAMCHIN,EQ,       132.75,                958474217.45,7058356
,BANARBEADS,EQ,        45.50,                    52592.50,1169
,BANARISUG,EQ,      1547.30,                  1111013.30,727
,BANCOINDIA,EQ,       152.10,                  5222343.30,34157
,BANG,EQ,        38.45,                   285752.50,7432
,BANKBEES,EQ,      3039.57,                  7459491.39,2441
,BANKINDIA,EQ,        98.50,                886540602.35,8836550
,BANSAL,SM,         7.95,                     7950.00,1000
,BANSWRAS,EQ,        69.70,                   220757.30,3216
,BARTRONICS,EQ,         6.50,                   101680.85,15521
,BASF,EQ,      1379.25,                 12474474.85,8970
,BASML,EQ,       188.60,                   255036.70,1355
,BATAINDIA,EQ,      1397.55,                665236520.65,475431
,BAYERCROP,EQ,      4285.10,                 15006156.40,3503
,BBL,EQ,      1089.15,                  2443331.85,2230
,BBTC,EQ,      1285.15,                 58256323.40,45362
,BCG,BE,         3.95,                   703092.10,177998
,BCONCEPTS,SM,        65.55,                   394950.00,6000
,BDL,EQ,       294.05,                 19301197.80,65530
,BEARDSELL,EQ,        15.50,                    16447.10,1080
,BEDMUTHA,EQ,        17.90,                   315656.20,17511
,BEL,EQ,        95.00,                657735102.35,6874741
,BEML,EQ,       961.60,               1466634213.20,1510045
,BEPL,EQ,        71.35,                 26286245.90,369022
,BERGEPAINT,EQ,       328.80,                227000816.35,690980
,BETA,SM,       106.00,                   338840.00,3200
,BFINVEST,EQ,       265.50,                 76174775.55,285533
,BFUTILITIE,EQ,       212.80,                431388999.75,2055337
,BGLOBAL,BE,         2.45,                     3673.95,1510
,BGRENERGY,EQ,        61.55,                  8188319.35,132143
,BHAGERIA,EQ,       271.90,                   804435.40,2943
,BHAGYANGR,EQ,        32.35,                   145071.60,4504
,BHAGYAPROP,EQ,        29.00,                     1498.75,52
,BHANDARI,EQ,         2.00,                    48771.80,24348
,BHARATFIN,EQ,      1102.15,                441710116.35,396356
,BHARATFORG,EQ,       503.40,                289598545.15,572385
,BHARATGEAR,EQ,       155.85,                  1988921.20,12887
,BHARATRAS,EQ,      4508.25,                 25748270.70,5733
,BHARATWIRE,EQ,        56.25,                  1197255.85,21111
,BIGBLOC,EQ,        34.95,                    16900.45,491
,BIL,EQ,       288.55,                  7330594.05,25612
,BILENERGY,BE,         4.25,                   327041.75,76951
,BILPOWER,BZ,          .50,                     2651.00,5203
,BINANIIND,BE,        37.15,                   170322.15,4618
,BINDALAGRO,EQ,        16.05,                   135584.65,8441
,BIOFILCHEM,BE,         7.75,                     3480.00,450
,BIRLACABLE,EQ,       147.50,                  8686675.15,58489
,BIRLACORPN,EQ,       514.90,                 18374223.40,35504
,BIRLAMONEY,EQ,        49.95,                 10128742.55,198493
,BKMINDST,BE,         5.60,                    25330.90,4799
,BLBLIMITED,EQ,         4.90,                    32723.80,6704
,BLISSGVS,EQ,       175.90,                145553618.30,824044
,BLKASHYAP,EQ,        19.65,                  2080099.00,104574
,BLS,EQ,       139.45,                 47528479.00,333811
,BLUECOAST,EQ,        38.50,                    36678.45,952
,BLUEDART,EQ,      3358.85,                  7619904.15,2260
,BLUEDART,N3,        10.07,                     8018.36,799
,BLUESTARCO,EQ,       693.05,                178747340.35,255930
,BODALCHEM,EQ,       121.50,                  8114600.80,66358
,BOHRA,SM,         8.60,                    51600.00,6000
,BOMDYEING,EQ,       137.30,                203300363.40,1460977
,BOROSIL,EQ,       215.30,                  7803095.95,35855
,BPL,EQ,        26.60,                  1792920.65,66660
,BRFL,EQ,         9.20,                   221998.70,24291
,BRIGADE,EQ,       245.05,                 33311943.05,133685
,BRIGHT,SM,        24.00,                   207000.00,9000
,BRNL,EQ,       117.90,                 11089624.30,89735
,BROOKS,EQ,        54.75,                   593396.00,10652
,BSE,EQ,       619.15,                144129936.65,233012
,BSELINFRA,EQ,         2.05,                   195990.65,95766
,BSHSL,SM,       125.00,                   259000.00,2000
,BSL,EQ,        43.15,                   201027.05,4655
,BSLGOLDETF,EQ,      2950.00,                   238875.00,81
,BSLNIFTY,EQ,       117.99,                    12909.57,109
,BSOFT,EQ,       101.45,                 72392993.30,705044
,BURNPUR,BE,         3.10,                   232377.85,73823
,BUTTERFLY,EQ,       193.90,                  3965877.00,20401
,BVCL,BE,        17.00,                    41414.70,2520
,BYKE,EQ,        29.05,                  1625729.50,56560
,CADSYS,SM,        48.10,                  1058700.00,22000
,CALSOFT,EQ,        23.85,                   866291.80,35046
,CAMLINFINE,EQ,        48.00,                 10105193.85,208048
,CANBK,EQ,       273.70,               1545869175.80,5556229
,CANDC,BZ,         9.65,                  1462139.45,151319
,CANFINHOME,EQ,       361.80,                805134743.10,2206838
,CANTABIL,EQ,       273.05,                  3459869.20,12636
,CAPACITE,EQ,       238.30,                 12826160.65,53451
,CAPLIPOINT,EQ,       386.40,                 20430721.95,52011
,CAPTRUST,EQ,       212.55,                   152890.30,715
,CARBORUNIV,EQ,       388.20,                 16461287.95,42416
,CAREERP,EQ,        75.35,                  4340696.15,58532
,CARERATING,EQ,       989.60,                 35447043.90,35799
,CASTEXTECH,EQ,         1.00,                   722341.00,730611
,CASTROLIND,EQ,       170.10,                199608848.85,1173766
,CCCL,BZ,         1.75,                    50232.50,28700
,CCHHL,EQ,         6.60,                    69330.75,10473
,CCL,EQ,       280.80,                  5526098.30,19542
,CDSL,EQ,       233.00,                 22699041.50,97849
,CEATLTD,EQ,      1105.15,                426834775.85,385364
,CEBBCO,EQ,        19.40,                  2203608.60,114741
,CELEBRITY,EQ,         9.00,                    50680.30,5663
,CELESTIAL,EQ,         6.05,                   459042.25,75739
,CENTENKA,EQ,       240.05,                 16779311.70,69690
,CENTEXT,EQ,         5.90,                   272671.00,45959
,CENTRALBK,EQ,        34.80,                 20768086.10,593507
,CENTRUM,EQ,        34.15,                 10413988.10,306228
,CENTUM,EQ,       470.65,                  2973968.60,6090
,CENTURYPLY,EQ,       204.05,                186068139.60,865021
,CENTURYTEX,EQ,       903.70,                506020878.60,556161
,CERA,EQ,      2902.85,                 27986925.05,9693
,CEREBRAINT,EQ,        27.00,                 41518620.60,1538949
,CES1RPG,MF,         9.80,                   254130.20,26170
,CESC,EQ,       733.00,                146101918.90,198882
,CESCVENT,EQ,       601.05,                 11382798.25,18829
,CGCL,EQ,       179.90,                213277468.35,1138999
,CGPOWER,EQ,        38.70,                317450393.30,8099152
,CHALET,EQ,       323.90,                  2040996.60,6286
,CHAMBLFERT,EQ,       162.90,                 35360149.20,216780
,CHEMFAB,EQ,       147.15,                  1155786.55,7901
,CHENNPETRO,EQ,       252.45,                100825274.15,392397
,CHOLAFIN,EQ,      1471.40,                272201730.60,184556
,CHROMATIC,EQ,         1.10,                   277928.05,261749
,CIGNITITEC,EQ,       385.55,                 13188241.95,34125
,CIMMCO,EQ,        34.35,                   294785.65,8469
,CINELINE,EQ,        43.50,                   725472.60,16496
,CINEVISTA,BE,         5.75,                      126.50,22
,CLEDUCATE,EQ,       121.55,                  2574412.45,21145
,CLNINDIA,EQ,       348.00,                  2111207.95,6054
,CMICABLES,EQ,       138.45,                  5724563.65,40778
,CMMIPL,SM,         9.05,                    27150.00,3000
,CNOVAPETRO,EQ,        17.00,                   822993.70,46800
,COCHINSHIP,EQ,       394.20,                 15532550.20,39342
,COFFEEDAY,EQ,       276.40,                 38281795.95,138519
,COMPINFO,EQ,        17.70,                   184578.90,10312
,COMPUSOFT,EQ,         9.10,                    86067.75,9250
,CONSOFINVT,EQ,        44.95,                    33716.00,746
,CONTROLPR,EQ,       273.25,                   504163.10,1856
,CORALFINAC,EQ,        18.10,                   162018.55,8695
