,25-Apr-2019
The Nifty witnessed an intraday movement of about 172.45 points.The closing index was 0.72 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 45084.45
, Traded Quantity (in Lakhs), 18758.32
, Number of Trades, 11724762
, Total Market Capitalisation (Rs. Crores), 15026846.11

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ASAL,EQ,        59.05,                 20964795.05,351902
,ASHAPURMIN,BE,        25.55,                   409721.30,15880
,ASHIANA,EQ,       122.05,                  6214822.05,51392
,ASHIMASYN,EQ,        11.60,                   145175.10,12613
,ASHOKA,EQ,       129.05,                  4262972.35,32973
,ASIANHOTNR,EQ,       135.70,                    40876.20,306
,ASIANTILES,EQ,       191.15,                  7437540.30,38489
,ASLIND,SM,        15.90,                    63600.00,4000
,ASPINWALL,EQ,       157.85,                   187402.25,1202
,ASSAMCO,BE,         2.15,                   749702.75,372428
,ASTEC,EQ,       512.70,                  2366117.95,4576
,ASTERDM,EQ,       148.65,                  2595404.25,17405
,ASTRAL,EQ,      1212.70,                 11215377.60,9188
,ASTRAMICRO,EQ,        92.00,                 10422596.00,111978
,ASTRAZEN,EQ,      2267.55,                 11582053.00,5120
,ASTRON,EQ,        99.25,                 33700192.00,335700
,ATFL,EQ,       580.05,                 21328518.30,36772
,ATLANTA,EQ,        18.15,                   362280.35,19974
,ATLASCYCLE,BE,        63.10,                   186872.80,2979
,ATUL,EQ,      3450.25,                 25489437.15,7304
,ATULAUTO,EQ,       325.15,                  2968494.30,9138
,AUBANK,EQ,       625.10,                402651738.90,646109
,AURDIS,SM,        28.60,                   343200.00,12000
,AURIONPRO,EQ,       149.15,                  1695418.05,11388
,AUSOMENT,EQ,        36.50,                    41307.35,1132
,AUTOAXLES,EQ,      1193.85,                  3131954.55,2611
,AUTOIND,EQ,        48.75,                   539685.10,11011
,AUTOLITIND,EQ,        37.65,                    55205.65,1469
,AVADHSUGAR,EQ,       450.80,                 29473383.50,64246
,AVANTIFEED,EQ,       387.05,                 77819764.00,198999
,AVTNPL,EQ,        24.65,                   295578.35,11946
,AXISCADES,EQ,        54.00,                  2024540.25,36954
,AXISGOLD,EQ,      2798.05,                   757975.35,271
,AXISNIFTY,EQ,      1157.66,                   125269.52,106
,AYMSYNTEX,EQ,        37.65,                    74393.10,1991
,BAFNAPHARM,EQ,         9.30,                    28772.75,3076
,BAGFILMS,EQ,         4.65,                   144559.10,30880
