,05-Apr-2018
The Nifty witnessed an intraday movement of about 104.35 points.The closing index was 1.94 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30418.5
, Traded Quantity (in Lakhs), 16252.93
, Number of Trades, 9755809
, Total Market Capitalisation (Rs. Crores), 14492838.07

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ANSALHSG,EQ,        21.20,                   740247.15,34847
,ANTGRAPHIC,BE,          .95,                   118860.40,126511
,APARINDS,EQ,       772.85,                  3870570.50,5040
,APCL,EQ,       197.55,                  5080422.85,24781
,APCOTEXIND,EQ,       513.40,                  1550021.75,3007
,APEX,EQ,       652.30,                 84332312.70,129480
,APLAPOLLO,EQ,      2116.85,                194937744.65,92610
,APLLTD,EQ,       550.55,                114799215.25,208710
,APOLLO,EQ,       257.50,                 22625517.55,87461
,APOLLOHOSP,EQ,      1083.70,                250664818.55,231441
,APOLLOTYRE,EQ,       292.50,               1358272110.40,4642680
,APOLSINHOT,EQ,      1375.30,                    89623.95,65
,APTECHT,EQ,       265.65,                197797982.60,745440
,ARCHIDPLY,EQ,        84.90,                 17236408.40,200592
,ARCHIES,EQ,        33.90,                  3251914.15,95120
,ARCOTECH,EQ,        36.35,                  9390455.00,260629
,ARENTERP,EQ,        16.30,                     1630.00,100
,ARIES,EQ,       196.85,                  9192553.90,46702
,ARIHANT,BE,        43.95,                     6771.75,161
,ARIHANTSUP,EQ,       124.05,                 11327329.45,90537
,ARMANFIN,EQ,       335.70,                   280431.55,836
,AROGRANITE,EQ,        61.40,                  1572822.30,25704
,ARROWGREEN,EQ,       388.40,                 21376728.50,55006
,ARROWTEX,EQ,        37.30,                   256417.90,6895
,ARSHIYA,EQ,        80.95,                  6537979.90,81066
,ARSSINFRA,BE,        52.70,                  3283684.30,62309
,ARVIND,EQ,       409.60,                328709885.05,807042
,ARVSMART,EQ,       192.95,                  1883692.90,9753
,ASAHIINDIA,EQ,       345.45,                  9914688.15,28592
,ASAHISONG,EQ,       346.20,                   901229.25,2601
,ASAL,EQ,        81.25,                   930907.00,11374
,ASHAPURMIN,EQ,        72.15,                  8558275.75,118979
,ASHIANA,EQ,       164.65,                  8038687.65,48351
,ASHIMASYN,EQ,        29.30,                 19327250.15,657382
,ASHOKA,EQ,       262.15,                 91181889.95,347340
,ASIANHOTNR,BE,       291.75,                    58452.80,202
,ASIANTILES,EQ,       498.40,                 14779128.65,29532
