,09-Apr-2018
The Nifty witnessed an intraday movement of about 69.2 points.The closing index was 0.46 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27875.82
, Traded Quantity (in Lakhs), 13825.77
, Number of Trades, 10059195
, Total Market Capitalisation (Rs. Crores), 14591750.14

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AUBANK,EQ,       677.15,                196241743.35,295743
,AURIONPRO,EQ,       231.30,                 15860918.35,69005
,AUSOMENT,EQ,        70.10,                   686173.00,9859
,AUSTRAL,BZ,          .20,                     3701.60,20948
,AUTOAXLES,EQ,      1643.90,                 39083771.65,23995
,AUTOIND,EQ,        85.50,                 19116193.95,224491
,AUTOLITIND,EQ,        79.55,                 26274802.90,317944
,AVADHSUGAR,EQ,       441.20,                 12656188.55,27962
,AVANTIFEED,EQ,      2305.55,                197122629.35,85545
,AVTNPL,EQ,        39.70,                  4109479.05,102666
,AXISCADES,EQ,       154.70,                 10165150.60,65208
,AXISGOLD,EQ,      2729.55,                   332602.05,122
,AXISNIFTY,EQ,      1040.75,                    89148.39,85
,AYMSYNTEX,EQ,        61.45,                   390996.45,6299
,BAFNAPHARM,EQ,        28.10,                   149849.40,5352
,BAGFILMS,EQ,         5.85,                  1154196.25,201828
,BAJAJCORP,EQ,       479.50,                 23670383.40,50121
,BAJAJELEC,EQ,       618.35,                722014480.75,1165244
,BAJAJHIND,EQ,         9.45,                 13571008.75,1416581
,BAJAJHLDNG,EQ,      2640.15,                  9930208.85,3757
,BALAJITELE,EQ,       137.25,                  3756004.55,27439
,BALAMINES,EQ,       631.80,                 44291660.75,69059
,BALKRISHNA,EQ,        85.20,                  2885591.20,33422
,BALKRISIND,EQ,      1287.70,               2239222298.25,1759997
,BALLARPUR,EQ,        14.95,                 35041351.50,2324821
,BALMLAWRIE,EQ,       223.55,                 13854039.80,61894
,BALPHARMA,EQ,        85.05,                   833004.15,9784
,BALRAMCHIN,EQ,        75.85,                139191735.25,1823768
,BANARBEADS,EQ,        62.90,                    47876.50,752
,BANARISUG,EQ,      1828.90,                  2704444.65,1485
,BANCOINDIA,EQ,       228.50,                  6870817.85,30126
,BANDHANBNK,EQ,       514.45,               1354164565.65,2656272
,BANG,EQ,        33.15,                    93331.15,2810
,BANKBEES,EQ,      2536.86,                  3386514.54,1336
,BANKINDIA,EQ,       116.05,               1751496483.25,15258877
,BANSAL,SM,       104.55,                 13266200.00,127000
,BANSWRAS,EQ,       100.95,                  8245331.30,79171
,BARTRONICS,EQ,        10.70,                   447081.45,41561
,BASF,EQ,      1997.95,                 10747307.20,5336
,BASML,EQ,       250.90,                    66139.70,265
,BATAINDIA,EQ,       774.90,                339185051.45,436546
,BAYERCROP,EQ,      4496.95,                 32153350.35,7153
,BBL,EQ,      1599.10,                 19467997.30,12146
,BBTC,EQ,      1262.30,                560769341.85,434829
,BCONCEPTS,SM,        53.50,                 17978250.00,333000
,BDL,EQ,       389.95,                 34342591.40,88302
,BEARDSELL,EQ,        53.55,                   145330.15,2733
,BEDMUTHA,EQ,        18.50,                   111845.70,5997
,BEML,EQ,      1146.40,                800957818.85,698664
,BEPL,EQ,       217.90,                828337132.85,3862908
,BERGEPAINT,EQ,       267.35,                185702000.05,699097
,BETA,SM,       133.00,                   645440.00,4800
,BFINVEST,EQ,       297.50,                 66816757.10,222115
,BFUTILITIE,EQ,       409.90,                284892985.55,689345
,BGLOBAL,BE,         4.80,                    40785.70,8364
,BGRENERGY,EQ,       108.05,                  5996954.90,55518
,BHAGERIA,EQ,       312.90,                  9912366.15,31519
,BHAGYANGR,EQ,        43.85,                  2203655.30,49679
