,24-Apr-2018
The Nifty witnessed an intraday movement of about 67.8 points.The closing index was 0.28 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31982.11
, Traded Quantity (in Lakhs), 14600.01
, Number of Trades, 11016717
, Total Market Capitalisation (Rs. Crores), 14935866.84

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CUB,EQ,       181.05,                229526134.00,1273294
,CUBEXTUB,BE,        22.75,                    56505.75,2505
,CUPID,EQ,       284.60,                  3997979.95,14110
,CYBERTECH,EQ,        69.30,                   233992.35,3377
,CYIENT,EQ,       719.30,                333130132.25,463903
,DAAWAT,EQ,        92.05,                 51303415.35,554433
,DALMIABHA,EQ,      3004.20,                393314330.75,130219
,DALMIASUG,EQ,        64.95,                  5414610.90,82695
,DAMODARIND,EQ,       136.60,                  1151099.40,8478
,DATAMATICS,EQ,       135.15,                 12675204.05,93549
,DBCORP,EQ,       316.50,                 50059101.00,158013
,DBL,EQ,      1128.60,                128164074.35,113122
,DBREALTY,EQ,        59.95,                 64412346.75,1066745
,DBSTOCKBRO,EQ,         8.50,                       93.60,11
,DCAL,EQ,       342.25,                 37439171.25,110114
,DCBBANK,EQ,       194.05,                323816216.15,1658864
,DCM,EQ,        98.40,                   852461.60,8611
,DCMSHRIRAM,EQ,       439.15,                 89436965.65,203184
,DCW,EQ,        35.65,                 34446596.95,962689
,DECCANCE,EQ,       522.05,                  1787282.20,3430
,DEEPAKFERT,EQ,       367.00,                 75685968.55,202587
,DEEPAKNTR,EQ,       270.95,                338602980.35,1239153
,DEEPIND,EQ,       158.55,                 32217747.75,204492
,DELTACORP,EQ,       282.85,               2008931178.45,6871319
,DELTAMAGNT,BE,        61.25,                    42689.95,697
,DEN,EQ,        98.00,                 15861180.45,162870
,DENABANK,EQ,        18.35,                 14748796.35,803302
,DENORA,BE,       445.70,                  1725495.90,3824
,DFMFOODS,EQ,      1455.00,                   689581.00,472
,DHAMPURSUG,EQ,        99.40,                 64357972.45,645100
,DHANBANK,EQ,        21.95,                  4694079.20,214524
,DHANUKA,EQ,       594.35,                  5792563.45,9739
,DHARSUGAR,BE,        19.10,                   251060.55,13001
,DHFL,EQ,       584.15,               2561456326.80,4367590
,DHFL,NC,      1093.10,                   460677.25,421
,DHFL,N2,      1012.60,                    94171.80,93
,DHFL,NH,      1185.00,                    21330.00,18
