,30-Apr-2018
The Nifty witnessed an intraday movement of about 54.4 points.The closing index was 0.44 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28571.39
, Traded Quantity (in Lakhs), 12300.88
, Number of Trades, 9921677
, Total Market Capitalisation (Rs. Crores), 15092002.34

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ARIES,EQ,       206.05,                  5096403.55,24558
,ARIHANT,BE,        42.50,                     3854.70,99
,ARIHANTSUP,EQ,       125.20,                 46887490.10,376791
,ARMANFIN,EQ,       434.85,                  1387636.55,3181
,AROGRANITE,EQ,        57.40,                  1464534.05,25465
,ARROWGREEN,EQ,       342.95,                  2495603.90,7240
,ARROWTEX,EQ,        35.95,                   126816.55,3600
,ARSHIYA,EQ,        74.05,                  2360297.15,31414
,ARSSINFRA,BE,        42.70,                   418300.55,9573
,ARVIND,EQ,       423.60,                553245064.70,1319006
,ARVSMART,EQ,       201.30,                  4339923.10,21390
,ASAHIINDIA,EQ,       363.30,                  3172903.35,8745
,ASAHISONG,EQ,       347.60,                  2096493.10,6057
,ASAL,EQ,        83.45,                  5108191.80,61834
,ASHAPURMIN,EQ,        73.05,                  9915875.80,135192
,ASHIANA,EQ,       160.30,                  6988729.60,43476
,ASHIMASYN,EQ,        30.25,                  2247698.75,74145
,ASHOKA,EQ,       284.25,                130525114.50,455890
,ASIANHOTNR,BE,       323.85,                  1340012.70,4163
,ASIANTILES,EQ,       479.50,                  8703996.70,18068
,ASLIND,SM,        26.00,                   208000.00,8000
,ASPINWALL,EQ,       385.50,                  2924435.00,7603
,ASSAMCO,EQ,         4.15,                  1527170.75,367605
,ASTEC,EQ,       699.95,                 88002612.55,125832
,ASTERDM,EQ,       170.55,                 27429131.40,161207
,ASTRAL,EQ,       950.20,                 34348928.50,36467
,ASTRAMICRO,EQ,       108.30,                166678832.85,1557980
,ASTRAZEN,EQ,      1044.35,                  8743089.50,8433
,ASTRON,EQ,       141.85,                 69234910.30,490836
,ATFL,EQ,       697.75,                 31320862.10,44418
,ATLANTA,EQ,        78.50,                  4380852.00,55520
,ATLASCYCLE,BE,       158.85,                  1198517.20,7494
,ATUL,EQ,      2945.35,                 72882375.55,24833
,ATULAUTO,EQ,       444.25,                  5948632.55,13307
,AUBANK,EQ,       721.85,                 72777346.50,100974
,AURIONPRO,EQ,       234.45,                  5469975.60,23004
,AUSOMENT,EQ,        76.00,                  1356778.90,17757
,AUSTRAL,BZ,          .15,                     2794.85,18699
,AUTOAXLES,EQ,      1515.25,                 27887184.65,18222
,AUTOIND,EQ,        86.80,                 12428322.85,144337
,AUTOLITIND,EQ,        75.70,                  1860321.35,24594
,AVADHSUGAR,EQ,       383.20,                 32919431.10,86039
,AVANTIFEED,EQ,      2482.90,                337553226.10,136025
,AVG,SM,       140.95,                  1554540.00,10800
,AVTNPL,EQ,        37.45,                  2650037.65,70070
,AXISCADES,EQ,       182.70,                 55288075.05,301153
,AXISGOLD,EQ,      2754.00,                   224321.60,81
,AXISNIFTY,EQ,      1090.37,                    21633.70,20
,AYMSYNTEX,EQ,        66.95,                   915924.75,13744
,BAFNAPHARM,EQ,        27.75,                   336911.05,12019
,BAGFILMS,EQ,         5.35,                  1182318.60,224787
,BAJAJCORP,EQ,       479.90,                 42578357.80,88786
,BAJAJELEC,EQ,       656.15,                160743326.40,245083
