,23-Apr-2018
The Nifty witnessed an intraday movement of about 123.4 points.The closing index was 0.2 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32294.16
, Traded Quantity (in Lakhs), 11906.35
, Number of Trades, 10393120
, Total Market Capitalisation (Rs. Crores), 14914986.95

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CANBK,EQ,       263.15,               3681276220.20,14182770
,CANDC,EQ,        52.05,                  2891583.25,53916
,CANFINHOME,EQ,       435.40,                211126775.55,485132
,CANTABIL,BE,       138.55,                  1888058.40,13633
,CAPACITE,EQ,       361.35,                 67916547.40,187129
,CAPF,EQ,       638.80,                113578138.25,177441
,CAPLIPOINT,EQ,       600.05,                  7231176.85,12030
,CAPTRUST,EQ,       417.60,                   835098.55,1981
,CARBORUNIV,EQ,       366.10,                 19114097.40,52429
,CAREERP,EQ,       125.75,                  3009780.35,24142
,CARERATING,EQ,      1280.55,                 23839037.00,18661
,CASTEXTECH,EQ,         3.55,                  2120957.55,595818
,CASTROLIND,EQ,       200.75,                201584347.30,1000263
,CCCL,EQ,         3.90,                   335173.80,85185
,CCHHL,EQ,        13.00,                   479081.40,37201
,CCL,EQ,       291.55,                 13932241.65,47870
,CDSL,EQ,       295.65,                268799554.65,908812
,CEATLTD,EQ,      1557.75,               1008710902.70,646337
,CEBBCO,EQ,        15.10,                  2464980.20,165170
,CELEBRITY,EQ,        16.90,                   592737.10,35234
,CELESTIAL,EQ,        13.90,                   346872.75,24880
,CENTENKA,EQ,       376.40,                 30951003.60,81486
,CENTEXT,EQ,         5.80,                   343089.25,58698
,CENTRALBK,EQ,        70.90,                110290667.30,1567444
,CENTRUM,EQ,        60.35,                 11235456.15,184460
,CENTUM,EQ,       530.15,                   833216.95,1570
,CENTURYPLY,EQ,       353.45,                 65247628.85,184614
,CENTURYTEX,EQ,      1239.95,                564150662.60,457842
,CERA,EQ,      3142.00,                 13951408.80,4415
,CEREBRAINT,EQ,        71.15,                128571077.50,1803242
,CESC,EQ,      1034.65,                403273601.05,388626
,CGCL,EQ,        95.10,                  2292605.70,24084
,CGPOWER,EQ,        82.55,                 59755436.95,719577
,CHAMBLFERT,EQ,       196.85,                169569596.75,851267
,CHENNPETRO,EQ,       330.75,                127579637.85,387143
,CHOLAFIN,EQ,      1666.75,               2244870267.70,1368519
,CHROMATIC,BE,         2.00,                    79799.40,38546
,CIGNITITEC,BE,       233.00,                  1075244.00,4616
,CIMMCO,EQ,        91.60,                 39985956.75,424992
,CINELINE,EQ,        79.80,                  1277596.05,16041
,CINEVISTA,EQ,         9.90,                   125222.20,12454
,CKPLEISURE,SM,        27.00,                  4860000.00,180000
,CLEDUCATE,EQ,       205.65,                   562461.00,2718
,CLNINDIA,EQ,       544.55,                  4413794.45,8136
,CMICABLES,EQ,       302.80,                145335230.70,489354
,CMMIPL,SM,        55.95,                   665700.00,12000
,CNOVAPETRO,EQ,        35.30,                    54584.80,1515
,COCHINSHIP,EQ,       539.90,                 69205724.95,128882
,COFFEEDAY,EQ,       325.75,                328584072.85,1016178
,COMPINFO,EQ,        41.60,                  1773184.75,41640
,COMPUSOFT,EQ,        14.25,                   867140.20,60832
,CONSOFINVT,EQ,        63.70,                   136108.80,2104
,CONTROLPR,EQ,       439.05,                 25475500.75,57868
,CORALFINAC,EQ,        30.75,                   550390.25,17860
,CORDSCABLE,EQ,        92.90,                  4533185.90,49183
,COROMANDEL,EQ,       528.95,                 40389898.85,75643
,CORPBANK,EQ,        30.00,                  3343877.75,111058
,COSMOFILMS,EQ,       273.25,                  2052502.10,7522
,COUNCODOS,EQ,         3.00,                     8076.00,2695
,COX&KINGS,EQ,       235.95,                 13011036.90,54938
,CPSEETF,EQ,        28.02,                 15668995.75,558971
,CREATIVEYE,EQ,         4.05,                    23086.55,5701
,CREST,EQ,       212.35,                  2059385.25,9568
,CRISIL,EQ,      1958.80,                 44324094.70,22691
,CRMFGETF,EQ,      2914.00,                  3007886.40,1032
,CROMPTON,EQ,       230.75,                155073537.05,671342
,CROWN,SM,        76.00,                    76000.00,1000
,CTE,EQ,        64.00,                   438956.70,6857
,CUB,EQ,       180.65,                 45118448.50,250605
,CUBEXTUB,BE,        23.00,                    18886.50,842
,CUPID,EQ,       281.95,                  5938315.60,20917
,CYBERMEDIA,BE,        12.00,                     4920.00,410
,CYBERTECH,EQ,        69.55,                  1508701.35,21530
,CYIENT,EQ,       717.25,                845941134.75,1173321
,DAAWAT,EQ,        93.15,                 68965002.15,734826
,DALMIABHA,EQ,      3002.30,                608134773.15,203084
,DALMIASUG,EQ,        63.75,                  7367492.70,113997
,DAMODARIND,EQ,       135.25,                  1218638.70,9024
,DATAMATICS,EQ,       136.45,                 75512473.75,553698
,DBCORP,EQ,       316.25,                  6780850.25,21582
,DBL,EQ,      1134.40,                179992649.35,157833
,DBREALTY,EQ,        58.55,                 41769897.40,710501
,DBSTOCKBRO,EQ,         8.60,                      172.00,20
,DCAL,EQ,       336.40,                 32785837.05,97406
,DCBBANK,EQ,       196.45,                566778057.60,2870957
,DCM,EQ,        99.60,                  1241727.60,12482
,DCMSHRIRAM,EQ,       435.85,                 69071554.40,157268
,DCW,EQ,        34.60,                 11134331.55,321678
,DECCANCE,EQ,       508.05,                   637655.90,1257
,DEEPAKFERT,EQ,       383.25,                 61191658.05,158645
,DEEPAKNTR,EQ,       258.45,                 95454585.75,375515
,DEEPIND,EQ,       158.10,                 11091892.20,69817
,DELTACORP,EQ,       284.65,                740024512.25,2572446
,DEN,EQ,        99.70,                 13045938.25,130150
,DENABANK,EQ,        18.35,                 17736032.85,962972
,DENORA,BE,       443.20,                  1587502.10,3615
,DFMFOODS,EQ,      1468.20,                  1203527.05,813
,DHAMPURSUG,EQ,        97.40,                121405101.35,1217078
,DHANBANK,EQ,        22.00,                  3345912.20,152698
,DHANUKA,EQ,       597.50,                  5501250.05,9201
,DHARSUGAR,BE,        19.20,                   285480.30,15005
,DHFL,EQ,       581.35,               2930550428.10,4953546
,DHFL,NC,      1094.50,                   175368.50,160
,DHFL,NP,      1077.00,                   430802.75,400
,DHFL,N6,      1037.00,                     6253.00,6
,DHFL,N8,      1051.31,                    10513.10,10
