,03-Sep-2019
The Nifty witnessed an intraday movement of about 194.8 points.The closing index was 2.04 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28202.73
, Traded Quantity (in Lakhs), 13796.94
, Number of Trades, 10610928
, Total Market Capitalisation (Rs. Crores), 13721895.4

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CENTURYTEX,EQ,       829.55,                441933355.15,528136
,CERA,EQ,      2400.60,                  7712145.00,3214
,CEREBRAINT,EQ,        24.35,                  1066829.75,43695
,CES1RPG,MF,         9.28,                   264202.23,28701
,CESC,EQ,       763.05,                531830407.45,676964
,CESCVENT,EQ,       319.55,                  8156285.35,25657
,CGCL,EQ,       172.90,                107365384.25,634015
,CGPOWER,EQ,        11.00,                 32765740.90,3009175
,CHALET,EQ,       290.25,                  2091061.95,7172
,CHAMBLFERT,EQ,       152.55,                 33510405.40,217696
,CHEMFAB,EQ,       158.05,                   492529.25,3089
,CHENNPETRO,EQ,       187.70,                 10594698.10,56209
,CHOLAFIN,EQ,       267.55,                208666488.55,780470
,CHOLAHLDNG,EQ,       453.55,                  4225781.40,9408
,CHROMATIC,EQ,          .60,                      900.00,1500
,CIGNITITEC,EQ,       300.85,                  4596937.75,15295
,CIMMCO,EQ,        18.85,                   473968.80,25250
,CINELINE,EQ,        35.90,                  1099066.90,31316
,CINEVISTA,BE,         6.00,                     1500.00,250
,CKFSL,EQ,          .90,                    43884.80,48727
,CLEDUCATE,EQ,        80.20,                   249001.95,3078
,CLNINDIA,EQ,       296.40,                  2090913.35,7000
,CMICABLES,EQ,        56.30,                   546254.65,9797
,CMMIPL,SM,         3.45,                    31200.00,9000
,CNOVAPETRO,EQ,         8.75,                    17235.95,2022
,COCHINSHIP,EQ,       340.30,                  6374278.55,18647
,COFFEEDAY,EQ,        71.15,                  3753589.40,52756
,COMPINFO,EQ,         8.80,                   520394.95,57833
,COMPUSOFT,EQ,         8.45,                   113042.30,13367
,CONFIPET,EQ,        23.85,                  2177121.05,90596
,CONSOFINVT,EQ,        38.20,                    12298.45,360
,CONTROLPR,EQ,       236.55,                   519724.35,2177
,CORALFINAC,EQ,        11.10,                   149457.10,13436
,CORDSCABLE,EQ,        36.75,                   446408.00,12075
,COROMANDEL,EQ,       380.00,                 61334567.30,162029
,CORPBANK,EQ,        18.30,                 13798644.50,745051
,COSMOFILMS,EQ,       212.35,                  2657582.65,12558
,COUNCODOS,BE,         1.45,                     4469.50,3013
,COX&KINGS,EQ,         4.25,                  2955560.50,695426
,CPSEETF,EQ,        21.83,                138810619.02,6315351
,CREATIVE,EQ,        75.00,                      149.90,2
,CREATIVEYE,BE,         1.35,                       33.75,25
,CREDITACC,EQ,       555.45,                 33080669.95,58857
,CREST,EQ,        84.90,                   404961.65,4801
,CRISIL,EQ,      1279.15,                  8881459.40,6919
,CRMFGETF,EQ,      3438.00,                    76291.25,22
,CROMPTON,EQ,       230.55,                 78941676.55,340842
,CTE,EQ,        28.90,                    21057.50,717
,CUB,EQ,       196.00,                 65318599.15,332246
,CUBEXTUB,EQ,         9.85,                    18117.00,1951
,CUMMINSIND,EQ,       558.95,                239008820.20,421955
,CUPID,EQ,       128.20,                  1545429.55,11990
,CURATECH,BE,         1.20,                     3655.00,3050
,CYBERTECH,EQ,        45.45,                  1115197.25,24381
,CYIENT,EQ,       421.25,                124507633.05,298308
,DAAWAT,EQ,        22.40,                  5363467.35,238273
,DALBHARAT,EQ,       902.45,                 61382710.10,67886
,DALMIASUG,EQ,        75.15,                  8363186.50,110305
,DAMODARIND,EQ,        29.40,                    11582.05,385
,DATAMATICS,EQ,        71.85,                  1933261.60,27035
,DBCORP,EQ,       132.55,                  4899800.20,36426
,DBL,EQ,       358.75,                 54900574.50,151441
,DBREALTY,EQ,         6.00,                   772782.45,128292
,DBSTOCKBRO,BE,         9.05,                     9180.80,1013
,DCAL,EQ,       170.10,                  7721386.40,45632
,DCBBANK,EQ,       203.35,                 59720871.45,292543
,DCM,EQ,        21.00,                    34083.00,1598
,DCMNVL,EQ,        28.25,                   158099.40,5633
,DCMSHRIRAM,EQ,       374.40,                 34804642.65,92406
,DCW,EQ,        15.85,                   916170.90,57111
,DECCANCE,EQ,       357.75,                   487452.15,1359
,DEEPAKFERT,EQ,        77.95,                  3722355.65,47532
,DEEPAKNTR,EQ,       272.05,                 50684658.90,187118
