,17-Sep-2019
The Nifty witnessed an intraday movement of about 203.6 points.The closing index was 1.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31566.07
, Traded Quantity (in Lakhs), 17015.01
, Number of Trades, 12671923
, Total Market Capitalisation (Rs. Crores), 13848401

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ARCOTECH,BE,         2.35,                   101898.40,42576
,ARIES,EQ,        68.30,                  4430073.00,64069
,ARIHANT,EQ,        19.50,                    20993.70,1061
,ARIHANTSUP,EQ,        35.60,                  1023607.50,29062
,ARMANFIN,EQ,       470.15,                 24228628.55,48105
,AROGRANITE,EQ,        45.10,                   297218.60,6572
,ARROWGREEN,EQ,        70.75,                  1190372.80,16841
,ARROWTEX,EQ,        11.25,                   132150.80,12003
,ARSHIYA,EQ,        28.70,                  4792107.65,172714
,ARSSINFRA,EQ,        28.10,                   240147.65,8507
,ARTEDZ,SM,        24.00,                   346200.00,15000
,ARVIND,EQ,        56.65,                621023973.75,10865684
,ARVINDFASN,EQ,       454.65,                 10936778.10,23570
,ARVSMART,EQ,        92.00,                  1430721.25,15170
,ASAHIINDIA,EQ,       178.85,                  2066245.60,11474
,ASAHISONG,EQ,       130.05,                   315691.80,2389
,ASAL,EQ,        34.20,                    50372.05,1441
,ASHAPURMIN,EQ,        26.90,                   339272.75,12849
,ASHIANA,EQ,       109.15,                  2745394.95,24858
,ASHIMASYN,EQ,         8.25,                    18743.60,2255
,ASHOKA,EQ,        97.85,                189712696.90,1911901
,ASIANHOTNR,EQ,       103.75,                    31004.70,279
,ASIANTILES,EQ,       235.10,                 15266704.50,64621
,ASPINWALL,EQ,       137.00,                   366101.75,2629
,ASSAMCO,BE,          .60,                   481438.55,802097
,ASTEC,EQ,       375.05,                  3758658.35,10053
,ASTERDM,EQ,       128.25,                 26432636.80,206938
,ASTRAL,EQ,      1135.15,                 76529108.80,67992
,ASTRAMICRO,EQ,        74.75,                  5692884.75,74936
,ASTRAZEN,EQ,      2010.60,                 40507490.75,19614
,ASTRON,EQ,       110.95,                 44481628.20,400963
,ATFL,EQ,       481.70,                   979655.25,2018
,ATLANTA,EQ,         8.30,                    41118.20,4954
,ATLASCYCLE,BE,        55.65,                   161162.40,2896
,ATNINTER,BE,          .10,                      693.45,6733
,ATUL,EQ,      3700.50,                 56957852.30,15138
,ATULAUTO,EQ,       220.35,                  1671037.40,7419
,AUBANK,EQ,       637.65,                 48320026.70,74122
,AURDIS,SM,        39.00,                   308100.00,8000
,AURIONPRO,EQ,        89.80,                  1949863.55,21283
,AUSOMENT,EQ,        29.25,                     4048.75,136
,AUTOAXLES,EQ,       846.05,                  2900468.90,3355
,AUTOIND,EQ,        41.15,                  1386531.75,33812
,AUTOLITIND,EQ,        25.00,                    54674.70,2176
,AVADHSUGAR,EQ,       272.55,                 47308907.35,169388
,AVANTIFEED,EQ,       352.65,                201359233.45,548000
,AVG,SM,        84.00,                   100800.00,1200
,AVTNPL,EQ,        23.05,                   473640.35,20197
,AXISCADES,EQ,        84.30,                 21017621.35,249625
,AXISGOLD,EQ,      3316.45,                   640758.15,193
,AXISNIFTY,EQ,      1116.44,                    97681.28,87
,AYMSYNTEX,EQ,        33.45,                   113708.55,3421
,BAGFILMS,EQ,         1.90,                   673784.15,351168
,BAJAJCON,EQ,       253.00,                 10608410.00,41667
,BAJAJELEC,EQ,       391.95,                 46184160.75,117493
,BAJAJHIND,EQ,         7.55,                 17715881.85,2306295
,BALAJITELE,EQ,        55.60,                  1122922.75,19812
,BALAMINES,EQ,       289.45,                 12110919.60,40262
,BALAXI,EQ,        92.00,                    58546.70,614
,BALKRISHNA,EQ,        31.85,                  1150612.75,35390
,BALKRISIND,EQ,       747.75,                229263857.45,304955
,BALLARPUR,EQ,          .60,                  2255479.40,3730443
,BALMLAWRIE,EQ,       179.95,                108502317.60,588388
,BALPHARMA,EQ,        42.75,                   318668.10,7287
,BALRAMCHIN,EQ,       149.00,                597033549.05,3888449
,BANARBEADS,EQ,        40.10,                   124515.00,3094
,BANARISUG,EQ,      1173.35,                   934369.80,787
,BANCOINDIA,EQ,       107.80,                  3212799.40,28950
,BANG,EQ,        30.75,                   397219.90,12796
,BANKBEES,EQ,      2775.39,                 13635451.05,4871
,BANKINDIA,EQ,        64.75,                469555793.50,7062169
,BANSAL,SM,         2.05,                    12500.00,6000
,BANSWRAS,EQ,        69.45,                   698233.40,10002
,BARTRONICS,BE,         2.30,                    10383.60,4407
,BASF,EQ,       999.45,                 15446721.05,15116
,BASML,EQ,       141.05,                  1189569.40,8319
,BATAINDIA,EQ,      1560.50,                559911212.80,356446
,BAYERCROP,EQ,      3200.75,                 16551308.70,5058
,BBL,EQ,       891.30,                  3186697.80,3525
