,19-Nov-2019
The Nifty witnessed an intraday movement of about 77.1 points.The closing index was 0.47 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 42296.01
, Traded Quantity (in Lakhs), 27123.18
, Number of Trades, 12178719
, Total Market Capitalisation (Rs. Crores), 15165754.9

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ANDHRSUGAR,EQ,       290.00,                  4953169.40,16915
,ANIKINDS,BE,         8.60,                      180.25,21
,ANKITMETAL,BE,          .70,                    49973.55,73334
,ANSALAPI,EQ,         5.00,                   287577.00,59006
,ANSALHSG,EQ,         6.40,                  1495462.15,242828
,ANTGRAPHIC,BE,          .60,                    38079.50,61797
,ANUP,EQ,       474.65,                 28620960.25,60090
,APARINDS,EQ,       447.60,                  9082308.50,19951
,APCL,EQ,       150.15,                    83438.45,559
,APCOTEXIND,EQ,       161.45,                  1947167.40,12079
,APEX,EQ,       290.90,                101189810.60,342750
,APLAPOLLO,EQ,      1525.75,                 17282369.75,11322
,APLLTD,EQ,       549.50,                 11187763.20,20211
,APOLLO,EQ,        76.55,                 28645037.75,364215
,APOLLOHOSP,EQ,      1410.95,                666905061.10,472316
,APOLLOPIPE,EQ,       365.80,                  2149003.85,5825
,APOLLOTYRE,EQ,       167.90,                198369068.20,1177120
,APOLSINHOT,EQ,       732.05,                   665870.75,906
,APTECHT,EQ,       162.15,                 31185137.10,191161
,ARCHIDPLY,EQ,        26.20,                   394473.00,15074
,ARCHIES,BE,        19.60,                   270172.10,13908
,ARCOTECH,BE,         2.70,                    17315.10,6413
,ARIES,EQ,        66.10,                  3637870.60,54540
,ARIHANT,EQ,        26.55,                   210510.35,7720
,ARIHANTSUP,BE,        25.15,                    19968.30,780
,ARMANFIN,EQ,       542.55,                   905941.90,1645
,AROGRANITE,EQ,        38.05,                    68324.35,1789
,ARROWGREEN,EQ,        53.25,                    58281.70,1088
,ARROWTEX,EQ,         9.60,                   158227.75,16487
,ARSHIYA,EQ,        16.10,                   554047.05,34127
,ARSSINFRA,EQ,        23.75,                    62885.95,2657
,ARVIND,EQ,        47.25,                 36137680.85,763833
,ARVINDFASN,EQ,       359.50,                 24106879.80,67033
,ARVSMART,EQ,        89.30,                  1246735.05,13807
,ASAHIINDIA,EQ,       200.40,                  1388000.60,6934
,ASAHISONG,EQ,       144.65,                  2046318.60,13923
,ASAL,EQ,        31.80,                   297681.30,9320
,ASHAPURMIN,BE,        26.95,                   148058.70,5502
,ASHIANA,EQ,        98.05,                  7656342.35,77815
,ASHIMASYN,EQ,         7.05,                   652577.20,91709
,ASHOKA,EQ,        94.50,                 48868618.60,516018
,ASIANHOTNR,EQ,        97.00,                    99998.75,1040
,ASIANTILES,EQ,       229.35,                 19613404.70,85522
,ASLIND,SM,        11.20,                   268800.00,24000
,ASPINWALL,EQ,       144.35,                     8127.90,56
,ASTEC,EQ,       364.15,                  2192735.50,6035
,ASTERDM,EQ,       152.95,                149065155.60,982144
,ASTRAL,EQ,      1071.05,                100658414.15,93862
,ASTRAMICRO,EQ,        83.65,                 34599769.20,421914
,ASTRAZEN,EQ,      2600.65,                 16168017.40,6155
,ASTRON,EQ,        40.00,                  6987966.95,174367
,ATFL,EQ,       603.25,                 12162463.85,20266
,ATLANTA,BE,         7.10,                    69621.85,10331
,ATLASCYCLE,BE,        53.55,                   219129.30,4140
,ATUL,EQ,      4050.55,                 14500173.20,3580
,ATULAUTO,EQ,       217.00,                  2664719.65,12213
,AUBANK,EQ,       817.55,                152914668.35,189230
,AURIONPRO,EQ,        74.20,                   244970.85,3292
,AUSOMENT,EQ,        44.05,                   123868.60,2812
,AUTOAXLES,EQ,       796.75,                  6487308.45,8082
,AUTOIND,EQ,        25.70,                  1602773.50,60215
,AUTOLITIND,EQ,        21.15,                   170601.55,7861
,AVADHSUGAR,EQ,       244.65,                 24894934.25,102325
,AVANTIFEED,EQ,       508.85,                310821878.30,613808
,AVG,SM,        78.00,                   187200.00,2400
,AVTNPL,EQ,        31.85,                 14406124.05,462047
,AXISCADES,EQ,        68.80,                  2046696.65,29608
,AXISGOLD,EQ,      3375.45,                   498545.60,148
,AXISNIFTY,EQ,      1236.77,                    75180.43,61
,AYMSYNTEX,EQ,        30.10,                   266053.35,8666
,BAGFILMS,EQ,         2.00,                   389973.70,201290
,BAJAJCON,EQ,       238.50,                 16272096.45,68342
,BAJAJELEC,EQ,       309.65,                 52135489.70,166561
,BAJAJHIND,EQ,         7.00,                 18534071.95,2638610
,BALAJITELE,EQ,        55.35,                  5144712.55,92073
,BALAMINES,EQ,       336.70,                  4813033.80,14193
,BALAXI,EQ,        71.25,                    14733.30,203
,BALKRISHNA,BE,        16.45,                    29669.75,1802
,BALKRISIND,EQ,       834.70,               1634117455.80,1954583
,BALLARPUR,EQ,          .50,                   692497.25,1392669
,BALMLAWRIE,EQ,       190.45,                 15599670.20,81933
,BALPHARMA,EQ,        40.85,                   220469.80,5364
,BALRAMCHIN,EQ,       145.60,                119427775.00,822595
,BANARBEADS,EQ,        31.10,                    43840.05,1394
,BANARISUG,EQ,      1220.30,                   727615.25,603
,BANCOINDIA,EQ,        95.80,                  6881628.15,71761
,BANG,EQ,        16.55,                   146477.50,8989
,BANKA,SM,        81.15,                    97380.00,1200
,BANKBEES,EQ,      3186.10,                 12482882.21,3931
,BANKINDIA,EQ,        74.10,               1480878514.85,20170328
,BANSWRAS,EQ,        92.05,                  2190344.00,23269
,BARTRONICS,BE,         1.60,                     7222.50,4490
,BASF,EQ,       956.50,                  5230172.45,5477
,BASML,EQ,       125.00,                   204230.05,1615
,BATAINDIA,EQ,      1686.00,                721474114.20,426584
,BAYERCROP,EQ,      3709.25,                 44240859.40,11965
,BBL,EQ,       835.70,                  7170519.90,8513
,BBTC,EQ,      1114.35,                 83515766.50,74251
,BCG,EQ,         3.50,                  1320420.50,377263
,BCONCEPTS,SM,        31.85,                   286650.00,9000
,BCP,EQ,         9.35,                   743677.60,80666
,BDL,EQ,       328.95,                 14382508.05,43674
,BEARDSELL,EQ,        10.00,                   525562.60,52567
,BEDMUTHA,EQ,        13.25,                    91465.70,7152
,BEL,EQ,       111.45,                441137912.40,3983462
,BEML,EQ,       936.10,                250169323.30,267481
,BEPL,EQ,        47.70,                 16784905.75,350837
,BETA,SM,        83.50,                    66800.00,800
,BFINVEST,EQ,       328.15,                 25758643.90,77933
,BFUTILITIE,EQ,       264.30,                 26845315.65,100750
,BGLOBAL,BE,         1.90,                     6529.60,3434
,BGRENERGY,EQ,        29.15,                  2288754.55,78178
,BHAGERIA,EQ,        99.80,                  1490400.55,14796
,BHAGYANGR,EQ,        19.00,                   146709.85,7762
,BHAGYAPROP,EQ,        20.00,                    18393.95,892
,BHANDARI,EQ,         1.10,                   183403.55,160484
,BHARATFORG,EQ,       454.75,                582033493.80,1289037
,BHARATGEAR,EQ,        70.70,                   726244.65,10202
,BHARATRAS,EQ,      6430.80,                  8500030.55,1318
,BHARATWIRE,EQ,        29.85,                    70714.95,2399
,BHEL,EQ,        55.65,               1129407457.75,20906445
,BIGBLOC,EQ,        24.50,                    27809.80,1140
,BIL,EQ,       164.10,                   108981.10,657
,BILENERGY,BE,         1.30,                    18772.00,14440
,BINDALAGRO,EQ,         9.90,                   180923.60,17979
,BIOFILCHEM,BE,         5.90,                    15045.00,2550
,BIRLACABLE,EQ,        61.35,                 10334870.00,166374
,BIRLACORPN,EQ,       644.05,                 32292618.80,49977
,BIRLAMONEY,EQ,        32.80,                  4119353.05,124909
,BKMINDST,EQ,          .65,                    98218.60,150559
,BLBLIMITED,EQ,         3.50,                     7997.25,2227
,BLISSGVS,EQ,       137.05,                 19819414.55,145308
,BLKASHYAP,EQ,        10.30,                   184933.60,18008
,BLS,EQ,        70.60,                  9639688.40,137032
,BLUEBLENDS,BE,          .65,                     2813.85,4329
,BLUECOAST,BE,         1.80,                     9889.45,5621
,BLUEDART,EQ,      2140.55,                  9509333.60,4431
,BLUESTARCO,EQ,       793.95,                 21899548.80,27517
,BODALCHEM,EQ,        68.20,                  5651754.50,83120
,BOMDYEING,EQ,        78.00,                 74200674.25,943713
,BOROSIL,EQ,       184.65,                  9890382.35,52784
,BPL,EQ,        18.30,                  1584112.90,85616
,BRFL,BE,         4.10,                    43519.35,10450
,BRIGADE,EQ,       213.15,                 11682531.65,54685
,BRITANNIA,N2,        31.22,                   607744.28,19461
,BRNL,EQ,        60.40,                   629947.95,10424
,BROOKS,EQ,        31.40,                   766681.10,24246
,BSE,EQ,       497.30,                 30202604.25,60544
,BSELINFRA,BE,         1.05,                    12853.15,12393
,BSHSL,SM,       112.00,                   134400.00,1200
,BSL,EQ,        29.20,                   286818.65,9617
,BSLGOLDETF,EQ,      3534.95,                   204692.80,58
,BSLNIFTY,EQ,       130.00,                    14300.00,110
,BSOFT,EQ,        65.95,                 25932994.25,395707
,BURNPUR,BE,         1.20,                    13069.20,10891
,BUTTERFLY,EQ,       190.60,                  3586691.15,18830
,BVCL,BE,        11.50,                   157937.30,14021
,BYKE,EQ,        18.80,                   317679.70,16599
,CADSYS,SM,        42.80,                   171200.00,4000
,CALSOFT,BE,        17.25,                   183434.00,10867
,CAMLINFINE,EQ,        60.65,                  3180118.75,51958
,CANBK,EQ,       221.15,               3671442557.30,16903143
,CANDC,BZ,         3.15,                    14422.65,4631
,CANFINHOME,EQ,       393.90,                349800191.05,874070
,CANTABIL,EQ,       230.20,                  4596326.60,20060
,CAPACITE,EQ,       206.95,                  6681808.80,32779
,CAPLIPOINT,EQ,       346.85,                 28598041.30,81411
,CAPTRUST,BE,        86.00,                     7130.80,86
,CARBORUNIV,EQ,       307.80,                  4965932.65,16147
,CAREERP,EQ,       118.55,                  1692603.95,14015
,CARERATING,EQ,       478.60,                 37177516.45,77183
,CASTEXTECH,BE,          .50,                    29604.05,65429
,CASTROLIND,EQ,       153.55,                680326308.25,4500339
,CCHHL,EQ,         3.40,                    42561.95,12511
,CCL,EQ,       210.95,                 41543795.40,196782
,CDSL,EQ,       224.60,                 35739671.15,159405
,CEATLTD,EQ,       955.45,                 65917355.20,68916
,CEBBCO,EQ,        16.85,                 10314242.55,620426
,CELEBRITY,EQ,         6.75,                   195973.70,28015
,CELESTIAL,BE,         3.25,                    14152.00,4346
,CENTENKA,EQ,       180.40,                  3431457.70,19017
,CENTEXT,EQ,         2.75,                    53065.50,19499
,CENTRALBK,EQ,        22.75,                107606071.40,4757253
