,15-Oct-2019
The Nifty witnessed an intraday movement of about 120.25 points.The closing index was 0.77 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35668.12
, Traded Quantity (in Lakhs), 16989.96
, Number of Trades, 12093280
, Total Market Capitalisation (Rs. Crores), 14464626.36

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CINEVISTA,BE,        14.40,                    86688.60,5919
,CKFSL,BE,          .50,                   377113.25,769188
,CKPLEISURE,SM,         6.45,                   428200.00,68000
,CKPPRODUCT,SM,        30.95,                 11188500.00,372000
,CLEDUCATE,EQ,        75.50,                   117612.45,1547
,CLNINDIA,EQ,       282.45,                  2245668.35,7957
,CMICABLES,EQ,        53.45,                   228193.60,4204
,CMMIPL,SM,         4.45,                    13350.00,3000
,CNOVAPETRO,EQ,         8.05,                     4036.20,491
,COCHINSHIP,EQ,       331.85,                 12075157.70,36274
,COFFEEDAY,EQ,        36.10,                 20603195.20,569409
,COMPINFO,EQ,         9.65,                   603458.05,62324
,COMPUSOFT,EQ,         7.90,                   114065.40,14517
,CONFIPET,EQ,        27.85,                  1139985.05,40865
,CONSOFINVT,EQ,        36.10,                     5479.60,152
,CONTROLPR,EQ,       244.00,                 17618875.45,71845
,CORALFINAC,EQ,        10.40,                    41080.25,4038
,CORDSCABLE,EQ,        41.20,                   283659.35,6864
,COROMANDEL,EQ,       406.95,                132418295.15,328308
,CORPBANK,EQ,        13.75,                  2629936.75,190055
,COSMOFILMS,EQ,       197.85,                  5556166.95,27972
,COUNCODOS,EQ,         1.80,                     3630.60,2017
,COX&KINGS,EQ,         2.60,                   166158.20,63907
,CPSEETF,EQ,        23.87,                191868787.42,8073052
,CREATIVE,EQ,        63.25,                   436140.70,6369
,CREDITACC,EQ,       618.80,                 17287147.15,27747
,CREST,EQ,        85.55,                   257654.45,2985
,CRISIL,EQ,      1330.00,                 20780439.50,15833
,CRMFGETF,EQ,      3540.00,                    35325.00,10
,CROMPTON,EQ,       253.15,                193971659.60,767892
,CTE,EQ,        25.25,                    40118.40,1575
,CUB,EQ,       213.95,                 87113261.60,404695
,CUBEXTUB,EQ,        10.30,                    29847.80,2800
,CUMMINSIND,EQ,       569.30,                 79685889.05,140162
,CUPID,EQ,       137.75,                  1111812.55,8048
,CYBERMEDIA,BE,         3.40,                       10.20,3
,CYBERTECH,EQ,        48.85,                   194648.40,3964
,CYIENT,EQ,       455.30,                 82090852.25,179155
,DAAWAT,EQ,        23.65,                  8340364.20,349435
,DALBHARAT,EQ,       808.80,                195215441.50,242468
,DALMIASUG,EQ,        87.50,                  3996304.05,45410
,DAMODARIND,EQ,        28.00,                    26286.30,940
,DATAMATICS,EQ,        71.90,                   626054.00,8640
,DBCORP,EQ,       146.80,                  6563651.00,45068
,DBL,EQ,       388.45,                322174461.60,832435
,DBREALTY,EQ,         6.20,                   905092.55,148177
,DBSTOCKBRO,EQ,         8.80,                      173.00,20
,DCAL,EQ,       160.80,                  7572682.45,47248
,DCBBANK,EQ,       180.95,                 95684657.30,524585
,DCM,BE,        21.75,                     4236.85,198
,DCMNVL,EQ,        29.30,                    39539.65,1344
,DCMSHRIRAM,EQ,       375.25,                 25226159.70,67641
,DCW,EQ,        14.35,                  2016694.50,139523
,DECCANCE,EQ,       332.50,                   593977.30,1783
,DEEPAKFERT,EQ,        89.50,                 12558029.30,139530
,DEEPAKNTR,EQ,       299.70,                 30332169.50,100802
