,30-Oct-2019
The Nifty witnessed an intraday movement of about 99.5 points.The closing index was 0.49 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 42287.21
, Traded Quantity (in Lakhs), 21223.51
, Number of Trades, 14062547
, Total Market Capitalisation (Rs. Crores), 15166815.61

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,APARINDS,EQ,       538.50,                  5230656.20,9563
,APCL,EQ,       146.25,                   107763.80,739
,APCOTEXIND,EQ,       170.15,                  3809226.40,22226
,APEX,EQ,       238.65,                 15882749.80,65907
,APLAPOLLO,EQ,      1473.60,                 21225585.30,14825
,APLLTD,EQ,       546.85,                 33901315.00,61786
,APOLLO,EQ,        68.90,                  1988233.40,28426
,APOLLOHOSP,EQ,      1461.95,               1104957824.45,751366
,APOLLOTYRE,EQ,       187.80,                263975612.90,1410885
,APOLSINHOT,EQ,       787.80,                   801975.75,1038
,APTECHT,EQ,       169.40,                 71470027.50,422758
,ARCHIDPLY,EQ,        27.55,                   241783.15,8805
,ARCHIES,BE,        18.55,                   787977.00,42812
,ARCOTECH,BE,         1.70,                    12203.75,7188
,ARIES,EQ,        65.20,                  3288857.75,49679
,ARIHANT,EQ,        17.50,                    38515.20,2177
,ARIHANTSUP,BE,        25.90,                    58098.20,2216
,ARMANFIN,EQ,       528.10,                  2493411.50,4735
,AROGRANITE,EQ,        41.00,                    79314.50,1928
,ARROWGREEN,EQ,        54.35,                    78446.65,1457
,ARROWTEX,EQ,         9.65,                    33113.05,3428
,ARSHIYA,EQ,        17.75,                   325296.45,18093
,ARSSINFRA,EQ,        24.25,                   376522.40,15211
,ARTNIRMAN,SM,        26.25,                   474900.00,18000
,ARVIND,EQ,        51.30,                 69930976.55,1363788
,ARVINDFASN,EQ,       453.60,                 38966003.50,86243
,ARVSMART,EQ,        94.85,                   997703.10,10444
,ASAHIINDIA,EQ,       205.65,                 35865734.65,174625
,ASAHISONG,EQ,       151.25,                  1692763.20,10988
,ASAL,EQ,        40.95,                  4716790.60,114087
,ASHAPURMIN,BE,        32.10,                   964478.00,30202
,ASHIANA,EQ,        96.85,                  3950214.20,40927
,ASHIMASYN,EQ,         7.65,                   149736.05,19244
,ASHOKA,EQ,       102.85,                 23484841.35,227138
,ASIANHOTNR,EQ,       100.50,                   437626.10,4366
,ASIANTILES,EQ,       238.30,                 20918843.25,86470
,ASPINWALL,EQ,       140.00,                   146542.90,1047
,ASTEC,EQ,       360.60,                  1863349.10,5129
,ASTERDM,EQ,       127.50,                  3906270.05,30597
,ASTRAL,EQ,      1113.55,                110631766.90,98398
,ASTRAMICRO,EQ,        76.65,                  6536973.35,85442
,ASTRAZEN,EQ,      2711.40,                173045232.55,64047
,ASTRON,EQ,        59.70,                  9546388.20,159906
,ATFL,EQ,       623.95,                  9900355.50,15960
,ATLANTA,BE,         6.95,                    76148.10,11174
,ATLASCYCLE,BZ,        53.25,                   259933.25,4881
,ATUL,EQ,      4251.95,                 44962386.15,10532
,ATULAUTO,EQ,       230.75,                  2645555.90,11486
,AUBANK,EQ,       689.80,                256470843.15,370908
,AURIONPRO,EQ,        75.05,                   617536.00,8142
,AUSOMENT,EQ,        29.45,                    34099.55,1174
,AUTOAXLES,EQ,       952.55,                 36851479.95,37892
,AUTOIND,EQ,        23.25,                   728393.95,31644
,AUTOLITIND,EQ,        21.55,                   170327.50,7960
,AVADHSUGAR,EQ,       278.35,                 18168864.90,65557
,AVANTIFEED,EQ,       451.00,                255648185.50,569720
,AVG,SM,        73.05,                    87660.00,1200
,AVTNPL,EQ,        25.25,                  1267598.60,49748
,AXISCADES,EQ,        67.90,                 12043544.35,174173
,AXISGOLD,EQ,      3362.65,                   753661.60,224
,AXISNIFTY,EQ,      1224.00,                   131241.39,108
,AYMSYNTEX,EQ,        33.65,                   228627.40,6768
,BAGFILMS,EQ,         1.75,                   262503.70,146514
,BAJAJCON,EQ,       245.65,                 77520853.85,312749
,BAJAJELEC,EQ,       378.95,                 22862833.05,60253
,BAJAJHIND,EQ,         6.20,                  6485020.95,1032853
,BALAJITELE,EQ,        51.15,                 31443803.30,599429
,BALAMINES,EQ,       327.05,                  7922868.40,23766
,BALAXI,EQ,        79.40,                   254160.35,3204
,BALKRISHNA,BE,        19.40,                   109961.25,5745
,BALKRISIND,EQ,       867.30,                424282318.65,487654
,BALLARPUR,EQ,          .50,                   853035.85,1697024
,BALMLAWRIE,EQ,       200.10,                212743701.90,1042398
,BALPHARMA,EQ,        38.90,                   228322.65,5874
,BALRAMCHIN,EQ,       156.55,                136496270.65,873051
,BANARBEADS,EQ,        37.10,                   677985.30,17838
,BANARISUG,EQ,      1111.90,                   220432.75,197
,BANCOINDIA,EQ,       114.85,                  7746712.15,67646
,BANG,EQ,        18.20,                   180514.85,9988
,BANKBEES,EQ,      3054.87,                 16468629.28,5385
,BANKINDIA,EQ,        71.05,                811919573.95,11650110
,BANSWRAS,EQ,        66.80,                   308876.65,4622
,BARTRONICS,BE,         1.25,                     9936.25,8113
,BASF,EQ,      1001.35,                 31930141.65,31656
,BASML,EQ,       153.60,                   501922.45,3287
,BATAINDIA,EQ,      1780.20,                628340102.80,353785
,BAYERCROP,EQ,      3364.75,                 14323685.45,4289
,BBL,EQ,       855.00,                  9610005.20,11243
,BBTC,EQ,      1201.45,                150130758.20,123781
,BCG,EQ,         2.65,                   925743.10,354686
,BCONCEPTS,SM,        34.55,                   616650.00,18000
,BCP,EQ,         7.60,                  2835282.40,376656
,BDL,EQ,       336.75,                 69398818.00,204953
,BEARDSELL,EQ,        10.60,                    21673.30,1975
,BEDMUTHA,EQ,        10.80,                    71316.75,6658
,BEL,EQ,       119.35,               1115461079.50,9364442
,BEML,EQ,      1058.65,               2768006488.55,2556020
,BEPL,EQ,        47.85,                 13777842.75,285748
,BETA,SM,        94.45,                    75560.00,800
,BFINVEST,EQ,       340.95,                231658326.00,684873
,BFUTILITIE,EQ,       259.80,                443585295.30,1741220
,BGLOBAL,BE,         1.95,                    21702.25,11182
,BGRENERGY,EQ,        32.75,                  3608150.80,109155
,BHAGERIA,EQ,       107.80,                  1245779.90,11492
,BHAGYANGR,EQ,        19.35,                     8693.80,447
,BHAGYAPROP,EQ,        19.70,                   176797.55,8727
,BHANDARI,EQ,         1.10,                    49771.20,46554
,BHARATFORG,EQ,       456.00,                630856658.30,1374801
,BHARATGEAR,EQ,        72.55,                  9989749.80,135690
,BHARATRAS,EQ,      5784.70,                  6798403.60,1160
,BHARATWIRE,EQ,        34.65,                   135400.60,3888
,BHEL,EQ,        58.90,               4719857400.45,79479137
,BIGBLOC,EQ,        23.90,                    47042.20,1974
,BIL,EQ,       129.95,                   165254.10,1255
,BILENERGY,BE,         1.05,                   233628.15,222503
,BINANIIND,BZ,         5.95,                   147208.20,23302
,BINDALAGRO,EQ,        10.25,                   220964.00,21443
,BIRLACABLE,EQ,        55.00,                  1943135.30,34996
,BIRLACORPN,EQ,       574.65,                 16022841.05,27828
,BIRLAMONEY,EQ,        36.25,                  2739919.00,75152
,BKMINDST,EQ,          .90,                     6831.10,8069
,BLBLIMITED,EQ,         3.35,                    41574.10,12558
,BLISSGVS,EQ,       135.10,                 10521662.45,77738
,BLKASHYAP,EQ,         7.75,                  1627886.30,203957
,BLS,EQ,        74.60,                 15461260.05,207791
,BLUEBLENDS,BE,          .95,                     1287.50,1350
,BLUECOAST,BE,         1.60,                      379.20,237
,BLUEDART,EQ,      2399.00,                 10128983.05,4223
,BLUEDART,N3,        10.65,                   185573.00,17420
,BLUESTARCO,EQ,       848.05,                 28667624.55,33854
,BODALCHEM,EQ,        78.55,                 11605392.15,148278
,BOMDYEING,EQ,        81.25,                151914959.40,1867360
,BOROSIL,EQ,       170.50,                  7220284.95,41789
,BPL,EQ,        19.20,                  1629587.15,83971
,BRFL,BE,         3.80,                   220201.60,58354
,BRIGADE,EQ,       206.50,                 21517737.55,106483
,BRIGHT,SM,        15.75,                    47250.00,3000
,BRITANNIA,N2,        31.03,                 20361582.05,656184
,BRNL,EQ,        64.20,                  1520002.25,23817
,BROOKS,EQ,        34.10,                   778275.40,22424
,BSE,EQ,       547.40,                 54922829.50,99895
,BSELINFRA,BE,         1.05,                    19610.15,18619
,BSHSL,SM,       131.90,                   158280.00,1200
,BSL,EQ,        26.65,                    47415.10,1767
,BSLGOLDETF,EQ,      3570.00,                   443244.50,125
,BSLNIFTY,EQ,       129.00,                   185331.00,1438
,BSOFT,EQ,        66.75,                 19739954.10,294380
,BURNPUR,BE,         1.25,                    30938.05,24627
,BUTTERFLY,EQ,       164.70,                  9121774.35,55223
,BVCL,BE,        10.95,                    15263.30,1405
,BYKE,EQ,        19.85,                   176579.20,8807
,CALSOFT,EQ,        17.50,                    87115.00,4978
,CAMLINFINE,EQ,        64.10,                 10828872.55,165839
,CANBK,EQ,       200.05,               1517276025.85,7626092
,CANDC,BZ,         2.60,                    10123.70,3898
,CANFINHOME,EQ,       394.55,                 48751982.55,122641
,CANTABIL,EQ,       211.00,                  2099101.45,9926
,CAPACITE,EQ,       202.90,                  6361774.55,31140
,CAPLIPOINT,EQ,       396.05,                 96043107.70,241693
,CAPTRUST,BE,        81.70,                    55172.75,711
,CARBORUNIV,EQ,       313.10,                 13487377.65,43550
,CAREERP,EQ,       112.10,                  1723844.95,15246
,CARERATING,EQ,       538.00,                 14591076.90,27164
,CASTEXTECH,BE,          .40,                    51797.00,133850
,CASTROLIND,EQ,       153.30,                704378383.45,4523284
,CCHHL,EQ,         3.50,                    46191.30,13218
,CCL,EQ,       203.70,                 10066517.80,49432
,CDSL,EQ,       224.85,                431893197.05,1936302
,CEATLTD,EQ,       967.00,                 58568818.85,60568
,CEBBCO,EQ,        13.65,                   570355.45,41876
,CELEBRITY,EQ,         4.80,                     4468.80,931
,CELESTIAL,BE,         3.35,                    41112.35,12588
,CENTENKA,EQ,       178.80,                  3239477.35,17936
,CENTEXT,EQ,         2.70,                    39446.95,14613
,CENTRALBK,EQ,        20.85,                 64222570.00,3183329
,CENTRUM,EQ,        22.90,                  3631741.25,159100
,CENTUM,EQ,       406.50,                   313132.55,755
,CENTURYPLY,EQ,       163.05,                 13482168.85,81992
,CENTURYTEX,EQ,       421.70,                303497735.10,715170
,CERA,EQ,      2580.45,                 20898824.45,8062
,CEREBRAINT,EQ,        20.15,                 30135918.90,1528595
,CESC,EQ,       809.80,                139432963.00,171937
,CESCVENT,EQ,       328.60,                  2865484.40,8635
,CGCL,EQ,       200.45,                 79024541.30,397576
,CGPOWER,EQ,        14.65,                  5104070.30,347320
,CHALET,EQ,       319.00,                  1065106.40,3312
,CHAMBLFERT,EQ,       160.15,                 20289901.45,126362
,CHEMFAB,EQ,       181.10,                   814599.85,4560
,CHENNPETRO,EQ,       155.70,                 34038246.80,218298
,CHOLAFIN,EQ,       307.10,                489564682.45,1612084
,CHOLAHLDNG,EQ,       459.15,                  7935447.00,17374
,CHROMATIC,EQ,          .45,                     3329.90,7289
,CIGNITITEC,EQ,       306.60,                  8505747.05,28211
,CIMMCO,EQ,        19.60,                   348767.60,18145
,CINELINE,EQ,        33.30,                   340621.05,10192
,CINEVISTA,BE,         9.70,                   325451.00,36294
,CKFSL,BE,          .60,                   249181.00,390903
,CKPLEISURE,SM,         5.25,                    21000.00,4000
,CLEDUCATE,EQ,        74.70,                   207810.70,2776
,CLNINDIA,EQ,       271.35,                 30985787.35,111803
,CMICABLES,EQ,        55.70,                   655277.95,11608
,CMMIPL,SM,         4.85,                    14550.00,3000
,CNOVAPETRO,EQ,         8.65,                     1602.45,191
,COCHINSHIP,EQ,       396.20,                154899101.40,388154
,COFFEEDAY,EQ,        29.10,                 46142481.85,1626964
,COMPINFO,EQ,         9.60,                   752896.75,77005
,COMPUSOFT,EQ,         8.90,                   168495.45,19378
,CONFIPET,EQ,        28.00,                 10483318.55,358660
,CONSOFINVT,EQ,        37.05,                    59484.90,1621
,CONTROLPR,EQ,       269.05,                  1329251.60,4925
,CORALFINAC,EQ,        10.25,                   279550.10,28003
,CORDSCABLE,EQ,        46.95,                   967685.95,20681
,COROMANDEL,EQ,       470.55,                 70389871.20,149693
,CORPBANK,EQ,        15.50,                  8991659.30,586009
,COSMOFILMS,EQ,       212.10,                  1958592.60,9214
,COUNCODOS,EQ,         1.60,                    41331.20,26823
,COX&KINGS,EQ,         1.80,                   551232.00,306240
,CPSEETF,EQ,        24.81,                625215073.26,25156115
,CREATIVE,EQ,        63.80,                   771109.45,11798
,CREDITACC,EQ,       644.15,                 29669608.15,45478
,CREST,EQ,        94.45,                    74515.15,790
,CRISIL,EQ,      1404.55,                 12439175.15,8901
,CRMFGETF,EQ,      3475.00,                    10353.10,3
,CROMPTON,EQ,       249.45,                103638392.70,414063
,CTE,EQ,        29.30,                   107772.15,3599
,CUB,EQ,       208.35,                 56575366.45,269978
,CUBEXTUB,EQ,        15.90,                   145200.10,9388
,CUMMINSIND,EQ,       554.15,                518845617.40,944203
,CUPID,EQ,       175.00,                  8921536.55,50684
,CURATECH,BE,         1.30,                       32.50,25
,CYBERMEDIA,BE,         2.85,                     8550.00,3000
,CYBERTECH,EQ,        48.25,                  1694406.35,34910
,CYIENT,EQ,       399.30,                 40456210.75,100942
,DAAWAT,EQ,        23.75,                  8284914.65,346541
,DALBHARAT,EQ,       814.35,                 31890779.80,39173
,DALMIASUG,EQ,        91.10,                  8958936.10,97893
,DAMODARIND,EQ,        28.10,                   178343.15,6431
,DATAMATICS,EQ,        78.60,                  5316643.90,68060
,DBCORP,EQ,       147.85,                 11954595.70,80785
,DBL,EQ,       430.60,                114766972.90,265526
,DBREALTY,EQ,         7.55,                  4008921.90,531854
,DCAL,EQ,       117.05,                 41306132.85,350948
,DCBBANK,EQ,       176.85,                288549368.00,1630378
,DCM,BE,        21.20,                   139434.75,6794
,DCMNVL,EQ,        29.00,                    20129.10,691
