,14-Oct-2019
The Nifty witnessed an intraday movement of about 130.4 points.The closing index was 0.32 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33732.68
, Traded Quantity (in Lakhs), 18019.53
, Number of Trades, 11633644
, Total Market Capitalisation (Rs. Crores), 14364550.87

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,COMPINFO,EQ,         9.80,                   858235.30,86864
,COMPUSOFT,EQ,         7.90,                    76595.60,9663
,CONFIPET,EQ,        27.85,                  2735999.15,99873
,CONSOFINVT,EQ,        35.75,                   196811.55,5510
,CONTROLPR,EQ,       245.00,                   567881.15,2318
,CORALFINAC,EQ,        10.40,                    44375.15,4345
,CORDSCABLE,EQ,        41.15,                   322142.35,7649
,COROMANDEL,EQ,       406.95,                 37844354.15,93129
,CORPBANK,EQ,        14.05,                  1431152.65,101665
,COSMOFILMS,EQ,       203.85,                  1412615.80,6915
,COUNCODOS,EQ,         1.85,                      129.50,70
,COX&KINGS,EQ,         2.70,                   360725.40,133602
,CPSEETF,EQ,        23.51,                170518595.00,7268819
,CREATIVE,EQ,        64.50,                   345435.25,5406
,CREATIVEYE,EQ,         1.30,                       65.00,50
,CREDITACC,EQ,       621.75,                 34865433.55,55769
,CREST,EQ,        88.00,                   198362.55,2305
,CRISIL,EQ,      1287.25,                 26099104.80,20151
,CRMFGETF,EQ,      3530.00,                    45901.00,13
,CROMPTON,EQ,       253.60,                187607024.80,737906
,CTE,EQ,        25.95,                    43767.95,1673
,CUB,EQ,       217.55,                 42587581.45,194760
,CUBEXTUB,EQ,        11.40,                     6779.70,610
,CUMMINSIND,EQ,       572.80,                113946634.60,199099
,CUPID,EQ,       138.85,                  1786321.10,12897
,CYBERMEDIA,BE,         3.40,                      678.50,200
,CYBERTECH,EQ,        48.35,                   964413.25,19775
,CYIENT,EQ,       458.35,                 31173619.15,67670
,DAAWAT,EQ,        24.35,                 24780453.90,1004082
,DALBHARAT,EQ,       810.45,                 47237515.05,58138
,DALMIASUG,EQ,        88.05,                  5912128.65,66601
,DAMODARIND,EQ,        27.80,                      278.00,10
,DATAMATICS,EQ,        72.65,                   819070.05,11415
,DBCORP,EQ,       144.85,                  5274899.60,36509
,DBL,EQ,       381.45,                 87738387.55,229819
,DBREALTY,EQ,         6.20,                  1241299.85,201546
,DBSTOCKBRO,EQ,         8.40,                        8.40,1
,DCAL,EQ,       159.90,                  8471775.75,53005
,DCBBANK,EQ,       184.10,                 53189583.15,285680
,DCM,BE,        20.80,                    19332.55,933
,DCMNVL,EQ,        29.10,                   140434.80,4952
,DCMSHRIRAM,EQ,       370.40,                 28073044.65,74761
,DCW,EQ,        14.60,                  1345308.35,92172
,DECCANCE,EQ,       336.25,                   608205.70,1794
,DEEPAKFERT,EQ,        89.20,                 13045644.75,144902
