,29-Nov-2018
The Nifty witnessed an intraday movement of about 100.7 points.The closing index was 1.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43142.02
, Traded Quantity (in Lakhs), 19627.27
, Number of Trades, 13317117
, Total Market Capitalisation (Rs. Crores), 14078722.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BANCOINDIA,EQ,       165.30,                  4659992.80,28209
,BANG,EQ,        54.25,                  1548585.35,29138
,BANKBEES,EQ,      2750.76,                 58121860.18,21277
,BANKINDIA,EQ,        85.30,                763662996.45,9104052
,BANSWRAS,EQ,        83.60,                   223613.10,2722
,BARTRONICS,EQ,         7.25,                   246364.30,33948
,BASF,EQ,      1609.85,                 15457681.65,9791
,BASML,EQ,       203.20,                    58625.90,288
,BATAINDIA,EQ,      1001.45,                995798803.85,989863
,BAYERCROP,EQ,      4211.10,                 23531644.95,5649
,BBL,EQ,      1123.55,                  9358293.35,8295
,BBTC,EQ,      1332.05,                 66363308.10,49582
,BBTCL,SM,        48.00,                   144000.00,3000
,BCG,EQ,         3.05,                  7985551.15,2551460
,BCONCEPTS,SM,        43.00,                   256500.00,6000
,BDL,EQ,       277.20,                  3569430.80,12912
,BEARDSELL,EQ,        25.10,                    19186.10,759
,BEDMUTHA,BE,        23.80,                   627247.35,25273
,BEML,EQ,       764.95,                908739967.40,1171900
,BEPL,EQ,        71.95,                 55339382.55,768870
,BERGEPAINT,EQ,       319.85,                203851411.60,640573
,BETA,SM,        72.75,                  5523960.00,76800
,BFINVEST,EQ,       259.50,                 31338724.80,118807
,BFUTILITIE,EQ,       213.05,                 68959252.10,321460
,BGLOBAL,BE,         2.40,                    13512.10,5522
,BGRENERGY,EQ,        60.90,                  7647159.55,125501
,BHAGERIA,EQ,       285.85,                  1571152.60,5548
,BHAGYANGR,EQ,        30.15,                   316986.45,10618
,BHAGYAPROP,EQ,        26.50,                    79259.00,3010
,BHANDARI,EQ,         1.90,                   589898.00,306261
,BHARATFIN,EQ,      1034.00,               2423043388.90,2354922
,BHARATFORG,EQ,       572.15,                624790632.30,1094642
,BHARATGEAR,EQ,       163.30,                  2704781.05,16492
,BHARATIDIL,BZ,         4.20,                    69173.90,16154
,BHARATRAS,EQ,      5407.95,                  2364874.15,437
,BHARATWIRE,EQ,        71.35,                   526729.10,7423
,BHUSANSTL,EQ,        27.30,                 22109822.15,806642
,BIGBLOC,EQ,        46.75,                   479101.15,10275
,BIL,EQ,       223.05,                   604929.10,2675
,BILENERGY,EQ,          .50,                   153221.05,308421
,BINANIIND,EQ,        77.65,                  1844135.75,23580
,BINDALAGRO,EQ,        18.75,                   173648.55,9158
,BIOFILCHEM,BE,         6.80,                    15708.15,2235
,BIRLACABLE,EQ,       217.45,                 19598122.70,89670
,BIRLACORPN,EQ,       625.75,                 15143100.25,24007
,BIRLAMONEY,EQ,        44.00,                  1196811.70,27250
